neighborhood,month_start,make,model,stolen_count
Alameda,2023-01-01,Hyundai,Hyundai Sonata,2
Alameda,2023-01-01,Kia Motors Corp,Kia Motors Corp Soul,2
Alameda,2023-01-01,Mazda,Mazda B2300,1
Alameda,2023-01-01,Toyota,Toyota Tacoma,1
Alameda,2023-02-01,Hyundai,Hyundai Sonata,1
Alameda,2023-03-01,Hyundai,Hyundai Elantra,1
Alameda,2023-03-01,Toyota,Toyota Truck,1
Alameda,2023-03-01,BMW,BMW 332 Series,1
Alameda,2023-04-01,Volkswagen,Volkswagen Golf,1
Alameda,2023-04-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2023-04-01,Jeep,Jeep Wrangler,1
Alameda,2023-04-01,Hyundai,Hyundai Elantra,1
Alameda,2023-04-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2023-04-01,Kia Motors Corp,Kia Motors Corp Soul,1
Alameda,2023-05-01,Jeep,Jeep Cherokee,1
Alameda,2023-05-01,Ford,Ford Mustang Mach E,1
Alameda,2023-06-01,BMW,BMW 328i,1
Alameda,2023-06-01,Ford,Ford F150,1
Alameda,2023-06-01,Ford,Ford Ranger,1
Alameda,2023-07-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2023-08-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2023-09-01,Hyundai,Hyundai Elantra,1
Alameda,2023-11-01,Toyota,Toyota 4-Runner,1
Alameda,2023-11-01,Chevrolet,Chevrolet Suburban,1
Alameda,2023-11-01,Subaru,Subaru Forester,1
Alameda,2023-12-01,Acura,Acura MDX,1
Alameda,2023-12-01,Dodge,"Dodge Caravan, Grand Caravan",1
Alameda,2023-12-01,Kia Motors Corp,Kia Motors Corp Seltos,1
Arbor Lodge,2023-01-01,Hyundai,Hyundai Elantra,5
Arbor Lodge,2023-01-01,Unknown,Unknown,4
Arbor Lodge,2023-01-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",2
Arbor Lodge,2023-01-01,Honda,Honda CRV,2
Arbor Lodge,2023-01-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2023-01-01,Kia Motors Corp,Kia Motors Corp Optima,2
Arbor Lodge,2023-01-01,Subaru,Unknown,2
Arbor Lodge,2023-01-01,GMC,GMC Suburban,1
Arbor Lodge,2023-01-01,Fleetwood Enterprises Fleetwood Folding Trailers Inc,Fleetwood Enterprises Fleetwood Folding Trailers Inc Truck,1
Arbor Lodge,2023-01-01,Hyundai,Hyundai Santa Fe,1
Arbor Lodge,2023-01-01,Ford,Ford Econoline E350,1
Arbor Lodge,2023-01-01,Hyundai,Hyundai Tucson,1
Arbor Lodge,2023-01-01,Kia Motors Corp,Unknown,1
Arbor Lodge,2023-02-01,Kia Motors Corp,Kia Motors Corp Optima,3
Arbor Lodge,2023-02-01,Kia Motors Corp,Unknown,3
Arbor Lodge,2023-02-01,Subaru,Unknown,3
Arbor Lodge,2023-02-01,Honda,"Honda Accord, Accord Crosstour",2
Arbor Lodge,2023-02-01,Hyundai,Hyundai Tucson,2
Arbor Lodge,2023-02-01,Unknown,Unknown,2
Arbor Lodge,2023-02-01,Hyundai,Hyundai Elantra,1
Arbor Lodge,2023-02-01,Hyundai,Hyundai Santa Fe,1
Arbor Lodge,2023-02-01,Ford,Ford F150,1
Arbor Lodge,2023-02-01,Ford,Ford F350,1
Arbor Lodge,2023-02-01,Chevrolet,Chevrolet Tracker,1
Arbor Lodge,2023-02-01,Chevrolet,Chevrolet Silverado,1
Arbor Lodge,2023-02-01,Chevrolet,Chevrolet Impala,1
Arbor Lodge,2023-02-01,Hyundai,Unknown,1
Arbor Lodge,2023-03-01,Subaru,Subaru Forester,3
Arbor Lodge,2023-03-01,Ford,Ford Club Wagon E150,1
Arbor Lodge,2023-03-01,Hyundai,Hyundai Elantra,1
Arbor Lodge,2023-03-01,Mazda,Mazda B3000,1
Arbor Lodge,2023-03-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2023-03-01,Kia Motors Corp,Kia Motors Corp Optima,1
Arbor Lodge,2023-03-01,Honda,Honda CRV,1
