neighborhood,month_start,make,model,stolen_count
Alameda,2017-01-01,Subaru,"Subaru Legacy, Legacy Outback",2
Alameda,2017-01-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2017-02-01,Mazda,Mazda Mazda 3,1
Alameda,2017-03-01,BMW,BMW 528 Series,2
Alameda,2017-03-01,Ford,Ford F250,1
Alameda,2017-04-01,Chevrolet,Chevrolet Astro,1
Alameda,2017-04-01,Chevrolet,Chevrolet C/K 1500,1
Alameda,2017-04-01,Ford,"Ford Taurus, Taurus X",1
Alameda,2017-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2017-06-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2017-06-01,Honda,Honda CRV,1
Alameda,2017-06-01,BMW,BMW M3,1
Alameda,2017-06-01,Ford,Ford Econoline E150,1
Alameda,2017-07-01,Subaru,Subaru Outback,1
Alameda,2017-07-01,Chevrolet,Chevrolet Express,1
Alameda,2017-08-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2017-08-01,Pontiac,Pontiac Vibe,1
Alameda,2017-08-01,Volkswagen,Volkswagen Eurovan,1
Alameda,2017-08-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2017-09-01,Acura,Acura MDX,1
Alameda,2017-09-01,GMC,GMC Jimmy,1
Alameda,2017-09-01,Toyota,Toyota 4-Runner,1
Alameda,2017-09-01,Ford,Ford Escape,1
Alameda,2017-10-01,Chevrolet,Chevrolet Truck,2
Alameda,2017-10-01,Ford,Ford Econoline E350,1
Alameda,2017-11-01,Infiniti,Infiniti I30,1
Alameda,2017-12-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2017-12-01,Chevrolet,Chevrolet Spark,1
Arbor Lodge,2017-01-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2017-01-01,Honda,Honda Motorcycle,1
Arbor Lodge,2017-01-01,Cadillac,Cadillac DeVille,1
Arbor Lodge,2017-02-01,Dodge,Dodge Ram 2500,1
Arbor Lodge,2017-02-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2017-02-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2017-03-01,Toyota,Toyota Sequoia,1
Arbor Lodge,2017-03-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2017-04-01,Honda,"Honda Accord, Accord Crosstour",2
Arbor Lodge,2017-04-01,Volvo,Volvo S70,1
