neighborhood,month_start,make,model,stolen_count
Alameda,2018-01-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2018-01-01,Chevrolet,Chevrolet S10,1
Alameda,2018-02-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2018-02-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2018-03-01,Honda,"Honda Accord, Accord Crosstour",2
Alameda,2018-03-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2018-04-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2018-05-01,Honda,Honda Odyssey,1
Alameda,2018-06-01,Lexus,Lexus ES350,1
Alameda,2018-06-01,Subaru,Subaru Outback,1
Alameda,2018-06-01,Mazda,Mazda MX6,1
Alameda,2018-06-01,Volkswagen,Volkswagen Tiguan,1
Alameda,2018-06-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2018-07-01,Jeep,Jeep Grand Cherokee,1
Alameda,2018-07-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2018-07-01,Toyota,Toyota Camry,1
Alameda,2018-07-01,Acura,Acura MDX,1
Alameda,2018-09-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2018-09-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2018-10-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2018-01-01,Ford,Ford F450,1
Arbor Lodge,2018-01-01,Toyota,Toyota Camry,1
Arbor Lodge,2018-02-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-03-01,Isuzu,Isuzu Trooper,1
Arbor Lodge,2018-04-01,Acura,Acura Integra,1
Arbor Lodge,2018-05-01,Jeep,Jeep Cherokee,1
Arbor Lodge,2018-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-05-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2018-05-01,Honda,Honda CRV,1
Arbor Lodge,2018-05-01,Kawasaki,Kawasaki Motorcycle,1
Arbor Lodge,2018-05-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2018-06-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2018-06-01,BMW,Unknown BMW Model,1
Arbor Lodge,2018-06-01,Acura,Acura Integra,1
Arbor Lodge,2018-06-01,Ford,Ford F250,1
Arbor Lodge,2018-06-01,Nissan,Nissan Truck,1
Arbor Lodge,2018-06-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-07-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2018-07-01,Saturn,Saturn L Series Wagon,1
Arbor Lodge,2018-07-01,Honda,Honda CRV,1
Arbor Lodge,2018-07-01,Honda,Honda Motorcycle,1
Arbor Lodge,2018-07-01,Acura,Acura Integra,1
Arbor Lodge,2018-07-01,Nissan,Nissan Altima,1
Arbor Lodge,2018-08-01,Nissan,Nissan Sentra,1
Arbor Lodge,2018-08-01,Nissan,Nissan Truck,1
Arbor Lodge,2018-08-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2018-08-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-08-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2018-09-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2018-09-01,Isuzu,Isuzu Truck,1
Arbor Lodge,2018-09-01,Adly Moto LLC,Adly Moto LLC Motorcycle,1
Arbor Lodge,2018-09-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-09-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2018-09-01,Nissan,Nissan Truck,1
Arbor Lodge,2018-09-01,Nissan,"Nissan Pathfinder, Pathfinder Armada",1
Arbor Lodge,2018-09-01,Honda,Honda Prelude,1
Arbor Lodge,2018-10-01,Hyundai,Hyundai Accent,1
Arbor Lodge,2018-10-01,Dodge,"Dodge Caravan, Grand Caravan",1
Arbor Lodge,2018-10-01,Kymco,Kymco Motorcycle,1
Arbor Lodge,2018-10-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-11-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2018-11-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2018-11-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2018-11-01,Honda,Honda CRV,1
Arbor Lodge,2018-12-01,Honda,Honda CRV,2
Arbor Lodge,2018-12-01,GMC,GMC Truck,1
Arbor Lodge,2018-12-01,Ford,Ford F150,1
Arbor Lodge,2018-12-01,Acura,Acura CL Series,1
Arbor Lodge,2018-12-01,Nissan,Nissan Sentra,1
Arbor Lodge,2018-12-01,Toyota,Toyota Camry,1
Ardenwald,2018-04-01,Toyota,Toyota Truck,1
Ardenwald,2018-04-01,Nissan,Unknown Nissan Model,1
Ardenwald,2018-04-01,Chevrolet,Chevrolet Impala,1
Ardenwald,2018-10-01,Toyota,"Toyota Corolla, Corolla IM",1
Ardenwald,2018-10-01,Nissan,Nissan Truck,1
Ardenwald,2018-11-01,Subaru,"Subaru Impreza, Impreza Outback",1
Ardenwald,2018-11-01,Toyota,Toyota Tacoma,1
Ardenwald,2018-12-01,Jeep,Jeep Cherokee,1
Ardenwald,2018-12-01,Toyota,Toyota Truck,1
Ardenwald,2018-12-01,Toyota,Toyota Paseo,1
Ardenwald,2018-12-01,Honda,"Honda Accord, Accord Crosstour",1
Ardenwald,2018-12-01,Honda,"Honda Civic, CRX, Del Sol",1
Ardenwald,2018-12-01,Honda,Honda CRV,1
Argay,2018-01-01,Honda,Honda CRV,2
Argay,2018-01-01,Honda,"Honda Accord, Accord Crosstour",2
Argay,2018-01-01,Dodge,Dodge Neon,1
Argay,2018-01-01,Dodge,Dodge Ram 2500,1
Argay,2018-01-01,Ford,Ford Econoline E250,1
Argay,2018-01-01,Nissan,Nissan Truck,1
Argay,2018-01-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2018-01-01,Ford,Ford Ranger,1
Argay,2018-01-01,Ford,Ford Econoline E450,1
Argay,2018-01-01,Toyota,Toyota Camry,1
Argay,2018-01-01,Toyota,Unknown,1
Argay,2018-02-01,Nissan,Unknown Nissan Model,1
Argay,2018-02-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2018-02-01,Ford,Ford F150,1
Argay,2018-02-01,Mazda,Mazda Mazda 3,1
Argay,2018-02-01,Toyota,"Toyota Corolla, Corolla IM",1
Argay,2018-03-01,Freightliner Corp,Freightliner Corp Truck,1
Argay,2018-03-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2018-03-01,Honda,Honda Prelude,1
Argay,2018-03-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2018-04-01,Mercedes-Benz,Unknown Mercedes-Benz Model,1
Argay,2018-04-01,Toyota,Toyota Camry,1
Argay,2018-04-01,Hyundai,Hyundai Accent,1
Argay,2018-04-01,Honda,Honda CRV,1
Argay,2018-04-01,Ford,Ford Transit Connect,1
Argay,2018-04-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2018-05-01,Honda,Honda CRV,1
Argay,2018-05-01,Jeep,Jeep Grand Cherokee,1
Argay,2018-05-01,Ford,Ford Ranger,1
