neighborhood,month_start,make,model,stolen_count
Alameda,2019-01-01,Honda,"Honda Civic, CRX, Del Sol",2
Alameda,2019-01-01,Subaru,Subaru Forester,1
Alameda,2019-02-01,Honda,Honda Odyssey,1
Alameda,2019-03-01,Honda,Honda CRV,1
Alameda,2019-04-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2019-04-01,Honda,Honda CRV,1
Alameda,2019-06-01,Acura,Acura Integra,1
Alameda,2019-06-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2019-07-01,BMW,BMW X2,1
Alameda,2019-07-01,Volkswagen,Volkswagen Vanagon,1
Alameda,2019-08-01,Suzuki,Suzuki Sidekick,1
Alameda,2019-09-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2019-10-01,Honda,Honda CRV,2
Alameda,2019-10-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2019-10-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2019-10-01,Ford,Ford Escape,1
Alameda,2019-11-01,Subaru,Subaru Forester,1
Alameda,2019-11-01,Chevrolet,Chevrolet Silverado,1
Alameda,2019-11-01,Honda,Honda CRV,1
Alameda,2019-11-01,Chevrolet,Chevrolet Tahoe,1
Alameda,2019-12-01,Honda,Honda CRV,2
Alameda,2019-12-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2019-12-01,Subaru,Subaru Forester,1
Alameda,2019-12-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2019-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2019-01-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2019-01-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2019-01-01,Honda,Honda Odyssey,1
Arbor Lodge,2019-01-01,Hyundai,Hyundai Santa Fe,1
Arbor Lodge,2019-01-01,Jeep,Jeep Cherokee,1
Arbor Lodge,2019-02-01,Honda,Honda CRV,1
Arbor Lodge,2019-02-01,Ford,Ford F150,1
