neighborhood,month_start,make,model,stolen_count
Alameda,2022-01-01,Toyota,Toyota Truck,2
Alameda,2022-01-01,Hyundai,Hyundai Santa Fe,1
Alameda,2022-01-01,Subaru,Subaru Outback,1
Alameda,2022-01-01,Subaru,Subaru Forester,1
Alameda,2022-02-01,Honda,Honda CRV,1
Alameda,2022-03-01,Ford,Ford Econoline E150,2
Alameda,2022-03-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2022-03-01,Toyota,Toyota Camry,1
Alameda,2022-04-01,Subaru,"Subaru Legacy, Legacy Outback",2
Alameda,2022-04-01,Ford,Ford F150,1
Alameda,2022-06-01,Subaru,Subaru Outback,1
Alameda,2022-06-01,Ford,Ford Expedition,1
Alameda,2022-06-01,Jeep,Jeep Cherokee,1
Alameda,2022-07-01,Subaru,Subaru Forester,1
Alameda,2022-07-01,Ford,Ford F250,1
Alameda,2022-08-01,Toyota,Toyota Pre Runner,1
Alameda,2022-08-01,Kia Motors Corp,Kia Motors Corp Optima,1
Alameda,2022-08-01,Saturn,Saturn SC,1
Alameda,2022-08-01,Toyota,Toyota Camry,1
Alameda,2022-09-01,Saturn,Saturn SL,1
Alameda,2022-09-01,GMC,GMC Envoy,1
Alameda,2022-09-01,Lexus,Lexus GX470,1
Alameda,2022-10-01,Ford,Ford F350,1
Alameda,2022-10-01,Mazda,Mazda CX5,1
Alameda,2022-10-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Alameda,2022-11-01,Subaru,"Subaru Legacy, Legacy Outback",2
Alameda,2022-11-01,Toyota,"Toyota Corolla, Corolla IM",1
Alameda,2022-12-01,Honda,Honda CRV,2
Arbor Lodge,2022-01-01,Subaru,"Subaru Legacy, Legacy Outback",3
Arbor Lodge,2022-01-01,Toyota,Toyota Truck,2
Arbor Lodge,2022-01-01,Subaru,Subaru Forester,2
Arbor Lodge,2022-01-01,Hyundai,Hyundai Elantra,1
