neighborhood,month_start,make,model,stolen_count
Alameda,2026-01-01,Hyundai,Hyundai Elantra,1
Alameda,2026-01-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Alameda,2026-03-01,Ford,Ford Econoline E350,1
Alameda,2026-04-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2026-01-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2026-01-01,Ford,Ford Ranger,1
Arbor Lodge,2026-01-01,Ford,Ford Explorer,1
Arbor Lodge,2026-01-01,Subaru,Subaru Forester,1
Arbor Lodge,2026-01-01,Kia Motors Corp,Kia Motors Corp Optima,1
Arbor Lodge,2026-01-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2026-02-01,GMC,GMC Sierra,1
Arbor Lodge,2026-02-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Arbor Lodge,2026-02-01,Toyota,Toyota Tacoma,1
Arbor Lodge,2026-02-01,Harley Davidson,Harley Davidson Motorcycle,1
Arbor Lodge,2026-02-01,Volkswagen,Volkswagen Golf,1
Arbor Lodge,2026-03-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2026-03-01,Tesla Motors,Tesla Motors Model 3,1
Arbor Lodge,2026-03-01,Ford,Ford Explorer,1
Arbor Lodge,2026-04-01,Toyota,Toyota Truck,1
Arbor Lodge,2026-04-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2026-01-01,Honda,Honda CRV,1
Argay,2026-01-01,Kawasaki,Kawasaki Motorcycle,1
Argay,2026-01-01,Polaris,Polaris Snowmobile-Wheels only,1
Argay,2026-02-01,Dodge,Dodge Charger,1
Argay,2026-02-01,Ford,Ford Explorer,1
Argay,2026-02-01,Ford,Ford Econoline E350,1
Argay,2026-02-01,Nissan,Nissan KICKS,1
Argay,2026-03-01,GMC,GMC Terrain,1
Argay,2026-03-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Argay,2026-03-01,Hyundai,Hyundai Sonata,1
Argay,2026-03-01,Jeep,Jeep Cherokee,1
Argay,2026-03-01,Toyota,"Toyota Corolla, Corolla IM",1
Argay,2026-03-01,Ford,Ford Fusion,1
Argay,2026-04-01,Kia Motors Corp,Kia Motors Corp Sorrento,1
Ashcreek,2026-01-01,Jeep,Jeep Grand Cherokee,1
