neighborhood,month_start,make,model,stolen_count
Alameda,2015-06-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Alameda,2015-07-01,Honda,"Honda Accord, Accord Crosstour",2
Alameda,2015-07-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2015-08-01,Kia Motors Corp,Kia Motors Corp Sorrento,1
Alameda,2015-09-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2015-09-01,Chevrolet,Chevrolet Sportvan,1
Alameda,2015-10-01,BMW,BMW 325i *(DO NOT USE CODE),1
Alameda,2015-11-01,International Harvester,Unknown International Harvester Model,1
Alameda,2015-11-01,Acura,Acura Integra,1
Arbor Lodge,2015-05-01,Ford,Ford Escape,1
Arbor Lodge,2015-05-01,Mazda,Mazda B2000,1
Arbor Lodge,2015-06-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2015-10-01,GMC,GMC Sierra,1
Arbor Lodge,2015-10-01,Nissan,Nissan Truck,1
Arbor Lodge,2015-11-01,Taotao Ind Co or Zhejiang Taotao Industry Co Ltd,Unknown Taotao Ind Co or Zhejiang Taotao Industry Co Ltd Model,1
Arbor Lodge,2015-11-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2015-11-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2015-11-01,Ford,Ford Ranger,1
Arbor Lodge,2015-12-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2015-12-01,Toyota,Toyota Camry,1
Arbor Lodge,2015-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Ardenwald,2015-05-01,Chevrolet,Chevrolet Lumina,1
Ardenwald,2015-06-01,Subaru,"Subaru Impreza, Impreza Outback",1
Ardenwald,2015-07-01,Chevrolet,Chevrolet S10,1
Ardenwald,2015-10-01,Honda,"Honda Accord, Accord Crosstour",1
Ardenwald,2015-11-01,Honda,Honda CRV,1
Argay,2015-05-01,Chevrolet,Chevrolet El Camino,1
Argay,2015-05-01,Ford,Ford Econoline E250,1
Argay,2015-06-01,Subaru,"Subaru Legacy, Legacy Outback",3
Argay,2015-06-01,Acura,Acura Legend,1
Argay,2015-06-01,Subaru,Unknown Subaru Model,1
Argay,2015-06-01,Mazda,Mazda B2600,1
Argay,2015-06-01,Kia Motors Corp,Kia Motors Corp Rio,1
Argay,2015-06-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2015-06-01,Unknown,Twist N' Go,1
Argay,2015-07-01,Subaru,"Subaru Impreza, Impreza Outback",2
Argay,2015-07-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2015-07-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2015-08-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2015-09-01,Subaru,"Subaru Legacy, Legacy Outback",1
Argay,2015-09-01,Mazda,Mazda Tribute,1
Argay,2015-09-01,Chevrolet,Chevrolet TrailBlazer,1
Argay,2015-09-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2015-09-01,Kia Motors Corp,Kia Motors Corp Optima,1
Argay,2015-10-01,Honda,"Honda Civic, CRX, Del Sol",3
Argay,2015-10-01,Honda,"Honda Accord, Accord Crosstour",3
Argay,2015-10-01,Acura,Acura Vigor,1
Argay,2015-10-01,Toyota,Toyota Camry,1
Argay,2015-10-01,Ford,Ford F250,1
Argay,2015-10-01,Acura,Acura Integra,1
Argay,2015-11-01,Acura,Acura Integra,3
Argay,2015-11-01,Honda,"Honda Accord, Accord Crosstour",2
Argay,2015-11-01,Honda,"Honda Civic, CRX, Del Sol",2
Argay,2015-11-01,Ford,Ford Fusion,1
Argay,2015-11-01,Subaru,"Subaru Impreza, Impreza Outback",1
Argay,2015-11-01,Ford,Ford Econoline E250,1
Argay,2015-12-01,Honda,"Honda Civic, CRX, Del Sol",2
Argay,2015-12-01,Jeep,Jeep Grand Cherokee,1
Argay,2015-12-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2015-12-01,Toyota,Toyota Tundra,1
Arlington Heights,2015-05-01,Volvo,Unknown Volvo Model,1
Arnold Creek,2015-11-01,Subaru,Subaru Outback,1
Ashcreek,2015-06-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Ashcreek,2015-08-01,Dodge,Dodge Durango,1
Ashcreek,2015-09-01,Chevrolet,Chevrolet Silverado,1
Beaumont-Wilshire,2015-05-01,Subaru,"Subaru Legacy, Legacy Outback",1
Beaumont-Wilshire,2015-06-01,Audi,Unknown Audi Model,1
Beaumont-Wilshire,2015-06-01,Ducati,Ducati Motorcycle,1
Beaumont-Wilshire,2015-07-01,Subaru,"Subaru Legacy, Legacy Outback",1
Beaumont-Wilshire,2015-10-01,Ford,Ford F150,1
Beaumont-Wilshire,2015-10-01,Volkswagen,Volkswagen Passat,1
Beaumont-Wilshire,2015-10-01,Volkswagen,Volkswagen Golf,1
Beaumont-Wilshire,2015-11-01,Honda,"Honda Civic, CRX, Del Sol",1
Beaumont-Wilshire,2015-11-01,Chevrolet,Chevrolet Truck,1
Beaumont-Wilshire,2015-11-01,Mazda,Mazda B2600,1
Beaumont-Wilshire,2015-11-01,Ford,Ford F150,1
Beaumont-Wilshire,2015-12-01,Honda,"Honda Civic, CRX, Del Sol",2
Boise,2015-05-01,Honda,"Honda Accord, Accord Crosstour",1
Boise,2015-06-01,Yamaha,Yamaha Motorcycle,1
Boise,2015-07-01,Honda,Honda CRV,1
Boise,2015-07-01,Subaru,"Subaru Legacy, Legacy Outback",1
Boise,2015-07-01,Ford,"Ford Taurus, Taurus X",1
Boise,2015-08-01,Honda,"Honda Civic, CRX, Del Sol",1
Boise,2015-08-01,Ford,Ford Econoline E350,1
Boise,2015-08-01,Audi,Audi A6,1
Boise,2015-09-01,Dodge,Dodge Caliber,1
Boise,2015-09-01,Honda,"Honda Accord, Accord Crosstour",1
Boise,2015-09-01,Honda,Honda CRV,1
Boise,2015-10-01,Honda,"Honda Civic, CRX, Del Sol",1
Boise,2015-10-01,Acura,Acura Integra,1
Boise,2015-11-01,Subaru,"Subaru Legacy, Legacy Outback",1
Boise,2015-11-01,Honda,Honda CRV,1
Boise,2015-11-01,Subaru,"Subaru Impreza, Impreza Outback",1
Boise,2015-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Brentwood-Darlington,2015-05-01,Toyota,Toyota Tercel,1
Brentwood-Darlington,2015-05-01,Acura,Acura Integra,1
Brentwood-Darlington,2015-05-01,Honda,"Honda Accord, Accord Crosstour",1
Brentwood-Darlington,2015-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Brentwood-Darlington,2015-06-01,Ford,Ford Explorer,1
Brentwood-Darlington,2015-07-01,Honda,"Honda Accord, Accord Crosstour",1
Brentwood-Darlington,2015-07-01,Honda,"Honda Civic, CRX, Del Sol",1
Brentwood-Darlington,2015-08-01,Honda,"Honda Civic, CRX, Del Sol",2
Brentwood-Darlington,2015-08-01,Chevrolet,Chevrolet Lumina,1
Brentwood-Darlington,2015-08-01,Toyota,Toyota Tacoma,1
Brentwood-Darlington,2015-08-01,Acura,Acura Integra,1
Brentwood-Darlington,2015-09-01,Honda,Honda CRV,1
Brentwood-Darlington,2015-09-01,Nissan,Nissan Sentra,1
Brentwood-Darlington,2015-09-01,Yamaha,Yamaha Motorcycle,1
Brentwood-Darlington,2015-09-01,Chevrolet,Chevrolet S10,1
Brentwood-Darlington,2015-10-01,Subaru,"Subaru Legacy, Legacy Outback",1
