neighborhood,month_start,make,model,stolen_count
Alameda,2016-01-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2016-01-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2016-01-01,Honda,Honda CRV,1
Alameda,2016-03-01,Chevrolet,Chevrolet Tahoe,1
Alameda,2016-03-01,Scion,Scion XB,1
Alameda,2016-04-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2016-05-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2016-06-01,Subaru,Subaru Outback,1
Alameda,2016-09-01,Ford,Ford Explorer,1
Alameda,2016-10-01,Nissan,Nissan Truck,1
Alameda,2016-10-01,Honda,Honda Odyssey,1
Alameda,2016-10-01,Ford,Ford Explorer,1
Alameda,2016-10-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2016-11-01,Acura,Acura Integra,1
Alameda,2016-11-01,Toyota,Toyota Highlander,1
Alameda,2016-11-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2016-11-01,Audi,Audi A6,1
Alameda,2016-12-01,Chevrolet,Chevrolet S10,1
Alameda,2016-12-01,Toyota,Toyota Land Cruiser,1
Alameda,2016-12-01,Acura,Acura Integra,1
Alameda,2016-12-01,Honda,Honda CRV,1
Alameda,2016-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2016-01-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2016-01-01,Kia Motors Corp,Kia Motors Corp Rondo,1
Arbor Lodge,2016-01-01,Toyota,Toyota Tacoma,1
Arbor Lodge,2016-01-01,Nissan,Nissan Truck,1
Arbor Lodge,2016-02-01,Ford,Ford Explorer,1
Arbor Lodge,2016-02-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2016-03-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2016-04-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2016-04-01,Toyota,Toyota Previa,1
Arbor Lodge,2016-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2016-05-01,Nissan,Nissan 240SX,1
Arbor Lodge,2016-06-01,Mercedes-Benz,Mercedes-Benz C230,1
Arbor Lodge,2016-06-01,Toyota,Toyota Corona,1
Arbor Lodge,2016-06-01,Toyota,Toyota Camry,1
Arbor Lodge,2016-07-01,Honda,"Honda Accord, Accord Crosstour",2
Arbor Lodge,2016-07-01,Toyota,Toyota Truck,1
Arbor Lodge,2016-07-01,Ford,Ford Econoline E250,1
Arbor Lodge,2016-08-01,Volvo,"Volvo S60, S60I, S60CC",1
Arbor Lodge,2016-08-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2016-09-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2016-10-01,Jeep,Jeep Grand Cherokee,1
Arbor Lodge,2016-10-01,Mazda,Mazda B2200,1
Arbor Lodge,2016-10-01,Ford,Ford Explorer,1
Arbor Lodge,2016-10-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2016-11-01,Honda,"Honda Civic, CRX, Del Sol",4
Arbor Lodge,2016-11-01,Nissan,Nissan Maxima,1
Arbor Lodge,2016-11-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2016-11-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2016-12-01,Toyota,"Toyota Corolla, Corolla IM",1
Arbor Lodge,2016-12-01,Freightliner Corp,Freightliner Corp Sprinter,1
Arbor Lodge,2016-12-01,Subaru,Subaru Outback Sport,1
Arbor Lodge,2016-12-01,Honda,"Honda Accord, Accord Crosstour",1
Ardenwald,2016-09-01,Toyota,Toyota 4-Runner,1
Ardenwald,2016-12-01,Subaru,"Subaru Legacy, Legacy Outback",2
Argay,2016-01-01,Honda,"Honda Civic, CRX, Del Sol",2
Argay,2016-01-01,Honda,"Honda Accord, Accord Crosstour",2
Argay,2016-01-01,Acura,Acura Integra,1
Argay,2016-01-01,Ford,Ford Explorer,1
Argay,2016-01-01,Chevrolet,Chevrolet Astro,1
Argay,2016-01-01,Oldsmobile,Oldsmobile Alero,1
Argay,2016-01-01,Nissan,Nissan Sentra,1
Argay,2016-01-01,Volkswagen,Volkswagen Jetta,1
Argay,2016-02-01,Honda,"Honda Accord, Accord Crosstour",3
Argay,2016-02-01,Volkswagen,Volkswagen Passat,3
Argay,2016-02-01,Nissan,Nissan Maxima,1
Argay,2016-02-01,Kia Motors Corp,Kia Motors Corp Sportage,1
Argay,2016-02-01,Saturn,Saturn SL,1
Argay,2016-02-01,Ford,Ford F350,1
Argay,2016-02-01,Dodge,Dodge Ram 2500,1
Argay,2016-03-01,Honda,"Honda Accord, Accord Crosstour",4
Argay,2016-03-01,Ford,Ford F150,2
Argay,2016-03-01,Ford,Ford Escort,2
Argay,2016-03-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2016-03-01,Jeep,Jeep Cherokee,1
Argay,2016-03-01,Plymouth,Plymouth Neon,1
Argay,2016-03-01,Toyota,"Toyota Corolla, Corolla IM",1
Argay,2016-04-01,Honda,"Honda Accord, Accord Crosstour",1
Argay,2016-04-01,Jeep,Jeep Grand Cherokee,1
Argay,2016-05-01,Chrysler,Chrysler Town & Country Minivan,1
Argay,2016-05-01,GMC,GMC Savana,1
Argay,2016-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2016-05-01,Chevrolet,Chevrolet Express,1
Argay,2016-05-01,Dodge,Dodge Ram 1500,1
Argay,2016-06-01,Honda,"Honda Civic, CRX, Del Sol",2
Argay,2016-06-01,Subaru,"Subaru Legacy, Legacy Outback",1
Argay,2016-06-01,Ford,Ford Expedition,1
