neighborhood,month_start,make,model,stolen_count
Alameda,2024-01-01,Hyundai,Hyundai Santa Fe,1
Alameda,2024-01-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Alameda,2024-02-01,Audi,Audi Q7,1
Alameda,2024-02-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Alameda,2024-02-01,Volvo,Volvo XC90,1
Alameda,2024-05-01,Piaggio Group Americas Inc,Piaggio Group Americas Inc Motorcycle,1
Alameda,2024-05-01,Kia Motors Corp,Kia Motors Corp Sorrento,1
Alameda,2024-06-01,Chevrolet,Chevrolet Suburban,1
Alameda,2024-07-01,Subaru,Subaru Forester,1
Alameda,2024-07-01,Toyota,Toyota RAV4,1
Alameda,2024-09-01,Chevrolet,Chevrolet Avalanche,1
Alameda,2024-10-01,Toyota,Toyota Highlander,1
Alameda,2024-10-01,Subaru,Subaru Outback,1
Alameda,2024-10-01,Ford,Ford F150,1
Alameda,2024-11-01,Toyota,Toyota Camry,1
Arbor Lodge,2024-01-01,Kia Motors Corp,Kia Motors Corp Optima,1
Arbor Lodge,2024-01-01,Toyota,Toyota Tacoma,1
Arbor Lodge,2024-01-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2024-01-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2024-02-01,Toyota,Toyota Tacoma,1
Arbor Lodge,2024-02-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2024-02-01,Kia Motors Corp,Kia Motors Corp Seltos,1
Arbor Lodge,2024-02-01,Honda,Honda CRV,1
Arbor Lodge,2024-02-01,Kia Motors Corp,Kia Motors Corp Soul,1
Arbor Lodge,2024-02-01,Kia Motors Corp,"Kia Motors Corp Forte, Forte Koup",1
Arbor Lodge,2024-02-01,Ford,Ford F250,1
Arbor Lodge,2024-03-01,Ford,Ford F250,1
Arbor Lodge,2024-03-01,Hyundai,Hyundai Tucson,1
Arbor Lodge,2024-03-01,Chevrolet,Chevrolet Classic,1
