neighborhood,month_start,make,model,stolen_count
Alameda,2020-01-01,Honda,Honda CRV,1
Alameda,2020-03-01,Toyota,Toyota Truck,1
Alameda,2020-04-01,Honda,Honda CRV,1
Alameda,2020-04-01,Subaru,Subaru Outback,1
Alameda,2020-04-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2020-05-01,Honda,Honda CRV,1
Alameda,2020-05-01,Chevrolet,Chevrolet Tahoe,1
Alameda,2020-05-01,Toyota,Toyota Camry,1
Alameda,2020-05-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2020-06-01,Toyota,Toyota RAV4,1
Alameda,2020-06-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2020-07-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2020-09-01,Toyota,"Toyota Corolla, Corolla IM",1
Alameda,2020-09-01,Nissan,Nissan Terrano,1
Alameda,2020-09-01,Vespa,Vespa Motorcycle,1
Alameda,2020-09-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2020-10-01,Honda,"Honda Accord, Accord Crosstour",2
Alameda,2020-10-01,Toyota,Toyota Land Cruiser,1
Alameda,2020-11-01,Toyota,Toyota Prius,1
Alameda,2020-11-01,Toyota,Unknown Toyota Model,1
Alameda,2020-11-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2020-12-01,Mazda,Mazda Miata,1
Alameda,2020-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2020-12-01,Nissan,Nissan Truck,1
Alameda,2020-12-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2020-01-01,Dodge,"Dodge Caravan, Grand Caravan",2
Arbor Lodge,2020-01-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2020-01-01,Toyota,Toyota Camry,1
Arbor Lodge,2020-01-01,Honda,Honda Motorcycle,1
Arbor Lodge,2020-01-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2020-02-01,Chevrolet,Chevrolet Metro,1
Arbor Lodge,2020-02-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2020-02-01,Hummer,"Hummer Hummer 3 HU3, H3X, H3TX",1
Arbor Lodge,2020-03-01,Honda,"Honda Civic, CRX, Del Sol",3
Arbor Lodge,2020-03-01,Nissan,Nissan Truck,1
Arbor Lodge,2020-03-01,GMC,GMC Sierra,1
Arbor Lodge,2020-03-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2020-04-01,Nissan,Nissan Sentra,1
Arbor Lodge,2020-04-01,Subaru,Subaru Outback,1
Arbor Lodge,2020-04-01,Toyota,Unknown Toyota Model,1
Arbor Lodge,2020-05-01,Honda,Honda Element,2
Arbor Lodge,2020-05-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2020-05-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2020-05-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2020-06-01,Honda,Honda Motorcycle,2
Arbor Lodge,2020-06-01,Infiniti,Infiniti G35,1
Arbor Lodge,2020-06-01,Acura,Acura Integra,1
Arbor Lodge,2020-06-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2020-07-01,Toyota,Toyota Tacoma,2
Arbor Lodge,2020-07-01,Honda,"Honda Accord, Accord Crosstour",2
Arbor Lodge,2020-07-01,Chevrolet,Chevrolet C/K 1500,1
Arbor Lodge,2020-07-01,Subaru,"Subaru Legacy, Legacy Outback",1
Arbor Lodge,2020-07-01,Chrysler,Chrysler 300 300C 300M SRT8,1
Arbor Lodge,2020-08-01,Toyota,Toyota Prius,1
Arbor Lodge,2020-08-01,Ford,Ford Econoline E350,1
Arbor Lodge,2020-08-01,Dodge,Dodge Dakota,1
Arbor Lodge,2020-09-01,Subaru,"Subaru Crosstrek, XV Crosstrek",1
Arbor Lodge,2020-09-01,Nissan,Nissan Altima,1
Arbor Lodge,2020-09-01,Vespa,Vespa Motorcycle,1
Arbor Lodge,2020-09-01,SYM USA/Sanyang Motorcycle,Unknown SYM USA/Sanyang Motorcycle Model,1
Arbor Lodge,2020-09-01,Suzuki,Suzuki Motorcycle,1
Arbor Lodge,2020-09-01,Ford,Ford Econoline E350,1
Arbor Lodge,2020-09-01,Ford,Ford F150,1
Arbor Lodge,2020-09-01,Subaru,Subaru Ascent,1
Arbor Lodge,2020-10-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2020-10-01,Triumph Motor Co,Triumph Motor Co Motorcycle,1
Arbor Lodge,2020-10-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2020-11-01,Subaru,"Subaru Legacy, Legacy Outback",3
Arbor Lodge,2020-11-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2020-11-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2020-11-01,Kawasaki,Kawasaki Motorcycle,1
Arbor Lodge,2020-12-01,BMW,BMW 325i *(DO NOT USE CODE),1
Arbor Lodge,2020-12-01,Toyota,"Toyota Corolla, Corolla IM",1
Arbor Lodge,2020-12-01,Jeep,Jeep Cherokee,1
Arbor Lodge,2020-12-01,Mercury,Mercury Capri,1
Arbor Lodge,2020-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Ardenwald,2020-03-01,Chrysler,Chrysler New Yorker,1
Ardenwald,2020-07-01,Nissan,"Nissan Rogue, Rogue Select, Rogue Sport",1
Ardenwald,2020-12-01,Toyota,Toyota Camry,1
Argay,2020-01-01,Honda,"Honda Civic, CRX, Del Sol",4
Argay,2020-01-01,Nissan,Nissan Sentra,1
Argay,2020-01-01,Chevrolet,Chevrolet S10,1
Argay,2020-01-01,Chevrolet,Chevrolet Truck,1
Argay,2020-01-01,Dodge,Dodge Ram 1500,1
Argay,2020-01-01,Subaru,"Subaru Legacy, Legacy Outback",1
Argay,2020-01-01,Lexus,Lexus LS460,1
Argay,2020-02-01,Honda,"Honda Civic, CRX, Del Sol",1
Argay,2020-02-01,Chevrolet,Chevrolet G20,1
Argay,2020-02-01,Subaru,"Subaru Legacy, Legacy Outback",1
Argay,2020-02-01,Kia Motors Corp,Kia Motors Corp Rio,1
Argay,2020-03-01,Mitsubishi,"Mitsubishi Lancer, Lancer Evolution",1
