neighborhood,month_start,make,model,stolen_count
Alameda,2021-02-01,Subaru,Subaru Forester,2
Alameda,2021-02-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2021-02-01,Jeep,Jeep Wrangler,1
Alameda,2021-02-01,Honda,Honda CRV,1
Alameda,2021-02-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2021-03-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2021-03-01,Honda,Honda Odyssey,1
Alameda,2021-03-01,Toyota,Toyota Prius,1
Alameda,2021-03-01,Honda,Honda CRV,1
Alameda,2021-03-01,Mercury,Mercury Sable,1
Alameda,2021-03-01,Chevrolet,Chevrolet C/K 1500,1
Alameda,2021-04-01,Mazda,Mazda B2000,1
Alameda,2021-04-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2021-05-01,Honda,"Honda Accord, Accord Crosstour",2
Alameda,2021-05-01,Subaru,"Subaru Legacy, Legacy Outback",2
Alameda,2021-05-01,Jeep,Jeep Grand Cherokee,1
Alameda,2021-05-01,Honda,Honda CRV,1
Alameda,2021-06-01,Honda,"Honda Civic, CRX, Del Sol",2
Alameda,2021-06-01,Subaru,"Subaru Legacy, Legacy Outback",2
Alameda,2021-06-01,Honda,Honda CRV,2
Alameda,2021-06-01,Subaru,Subaru Forester,2
Alameda,2021-06-01,Audi,Audi Q5,1
Alameda,2021-06-01,Toyota,Toyota Camry,1
Alameda,2021-06-01,Chevrolet,Chevrolet Truck,1
Alameda,2021-07-01,Subaru,Subaru Forester,3
Alameda,2021-07-01,Toyota,Toyota Camry,1
Alameda,2021-07-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2021-07-01,Toyota,Toyota Highlander,1
Alameda,2021-08-01,GMC,GMC Sonoma,1
Alameda,2021-08-01,Subaru,Subaru Forester,1
Alameda,2021-08-01,Ford,Ford Econoline E350,1
Alameda,2021-08-01,Subaru,"Subaru Impreza, Impreza Outback",1
Alameda,2021-09-01,Land Rover,Land Rover LR4,2
Alameda,2021-09-01,Subaru,Subaru Forester,1
Alameda,2021-09-01,Toyota,Toyota Truck,1
Alameda,2021-09-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2021-10-01,Subaru,Subaru Forester,2
Alameda,2021-10-01,Ford,Ford F350,1
Alameda,2021-10-01,Toyota,Toyota Truck,1
Alameda,2021-10-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2021-10-01,Ford,Ford Ranger,1
Alameda,2021-10-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2021-10-01,Honda,Honda CRV,1
Alameda,2021-10-01,Honda,"Honda Civic, CRX, Del Sol",1
Alameda,2021-11-01,Subaru,Subaru Forester,1
Alameda,2021-11-01,Honda,"Honda Accord, Accord Crosstour",1
Alameda,2021-12-01,Subaru,"Subaru Legacy, Legacy Outback",1
Alameda,2021-12-01,Ford,Ford F150,1
Alameda,2021-12-01,Nissan,Nissan Sentra,1
Alameda,2021-12-01,Toyota,Toyota RAV4,1
Alameda,2021-12-01,Nissan,Nissan Truck,1
Arbor Lodge,2021-01-01,Honda,"Honda Civic, CRX, Del Sol",3
Arbor Lodge,2021-01-01,Pontiac,Pontiac Grand AM,1
Arbor Lodge,2021-01-01,Volkswagen,Volkswagen Jetta,1
Arbor Lodge,2021-01-01,GMC,GMC Terrain,1
Arbor Lodge,2021-02-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2021-02-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2021-02-01,Ford,Ford Escape,1
Arbor Lodge,2021-02-01,Toyota,Toyota Truck,1
Arbor Lodge,2021-02-01,Toyota,Toyota Prius,1
Arbor Lodge,2021-02-01,Nissan,Nissan Truck,1
Arbor Lodge,2021-02-01,Jeep,Jeep Grand Cherokee,1
Arbor Lodge,2021-02-01,Dodge,Dodge Ram 1500,1
Arbor Lodge,2021-03-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2021-03-01,Subaru,Subaru Forester,1
Arbor Lodge,2021-03-01,Chevrolet,Chevrolet Silverado,1
Arbor Lodge,2021-03-01,Honda,Honda CRV,1
Arbor Lodge,2021-03-01,Acura,Acura TL Series,1
Arbor Lodge,2021-03-01,Dodge,Dodge Challenger,1
Arbor Lodge,2021-03-01,Lexus,Lexus RX350,1
Arbor Lodge,2021-03-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-03-01,Cadillac,Cadillac SRX,1
Arbor Lodge,2021-04-01,Subaru,"Subaru Impreza, Impreza Outback",3
Arbor Lodge,2021-04-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2021-04-01,Dodge,"Dodge Caravan, Grand Caravan",1
Arbor Lodge,2021-04-01,Chevrolet,Chevrolet C/K 2500,1
Arbor Lodge,2021-04-01,Subaru,Subaru Outback,1
Arbor Lodge,2021-04-01,Ford,Ford F350,1
Arbor Lodge,2021-04-01,Chevrolet,Chevrolet Truck,1
Arbor Lodge,2021-04-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2021-04-01,Ford,Ford F250,1
Arbor Lodge,2021-05-01,Ford,Ford F250,2
Arbor Lodge,2021-05-01,Toyota,Toyota Avalon,1
Arbor Lodge,2021-05-01,Ford,Ford Fusion,1
Arbor Lodge,2021-05-01,Dodge,Dodge Neon,1
Arbor Lodge,2021-05-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-06-01,Subaru,Subaru Forester,1
Arbor Lodge,2021-06-01,Suzuki,Suzuki X90,1
Arbor Lodge,2021-06-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-06-01,Ford,Ford Econoline E250,1
Arbor Lodge,2021-06-01,Genuine Scooters LLC mfgd by Motive Power Industry Co LTD,Genuine Scooters LLC mfgd by Motive Power Industry Co LTD Motorcycle,1
Arbor Lodge,2021-06-01,Volkswagen,Volkswagen Rabbit,1
Arbor Lodge,2021-06-01,Ford,Ford Truck,1
Arbor Lodge,2021-07-01,Subaru,"Subaru Legacy, Legacy Outback",3
Arbor Lodge,2021-07-01,Chevrolet,Chevrolet Equinox,1
Arbor Lodge,2021-07-01,Honda,Honda CRV,1
Arbor Lodge,2021-07-01,Ford,Ford F250,1
Arbor Lodge,2021-07-01,Toyota,Toyota Celica,1
Arbor Lodge,2021-07-01,Subaru,"Subaru Impreza, Impreza Outback",1
Arbor Lodge,2021-07-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2021-08-01,Toyota,Unknown,3
Arbor Lodge,2021-08-01,Honda,Honda CRV,2
Arbor Lodge,2021-08-01,Audi,Audi S5,1
Arbor Lodge,2021-08-01,Hyundai,Hyundai Sonata,1
Arbor Lodge,2021-08-01,Ford,Ford Econoline E150,1
Arbor Lodge,2021-08-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-08-01,Ford,Ford Ranger,1
Arbor Lodge,2021-08-01,Ford,Ford Escort,1
Arbor Lodge,2021-08-01,Honda,Honda Passport,1
Arbor Lodge,2021-08-01,Honda,Honda Motorcycle,1
Arbor Lodge,2021-08-01,Ford,Ford F150,1
Arbor Lodge,2021-08-01,Unknown,Unknown,1
Arbor Lodge,2021-09-01,Honda,Honda Motorcycle,2
Arbor Lodge,2021-09-01,Nissan,Nissan Truck,2
Arbor Lodge,2021-09-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2021-09-01,Honda,"Honda Civic, CRX, Del Sol",2
Arbor Lodge,2021-09-01,Toyota,"Toyota Corolla, Corolla IM",1
Arbor Lodge,2021-09-01,Toyota,Toyota Camry,1
Arbor Lodge,2021-09-01,Honda,Honda CRV,1
Arbor Lodge,2021-09-01,Ford,Ford F350,1
Arbor Lodge,2021-09-01,Subaru,"Subaru Crosstrek, XV Crosstrek",1
Arbor Lodge,2021-09-01,Subaru,Subaru Forester,1
Arbor Lodge,2021-10-01,Unknown,Unknown,4
Arbor Lodge,2021-10-01,Honda,"Honda Accord, Accord Crosstour",3
Arbor Lodge,2021-10-01,Subaru,Unknown,3
Arbor Lodge,2021-10-01,Jeep,Jeep Cherokee,2
Arbor Lodge,2021-10-01,Nissan,Nissan Truck,2
Arbor Lodge,2021-10-01,Ford,"Ford Taurus, Taurus X",1
Arbor Lodge,2021-10-01,Ford,Ford F150,1
Arbor Lodge,2021-10-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-10-01,Dodge,Dodge Durango,1
Arbor Lodge,2021-10-01,Dodge,Dodge Dakota,1
Arbor Lodge,2021-10-01,Ford,Ford F250,1
Arbor Lodge,2021-10-01,Ford,Ford Ranger,1
Arbor Lodge,2021-10-01,Nissan,Unknown,1
Arbor Lodge,2021-11-01,Subaru,"Subaru Impreza, Impreza Outback",3
Arbor Lodge,2021-11-01,Subaru,Subaru Forester,2
Arbor Lodge,2021-11-01,Honda,"Honda Accord, Accord Crosstour",2
Arbor Lodge,2021-11-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2021-11-01,Unknown,Unknown,2
Arbor Lodge,2021-11-01,Mazda,Unknown,2
Arbor Lodge,2021-11-01,Ford,"Ford Taurus, Taurus X",1
Arbor Lodge,2021-11-01,Ford,Ford F250,1
Arbor Lodge,2021-11-01,GMC,GMC Yukon,1
Arbor Lodge,2021-11-01,Honda,"Honda Civic, CRX, Del Sol",1
Arbor Lodge,2021-11-01,Dodge,Dodge RAM 50,1
Arbor Lodge,2021-11-01,Chevrolet,Chevrolet Silverado,1
Arbor Lodge,2021-11-01,Honda,Unknown,1
Arbor Lodge,2021-12-01,Subaru,"Subaru Legacy, Legacy Outback",2
Arbor Lodge,2021-12-01,Kia Motors Corp,Kia Motors Corp Sorrento,1
Arbor Lodge,2021-12-01,Dodge,Dodge Ram 1500,1
Arbor Lodge,2021-12-01,Chevrolet,Chevrolet Suburban,1
Arbor Lodge,2021-12-01,Honda,"Honda Accord, Accord Crosstour",1
Arbor Lodge,2021-12-01,Honda,Honda CRV,1
Arbor Lodge,2021-12-01,Ford,Ford Escort,1
Arbor Lodge,2021-12-01,Ford,Ford F250,1
Arbor Lodge,2021-12-01,Chevrolet,Chevrolet G20,1
Arbor Lodge,2021-12-01,Nissan,Nissan Altima,1
Arbor Lodge,2021-12-01,Nissan,Unknown,1
Arbor Lodge,2021-12-01,Unknown,Unknown,1
Ardenwald,2021-03-01,Subaru,"Subaru Impreza, Impreza Outback",1
Ardenwald,2021-05-01,Honda,"Honda Accord, Accord Crosstour",1
Ardenwald,2021-11-01,Ford,Ford Econoline E150,1
Ardenwald,2021-11-01,Honda,Honda CRV,1
Ardenwald,2021-11-01,Nissan,Nissan Sentra,1
Ardenwald,2021-12-01,Nissan,"Nissan Rogue, Rogue Select, Rogue Sport",1
