neighborhood,month_start,cleanup_incidents,ordinance_reports,cars_contacted,cars_cleaned,rvs_contacted,rvs_cleaned,tents_contacted,tents_cleaned,people_contacted,shelter_offered,shelter_accepted,warnings_issued,arrests_camping_only,cites_camping_only,arrests_camping_other,cites_camping_other,arrests_other,cites_other,warrants_failure_to_appear,warrants_property_crime,warrants_person_crime,warrants_probation_violations,warrants_drug_crime,warrants_other
Lents,2026-01-01,10,10,7,8,6,5,15,15,18,12,1,18,0,0,0,0,0,0,1,0,0,0,0,1
Centennial,2026-01-01,9,9,5,5,4,4,1,1,5,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0
Hazelwood,2026-01-01,9,9,0,2,5,3,4,4,11,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0
Powellhurst-Gilbert,2026-01-01,7,7,3,4,2,1,1,1,6,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Hosford-Abernethy,2026-01-01,6,6,0,1,0,0,11,11,21,17,9,13,0,1,0,0,6,1,3,1,0,0,2,4
Old Town/Chinatown,2026-01-01,5,5,0,0,0,0,6,6,22,15,13,17,0,1,0,0,3,0,0,1,0,1,0,2
Buckman West,2026-01-01,4,4,0,0,0,0,22,16,24,15,9,5,0,1,0,0,8,1,6,1,0,1,0,1
Buckman East,2026-01-01,3,3,0,0,0,0,5,5,6,1,0,3,0,1,0,0,3,0,3,0,0,0,0,1
Northwest,2026-01-01,3,3,1,1,0,0,5,5,7,6,3,6,0,2,0,0,1,0,0,1,0,0,0,2
Overlook,2026-01-01,3,3,0,0,2,1,9,9,6,6,2,1,0,0,0,0,1,0,1,0,0,1,0,0
Creston-Kenilworth,2026-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Downtown,2026-01-01,2,2,0,0,0,0,5,5,7,4,2,2,0,2,0,0,2,0,2,2,0,0,1,1
Foster-Powell,2026-01-01,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argay,2026-01-01,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brentwood-Darlington,2026-01-01,1,1,0,0,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Brooklyn,2026-01-01,1,1,0,0,0,0,1,1,2,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0
East Columbia,2026-01-01,1,1,0,0,0,0,8,8,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Eliot,2026-01-01,1,1,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayden Island,2026-01-01,1,1,1,1,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Hollywood,2026-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irvington,2026-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenton,2026-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King,2026-01-01,1,1,3,5,5,2,5,5,8,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,2026-01-01,1,1,0,0,0,0,2,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Montavilla,2026-01-01,1,1,0,0,0,0,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northwest Industrial,2026-01-01,1,1,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose Heights,2026-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth,2026-01-01,1,1,3,3,7,7,0,0,3,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0
South Tabor,2026-01-01,1,1,0,0,0,0,7,7,6,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0
St Johns,2026-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunderland,2026-01-01,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Wilkes,2026-01-01,1,1,2,2,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lents,2026-02-01,12,12,1,1,10,9,5,5,21,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0
Buckman West,2026-02-01,11,11,0,0,0,0,22,22,42,27,26,17,0,1,0,0,9,1,3,3,2,0,0,1
Centennial,2026-02-01,11,11,0,0,5,5,3,3,6,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
Hazelwood,2026-02-01,10,9,3,3,10,7,8,8,24,18,5,24,0,0,0,0,1,1,2,0,0,0,0,0
Foster-Powell,2026-02-01,8,8,0,0,4,4,2,1,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Powellhurst-Gilbert,2026-02-01,7,7,2,4,7,5,0,0,10,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Montavilla,2026-02-01,5,5,1,1,3,2,5,5,9,7,0,9,0,0,0,0,1,0,3,0,0,1,0,0
Hosford-Abernethy,2026-02-01,4,4,1,1,0,0,8,9,9,6,5,2,0,0,0,0,3,0,1,1,1,0,0,0
Mt Scott-Arleta,2026-02-01,4,3,0,0,2,2,4,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose,2026-02-01,3,2,2,4,5,5,3,3,11,7,1,9,0,0,0,0,0,0,0,2,0,0,0,0
Brentwood-Darlington,2026-02-01,2,2,1,1,1,1,3,3,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Creston-Kenilworth,2026-02-01,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glenfair,2026-02-01,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerns,2026-02-01,2,2,0,0,0,0,4,4,5,3,3,3,0,0,0,0,2,0,1,1,1,0,0,0
Madison South,2026-02-01,2,2,0,0,0,0,5,6,3,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0
Mill Park,2026-02-01,2,2,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Parkrose Heights,2026-02-01,2,2,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tabor,2026-02-01,2,2,0,0,2,1,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Sunderland,2026-02-01,2,1,0,0,3,3,0,0,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
Woodstock,2026-02-01,2,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Argay,2026-02-01,1,1,0,0,3,3,0,0,5,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Buckman East,2026-02-01,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Downtown,2026-02-01,1,1,0,0,0,0,1,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Eliot,2026-02-01,1,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hollywood,2026-02-01,1,1,5,5,3,3,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,2026-02-01,1,1,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
