case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-99350,4/7/2026,April 2026,4/6/2026,1103,9700 BLOCK OF NE SANDY BLVD,Parkrose,1,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.558928413,-122.562577553,7673858,696616,2026
26-99357,4/7/2026,April 2026,4/7/2026,1103,500 BLOCK OF NE HOLLADAY ST,Lloyd,2,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.530095324,-122.660152827,7648593,686760,2026
26-99399,4/7/2026,April 2026,4/6/2026,2130,900 BLOCK OF SW MILL ST,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.513172700,-122.685237961,7642000,680765,2026
26-99407,4/7/2026,April 2026,3/31/2026,1120,1100 BLOCK OF NW IRVING ST,Pearl,4,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.527984806,-122.682548688,7642835,686145,2026
26-99417,4/7/2026,April 2026,4/5/2026,1930,500 BLOCK OF SE 8TH AVE,Buckman West,3,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.518877280,-122.657630241,7649130,682654,2026
26-9942,1/11/2026,January 2026,1/11/2026,1322,1800 BLOCK OF SE HAWTHORNE BLVD,Hosford-Abernethy,3,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.512143229,-122.646705352,7651864,680125,2026
26-9943,1/11/2026,January 2026,1/4/2026,1200,S GAINES ST / S RIVER PKWY,South Portland,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.496400905,-122.669732686,7645809,674545,2026
26-99434,4/7/2026,April 2026,4/6/2026,2300,5500 BLOCK OF E BURNSIDE ST,Mt Tabor,3,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.522841238,-122.606951278,7662153,683756,2026
26-99440,4/7/2026,April 2026,4/5/2026,230,1100 BLOCK OF SE 12TH AVE,Buckman East,3,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.514708523,-122.653596629,7650123,681107,2026
26-99442,4/7/2026,April 2026,4/7/2026,1207,14800 BLOCK OF NE THOMPSON ST,Wilkes,1,Property,Burglary,Property,Burglary,Burglary,1,45.539050844,-122.509013848,7687393,689025,2026
