case_number,report_date,report_month_year,occur_date,occur_time,address,neighborhood,council_district,custom_crime_against,custom_crime_category,crime_against,offense_category,offense_type,offense_count,lat,lon,x_coord,y_coord,data_year
26-100057,4/7/2026,April 2026,4/7/2026,2100,9900 BLOCK OF N WHITAKER RD,East Columbia,2,Property,Robbery,Property,Robbery,Robbery,1,45.594663259,-122.682422444,7643524,710447,2026
26-100087,4/7/2026,April 2026,4/7/2026,2247,SW 10TH AVE / SW MORRISON ST,Downtown,4,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.520009204,-122.682101612,7642871,683235,2026
26-100092,4/7/2026,April 2026,4/4/2026,2230,5300 BLOCK OF SE 87TH AVE,Lents,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.484104770,-122.573602165,7670335,669416,2026
26-100192,4/8/2026,April 2026,4/7/2026,1600,5300 BLOCK OF N LOMBARD ST,Portsmouth,2,Property,Larceny: Other,Property,Larceny Offenses,Theft From Building,1,45.582625689,-122.724314038,7632684,706352,2026
26-100199,4/8/2026,April 2026,4/8/2026,232,SE POWELL BLVD / SE MILWAUKIE AVE,Hosford-Abernethy,3,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.501154233,-122.654214175,7649833,676171,2026
26-100203,4/8/2026,April 2026,4/8/2026,216,NE 16TH AVE / NE KILLINGSWORTH ST,Vernon,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.562716499,-122.649060175,7651751,698574,2026
26-100205,4/8/2026,April 2026,4/8/2026,224,1500 BLOCK OF SE MORRISON ST,Buckman East,3,Property,Burglary,Property,Burglary,Burglary,1,45.517235179,-122.650094163,7651045,682004,2026
26-100213,4/8/2026,April 2026,4/8/2026,232,10000 BLOCK OF NE 13TH AVE,East Columbia,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.595302430,-122.651838845,7651356,710470,2026
26-100251,4/8/2026,April 2026,4/8/2026,419,4000 BLOCK OF NE 125TH PL,Argay,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.552160891,-122.534664838,7680943,693968,2026
26-100261,4/8/2026,April 2026,4/7/2026,2100,11900 BLOCK OF NE DAVIS ST,Hazelwood,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524093647,-122.539513579,7679443,683769,2026
26-100262,4/8/2026,April 2026,4/8/2026,400,1200 BLOCK OF NW NAITO PKWY,Pearl,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.532041488,-122.678273888,7643970,687594,2026
26-100281,4/8/2026,April 2026,4/8/2026,534,2200 BLOCK OF NE 81ST AVE,Madison South,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.538616718,-122.579848971,7669245,689326,2026
26-100305,4/8/2026,April 2026,4/8/2026,659,15000 BLOCK OF SE STARK ST,Glenfair,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.519198568,-122.508553431,7687331,681786,2026
26-100314,4/8/2026,April 2026,4/8/2026,744,10000 BLOCK OF NE 13TH AVE,East Columbia,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.595300093,-122.651963815,7651324,710470,2026
26-100320,4/8/2026,April 2026,4/8/2026,720,15000 BLOCK OF SE STARK ST,Glenfair,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.519198568,-122.508553431,7687331,681786,2026
26-100323,4/8/2026,April 2026,4/8/2026,312,4300 BLOCK OF NE DAVIS ST,Laurelhurst,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524857091,-122.618033044,7659333,684565,2026
26-10033,1/11/2026,January 2026,1/10/2026,1521,14300 BLOCK OF SE DIVISION ST,Centennial,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.504045483,-122.515477480,7685419,676307,2026
26-100333,4/8/2026,April 2026,4/2/2026,800,7500 BLOCK OF N OSWEGO AVE,St Johns,2,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.589770319,-122.749283790,7626366,709133,2026
26-100334,4/8/2026,April 2026,3/30/2026,529,200 BLOCK OF SW PINE ST,Downtown,4,Property,Burglary,Property,Burglary,Burglary,1,45.521416682,-122.673272421,7645147,683687,2026
26-100338,4/8/2026,April 2026,4/7/2026,1800,4800 BLOCK OF NE GLISAN ST,North Tabor,3,Property,Burglary,Property,Burglary,Burglary,1,45.526477261,-122.613335373,7660552,685124,2026
26-100344,4/8/2026,April 2026,4/6/2026,805,SE 63RD AVE / SE FOSTER RD,Foster-Powell,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.490324250,-122.598388432,7664039,671847,2026
26-100345,4/8/2026,April 2026,4/8/2026,129,400 BLOCK OF SE 122ND AVE,Hazelwood,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.519368746,-122.537841328,7679828,682036,2026
26-100348,4/8/2026,April 2026,4/8/2026,100,1600 BLOCK OF NW 13TH AVE,Pearl,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.534683059,-122.684520056,7642396,688600,2026
26-100359,4/8/2026,April 2026,4/8/2026,815,400 BLOCK OF NE HASSALO ST,Lloyd,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.530839104,-122.661160944,7648342,687038,2026
26-100371,4/8/2026,April 2026,4/7/2026,1900,2100 BLOCK OF N SARATOGA ST,Arbor Lodge,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.572580956,-122.688858604,7641659,702443,2026
26-100372,4/8/2026,April 2026,4/7/2026,2040,SW 10TH AVE / SW ALDER ST,Downtown,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.520677280,-122.681740892,7642970,683476,2026
26-100379,4/8/2026,April 2026,4/8/2026,200,8100 BLOCK OF SE DIVISION ST,South Tabor,3,Property,Vandalism,Property,Vandalism,Vandalism,1,45.504881480,-122.579249604,7669082,677026,2026
26-100386,4/8/2026,April 2026,4/8/2026,600,11200 BLOCK OF NE HOLMAN ST,Parkrose,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.568220619,-122.546923856,7677952,699901,2026
26-100401,4/9/2026,April 2026,4/8/2026,935,NW 19TH AVE / NW COUCH ST,Northwest,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.523522323,-122.690257667,7640816,684572,2026
26-100407,4/8/2026,April 2026,4/8/2026,850,SW OAK ST / SW BROADWAY,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.522012455,-122.678177956,7643896,683938,2026
26-100431,4/8/2026,April 2026,4/8/2026,913,1500 BLOCK OF SW PARK AVE,Downtown,4,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.514094438,-122.684235358,7642266,681094,2026
26-100458,4/8/2026,April 2026,4/8/2026,939,400 BLOCK OF NW 10TH AVE,Pearl,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.526186627,-122.681160226,7643173,685480,2026
26-100459,4/8/2026,April 2026,3/14/2026,1050,400 BLOCK OF NE 102ND AVE,Hazelwood,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.525812141,-122.558228529,7674664,684517,2026
26-100464,4/8/2026,April 2026,4/5/2026,100,15900 BLOCK OF NE CAMERON BLVD,Wilkes,1,Property,Arson,Property,Arson,Arson,1,45.559220506,-122.498656138,7690228,696311,2026
26-100483,4/8/2026,April 2026,4/8/2026,1010,1300 BLOCK OF SW CARDINELL DR,Goose Hollow,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.510448556,-122.690838277,7640538,679811,2026
26-100485,4/8/2026,April 2026,4/7/2026,1930,5500 BLOCK OF SE MILWAUKIE AVE,Sellwood-Moreland,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.482897604,-122.649687953,7650816,669486,2026
26-100489,4/8/2026,April 2026,4/7/2026,2000,NW PARK AVE / NW FLANDERS ST,Pearl,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.525864765,-122.679180581,7643677,685349,2026
26-100495,4/8/2026,April 2026,4/8/2026,1030,100 BLOCK OF NE 160TH AVE,Glenfair,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.523695491,-122.498939489,7689835,683364,2026
26-100497,4/8/2026,April 2026,4/8/2026,1044,5100 BLOCK OF NE 42ND AVE,Concordia,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.559924850,-122.620466870,7659045,697363,2026
26-100501,4/8/2026,April 2026,4/8/2026,1042,SE GRAND AVE / SE WASHINGTON ST,Buckman West,3,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.518654292,-122.660736210,7648332,682594,2026
26-100507,4/8/2026,April 2026,4/5/2026,1200,9200 BLOCK OF N WOOLSEY AVE,Portsmouth,2,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.589824029,-122.713556886,7635509,708900,2026
26-100509,4/8/2026,April 2026,4/7/2026,2200,200 BLOCK OF NE 28TH AVE,Kerns,3,Property,Burglary,Property,Burglary,Burglary,1,45.524670174,-122.637167282,7654429,684626,2026
26-100517,4/8/2026,April 2026,2/8/2026,1039,3200 BLOCK OF NE COLUMBIA BLVD,Concordia,2,Property,Fraud,Property,Fraud Offenses,Identity Theft,1,45.573803536,-122.631509938,7656351,702496,2026
26-100521,4/8/2026,April 2026,4/8/2026,1043,SW SHERWOOD BLVD / SW ROSE GARDEN WAY,Arlington Heights,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.518132727,-122.706656297,7636561,682722,2026
26-100540,4/8/2026,April 2026,4/4/2026,1600,7000 BLOCK OF NE 27TH AVE,Concordia,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.573454515,-122.638192647,7654637,702414,2026
26-100562,4/8/2026,April 2026,4/8/2026,1126,UNKNOWN ADDRESS,,,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,,,,,2026
26-100578,4/8/2026,April 2026,4/5/2026,2200,2100 BLOCK OF N ARGYLE ST,Kenton,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.584576932,-122.688528379,7641862,706813,2026
26-100632,4/8/2026,April 2026,3/26/2026,1526,2000 BLOCK OF NW VAUGHN ST,Northwest,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.536969998,-122.693806148,7640040,689498,2026
26-100662,4/8/2026,April 2026,4/7/2026,1601,200 BLOCK OF NE MIDDLEFIELD RD,East Columbia,2,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.595990145,-122.663300131,7648430,710799,2026
26-100677,4/8/2026,April 2026,4/8/2026,400,10200 BLOCK OF N POLK AVE,St Johns,2,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.598527869,-122.740438598,7628718,712262,2026
26-100685,4/8/2026,April 2026,4/7/2026,2215,SE YAMHILL ST / SE 10TH AVE,Buckman West,3,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.515783258,-122.655686258,7649598,681513,2026
26-100705,4/8/2026,April 2026,4/8/2026,1413,SW 9TH AVE / SW ALDER ST,Downtown,4,Property,Robbery,Property,Robbery,Robbery,1,45.520421178,-122.680778729,7643214,683376,2026
26-100710,4/8/2026,April 2026,4/5/2026,730,12800 BLOCK OF NE WHITAKER WAY,Argay,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.560354623,-122.530229070,7682154,696926,2026
26-100711,4/8/2026,April 2026,4/8/2026,1449,16500 BLOCK OF SE STEPHENS ST,Centennial,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.509068617,-122.493480905,7691102,677998,2026
26-100722,4/8/2026,April 2026,4/8/2026,1,10600 BLOCK OF SE BOISE ST,Lents,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.491630477,-122.553600322,7675533,672028,2026
26-100736,4/8/2026,April 2026,4/7/2026,1400,2500 BLOCK OF N WILLIAMS AVE,Eliot,2,Property,Burglary,Property,Burglary,Burglary,1,45.540761647,-122.666618293,7647041,690692,2026
26-100754,4/8/2026,April 2026,3/31/2026,1530,7000 BLOCK OF NE 27TH AVE,Concordia,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.573454515,-122.638192647,7654637,702414,2026
26-100768,4/8/2026,April 2026,4/8/2026,19,2100 BLOCK OF NW 18TH AVE,Northwest,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.539075295,-122.690018399,7641031,690239,2026
26-100775,4/9/2026,April 2026,4/8/2026,1600,900 BLOCK OF NE 77TH AVE,Montavilla,3,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.529512350,-122.583852173,7668134,686034,2026
26-100778,4/8/2026,April 2026,4/7/2026,2240,3500 BLOCK OF N GANTENBEIN AVE,Boise,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.548558488,-122.668977730,7646513,693550,2026
26-100779,4/8/2026,April 2026,4/4/2026,1,2000 BLOCK OF NW KEARNEY ST,Northwest,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.529213705,-122.693514228,7640038,686669,2026
26-100789,4/8/2026,April 2026,4/8/2026,1532,8600 BLOCK OF N SWIFT WAY,St Johns,2,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.602083741,-122.748873300,7626596,713618,2026
26-100813,4/8/2026,April 2026,2/26/2026,800,UNKNOWN ADDRESS,,,Property,Fraud,Property,Fraud Offenses,Credit Card/ATM Fraud,1,,,,,2026
26-10082,1/11/2026,January 2026,1/11/2026,1611,13900 BLOCK OF NE GLISAN ST,Hazelwood,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.526418073,-122.520217780,7684408,684492,2026
26-100825,4/8/2026,April 2026,4/1/2026,1200,1300 BLOCK OF NE 63RD AVE,Rose City Park,3,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.532654863,-122.598867899,7664317,687279,2026
26-100835,4/8/2026,April 2026,4/8/2026,1620,1800 BLOCK OF NE 2ND AVE,Eliot,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.536151873,-122.663729049,7647736,688992,2026
26-100868,4/8/2026,April 2026,4/4/2026,1000,6800 BLOCK OF N LOMBARD ST,St Johns,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.586778739,-122.737938579,7629239,707962,2026
26-10087,1/11/2026,January 2026,1/11/2026,1400,600 BLOCK OF NE 101ST AVE,Hazelwood,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.526597958,-122.559388953,7674374,684811,2026
26-100877,4/8/2026,April 2026,4/8/2026,1658,1500 BLOCK OF N HAYDEN ISLAND DR,Hayden Island,2,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.614913204,-122.684480492,7643197,717842,2026
26-100901,4/8/2026,April 2026,4/8/2026,1800,700 BLOCK OF SW BROADWAY,Downtown,4,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.519028385,-122.679858801,7643436,682862,2026
26-100912,4/8/2026,April 2026,4/8/2026,130,1700 BLOCK OF SE 122ND AVE,Mill Park,1,Property,Larceny: Other,Property,Larceny Offenses,Purse-Snatching,1,45.511178318,-122.537738635,7679779,679050,2026
26-100971,4/8/2026,April 2026,4/5/2026,1530,3700 BLOCK OF S RIVER PKWY,South Portland,4,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.496042478,-122.669679983,7645819,674414,2026
26-100979,4/8/2026,April 2026,4/8/2026,1843,4400 BLOCK OF NE CULLY BLVD,Cully,2,Property,Robbery,Property,Robbery,Robbery,1,45.555044386,-122.601168295,7663940,695455,2026
26-100991,4/8/2026,April 2026,4/8/2026,1851,NE RIVERSIDE PKWY / NE AIRPORT WAY,Wilkes,1,Society,Weapon Law Violations,Society,Weapon Law Violations,Weapons Law Violations,1,45.553196916,-122.480996563,7694696,694004,2026
26-101006,4/8/2026,April 2026,4/8/2026,1905,6200 BLOCK OF N BASIN AVE,Overlook,2,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.567321120,-122.709960136,7636205,700673,2026
26-101052,4/8/2026,April 2026,4/8/2026,1943,8600 BLOCK OF N IVANHOE ST,St Johns,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.589844452,-122.755726837,7624718,709206,2026
26-101157,4/8/2026,April 2026,4/8/2026,2142,NE COUCH ST / NE 11TH AVE,Kerns,3,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.523625525,-122.654614004,7649949,684364,2026
26-10116,1/11/2026,January 2026,1/11/2026,1656,13400 BLOCK OF NE SANDY BLVD,Argay,1,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.554838414,-122.524259931,7683632,694877,2026
26-101175,4/8/2026,April 2026,4/8/2026,2300,100 BLOCK OF W BURNSIDE ST,Old Town/Chinatown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.523169371,-122.671848510,7645529,684316,2026
26-10119,1/11/2026,January 2026,1/10/2026,2030,7800 BLOCK OF N INTERSTATE AVE,Kenton,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.580351325,-122.681906916,7643515,705227,2026
26-101193,4/8/2026,April 2026,4/8/2026,2214,SW HARVEY MILK ST / SW 11TH AVE,Downtown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.522294945,-122.682087978,7642897,684068,2026
26-101205,4/8/2026,April 2026,4/8/2026,2226,4600 BLOCK OF N MONTANA AVE,Overlook,2,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.556597085,-122.680161648,7643728,696557,2026
26-101252,4/8/2026,April 2026,4/8/2026,2315,4800 BLOCK OF N VANDERBILT ST,Portsmouth,2,Property,Vandalism,Property,Vandalism,Vandalism,1,45.581280200,-122.718119153,7634256,705818,2026
26-101282,4/8/2026,April 2026,4/8/2026,2352,1200 BLOCK OF NE 122ND AVE,Hazelwood,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.531760468,-122.537735742,7679969,686552,2026
26-10129,1/11/2026,January 2026,1/11/2026,1711,1200 BLOCK OF NE 122ND AVE,Hazelwood,1,Property,Burglary,Property,Burglary,Burglary,1,45.531760468,-122.537735742,7679969,686552,2026
26-101376,4/9/2026,April 2026,4/9/2026,158,SW 12TH AVE / SW SALMON ST,Downtown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.518556023,-122.685226578,7642056,682727,2026
26-101393,4/9/2026,April 2026,4/9/2026,249,SE POWELL BLVD / SE 112TH AVE,Powellhurst-Gilbert,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.496567808,-122.547977792,7677020,673791,2026
26-101429,4/9/2026,April 2026,4/9/2026,433,3600 BLOCK OF SE 32ND AVE,Creston-Kenilworth,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.496493964,-122.632389309,7655382,674324,2026
26-10144,1/11/2026,January 2026,1/11/2026,1804,9800 BLOCK OF SE WASHINGTON ST,Hazelwood,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.518282661,-122.561811436,7673676,681796,2026
26-101456,4/9/2026,April 2026,4/9/2026,640,10300 BLOCK OF N VANCOUVER WAY,East Columbia,2,Person,Assault: Aggravated,Person,Assault Offenses,Aggravated Assault,1,45.597767775,-122.671032059,7646469,711500,2026
26-101458,4/9/2026,April 2026,4/9/2026,100,6800 BLOCK OF N FESSENDEN ST,St Johns,2,Property,Robbery,Property,Robbery,Robbery,1,45.592953107,-122.733363663,7630472,710180,2026
26-101464,4/9/2026,April 2026,4/9/2026,0,6400 BLOCK OF N MOORE AVE,Piedmont,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.569471985,-122.667878845,7646999,701165,2026
26-10147,1/11/2026,January 2026,1/11/2026,1737,2200 BLOCK OF W BURNSIDE ST,Goose Hollow,4,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.523309542,-122.697091724,7639063,684542,2026
26-101494,4/9/2026,April 2026,4/8/2026,2330,700 BLOCK OF SE CESAR E CHAVEZ BLVD,Sunnyside,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.517512511,-122.622934048,7658007,681921,2026
26-10150,1/11/2026,January 2026,1/11/2026,1230,900 BLOCK OF NE GRAND AVE,Lloyd,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.529689052,-122.660601893,7648474,686615,2026
26-101501,4/9/2026,April 2026,4/9/2026,808,2100 BLOCK OF NE 40TH AVE,Grant Park,2,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.538089680,-122.621892132,7658471,689414,2026
26-10152,1/11/2026,January 2026,12/26/2025,1000,4600 BLOCK OF SE 108TH PL,Lents,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.488345786,-122.551332366,7676084,670816,2026
26-101539,4/9/2026,April 2026,4/9/2026,855,200 BLOCK OF NE 12TH AVE,Kerns,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.524691170,-122.653530318,7650237,684745,2026
26-101569,4/9/2026,April 2026,4/7/2026,1430,4600 BLOCK OF N CONCORD AVE,Overlook,2,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.556794874,-122.684918291,7642512,696662,2026
26-101572,4/9/2026,April 2026,4/9/2026,1204,1100 BLOCK OF NE 148TH AVE,Wilkes,1,Property,Burglary,Property,Burglary,Burglary,1,45.531152307,-122.508226882,7687523,686141,2026
26-101574,4/9/2026,April 2026,4/8/2026,1930,9200 BLOCK OF SW 25TH AVE,Markham,4,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.458234727,-122.702358268,7637067,660861,2026
26-101581,4/9/2026,April 2026,4/9/2026,946,NW EVERETT ST / NW 3RD AVE,Old Town/Chinatown,4,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.525257041,-122.673458457,7645137,685088,2026
26-101586,4/9/2026,April 2026,4/9/2026,1033,SE 4TH AVE / SE IVON ST,Hosford-Abernethy,3,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.504168713,-122.661851206,7647905,677322,2026
26-101592,4/9/2026,April 2026,4/9/2026,959,6700 BLOCK OF SW 26TH AVE,Multnomah,4,Property,Larceny: Car Prowl - Car Parts,Property,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1,45.475201817,-122.703940122,7636830,667056,2026
26-10160,1/11/2026,January 2026,1/11/2026,1540,8000 BLOCK OF N LEAVITT AVE,St Johns,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.591550201,-122.752828554,7625477,709807,2026
26-101600,4/9/2026,April 2026,4/9/2026,1003,16500 BLOCK OF SE STEPHENS ST,Centennial,1,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.509068617,-122.493480905,7691102,677998,2026
26-101601,4/9/2026,April 2026,4/8/2026,2200,5200 BLOCK OF NE 35TH PL,Concordia,2,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.560952215,-122.627676082,7657209,697786,2026
26-101604,4/9/2026,April 2026,4/9/2026,1012,9400 BLOCK OF NE CASCADES PKWY,Other,1,Property,Larceny: Shoplifting,Property,Larceny Offenses,Shoplifting,1,45.575903827,-122.565722382,7673211,702824,2026
26-101614,4/9/2026,April 2026,4/9/2026,1012,SE 138TH AVE / SE DIVISION ST,Powellhurst-Gilbert,1,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.504048821,-122.521376864,7683907,676346,2026
26-101627,4/9/2026,April 2026,4/8/2026,1200,2700 BLOCK OF NE 34TH AVE,Alameda,2,Property,Other Property Offenses,Property,Extortion/Blackmail,Extortion/Blackmail,1,45.542490477,-122.629603871,7656538,691070,2026
26-101634,4/9/2026,April 2026,4/9/2026,1049,NE 122ND AVE / NE HOLLADAY ST,Hazelwood,1,Society,Drug Offenses,Society,Drug/Narcotic Offenses,Drug/Narcotic Violations,1,45.530241306,-122.537692925,7679966,685998,2026
26-10164,2/10/2026,February 2026,1/11/2026,1445,NE PACIFIC ST / NE GRAND AVE,Lloyd,2,Property,Larceny: Car Prowl - Other,Property,Larceny Offenses,Theft From Motor Vehicle,1,45.529325683,-122.660666134,7648454,686483,2026
26-101642,4/9/2026,April 2026,4/3/2026,230,7600 BLOCK OF N INTERSTATE AVE,Kenton,2,Property,Burglary,Property,Burglary,Burglary,1,45.578973916,-122.681912535,7643500,704725,2026
26-101651,4/9/2026,April 2026,4/9/2026,1103,NE 7TH AVE / NE MONROE ST,Eliot,2,Person,Assault: Simple/Intimidation,Person,Assault Offenses,Simple Assault,1,45.545516919,-122.658568799,7649149,692370,2026
26-101664,4/9/2026,April 2026,4/1/2026,1030,500 BLOCK OF SW BANCROFT ST,Homestead,4,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.492458224,-122.683629722,7642208,673204,2026
26-101691,4/9/2026,April 2026,4/8/2026,1900,300 BLOCK OF NE 102ND AVE,Hazelwood,1,Property,Larceny: Other,Property,Larceny Offenses,All Other Larceny,1,45.524870522,-122.558260747,7674647,684174,2026
26-101740,4/9/2026,April 2026,4/9/2026,1225,SE POWELL BLVD / SE 99TH AVE,Lents,1,Property,Vandalism,Property,Vandalism,Vandalism,1,45.496416418,-122.561653672,7673513,673825,2026
26-101744,4/9/2026,April 2026,4/8/2026,1000,NE 99TH AVE / NE IRVING ST,Hazelwood,1,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.527503959,-122.561955054,7673725,685158,2026
26-10175,1/11/2026,January 2026,1/9/2026,1400,SE BOISE ST / SE 11TH AVE,Brooklyn,3,Property,Motor Vehicle Theft,Property,Motor Vehicle Theft,Motor Vehicle Theft,1,45.493027776,-122.654198591,7649758,673209,2026
26-101753,4/9/2026,April 2026,4/9/2026,1238,0 BLOCK OF NW BROADWAY,Old Town/Chinatown,4,Property,Vandalism,Property,Vandalism,Vandalism,1,45.523402225,-122.677376481,7644115,684439,2026
26-101766,4/9/2026,April 2026,4/9/2026,1249,1300 BLOCK OF NW 19TH AVE,Northwest,4,Property,Fraud,Property,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1,45.532434213,-122.690523436,7640836,687822,2026
