registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
4912812,"SHERMAN COUNTY HISTORICAL SOCIETY, OF OREGON",DOMESTIC NONPROFIT CORPORATION,1950-05-17,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 173,,MORO,OR,97039
4914313,OREGON LATVIAN SOCIETY,DOMESTIC NONPROFIT CORPORATION,1950-05-23,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,5500 SW DOSCH RD,,PORTLAND,OR,97239
4917415,PORTLAND POWER SQUADRON,DOMESTIC NONPROFIT CORPORATION,1950-06-05,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,26917 SE SWEETBRIAR,PO BOX 711,TROUTDALE,OR,97060
4917514,"MID-VALLEY HEALTHCARE, INC.",DOMESTIC NONPROFIT CORPORATION,1950-06-05,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,2300 NW WALNUT BLVD,SUITE 1-A,CORVALLIS,OR,97330
4921110,GREEN COMMUNITY CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-06-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3777 CARNES ROAD,,ROSEBURG,OR,97471
4921912,"LODGE OF PERFECTION, SALEM, OREGON, ANCIENT & ACCEPTED SCOTTISH RITE OF FREEMASONRY",DOMESTIC NONPROFIT CORPORATION,1950-06-19,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,4090 COMMERCIAL ST SE,,SALEM,OR,97302
4923215,"GRACE LUTHERAN CHURCH, ENTERPRISE, WALLOWA COUNTY, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-06-22,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,409 W MAIN,,ENTERPRISE,OR,97828
4924817,"ELGIN STAMPEDERS ASSOCIATION, INCORPORATED",DOMESTIC NONPROFIT CORPORATION,1950-06-26,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 397,,ELGIN,OR,97827
4928115,MAPLETON LIONS CLUB,DOMESTIC NONPROFIT CORPORATION,1950-07-07,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 237,,MAPLETON,OR,97453
4929311,"FOLLOWERS OF CHRIST OF GRANTS PASS, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-07-11,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3500 WOODLAND PARK RD,,GRANTS PASS,OR,97527
4931218,THE WESLEY FOUNDATION AT THE UNIVERSITY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1950-07-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 1556,,EUGENE,OR,97440
4931515,"THE FIRST BAPTIST CHURCH, NORTH BEND, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-07-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2080 MARION ST,,NORTH BEND,OR,97459
4933610,"PEACE LUTHERAN CHURCH, PHILOMATH, OREGON (BENTON COUNTY)",DOMESTIC NONPROFIT CORPORATION,1950-07-26,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2540 APPLEGATE ST,,PHILOMATH,OR,97370
4933719,NEW HOPE CHRISTIAN CENTER OF THE ASSEMBLIES OF GOD,DOMESTIC NONPROFIT CORPORATION,1950-07-26,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 97,,SHERIDAN,OR,97378
4935516,"CHURCH OF GOD -- SEVENTH DAY, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-07-31,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 30745,,PORTLAND,OR,97294
4935615,"RAINIER LODGE NO. 24, A. F. AND A. M. INC.",DOMESTIC NONPROFIT CORPORATION,1950-07-31,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 1142,,RAINIER,OR,97048
4936910,"TRIANGLE CAMP SPRING, INC.",DOMESTIC NONPROFIT CORPORATION,1950-08-03,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,60642 HIGHWAY 204,,WESTON,OR,97886
4937116,"ROSEWOOD CONGREGATION OF JEHOVAH'S WITNESSES, EUGENE, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-08-04,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 70546,,SPRINGFIELD,OR,97475
4937314,"PILGRIM LUTHERAN CHURCH, OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-08-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,4244 SE 91ST AVE,,PORTLAND,OR,97266
4937819,"CHURCH OF THE NAZARENE OF NYSSA, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-08-07,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 2544,,NYSSA,OR,97913
4937918,"JUNIOR ACHIEVEMENT OF OREGON AND SW WASHINGTON, INC.",DOMESTIC NONPROFIT CORPORATION,1950-08-07,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,7830 SE FOSTER ROAD,,PORTLAND,OR,97206
4940011,COOS BAY LIONS CLUB,DOMESTIC NONPROFIT CORPORATION,1950-08-14,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 3,,COOS BAY,OR,97420
4941514,NEWLIFE BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-08-18,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,490 OLNEY,,ASTORIA,OR,97103
4941811,"OREGON FUCHSIA SOCIETY, INCORPORATED",DOMESTIC NONPROFIT CORPORATION,1950-08-21,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,11689 SW LANCASTER ROAD,,PORTLAND,OR,97219
4942116,WELCHES WATER COMPANY,DOMESTIC NONPROFIT CORPORATION,1950-08-22,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 764,,WELCHES,OR,97067
4945614,"NORTHWEST BAPTIST CONVENTION, INC.",DOMESTIC NONPROFIT CORPORATION,1950-09-01,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,6715 NE 63RD ST,SUITE 103-516,VANCOUVER,WA,98661
4946315,"METROPOLITAN FAMILY SERVICE, INC.",DOMESTIC NONPROFIT CORPORATION,1950-09-06,PUBLIC BENEFIT,MAILING ADDRESS,1700 NW CIVIC DRIVE SUITE 200,,GRESHAM,OR,97030
4947313,TWIN RIVERS CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-09-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1660 MOHWAK BLVD,,SPRINGFIELD,OR,97477
4947412,FAITH FAMILY FELLOWSHIP,DOMESTIC NONPROFIT CORPORATION,1950-09-11,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 869,,ROSEBURG,OR,97470
4947719,MILTON-FREEWATER PIONEER POSSE,DOMESTIC NONPROFIT CORPORATION,1950-09-11,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 478,,MILTON FREEWATER,OR,97862
4951018,HOPE COMMUNITY CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-09-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,205 23RD STREET,,SPRINGFIELD,OR,97477
4951315,CALVARY OPEN BIBLE,DOMESTIC NONPROFIT CORPORATION,1950-09-21,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1116 CENTENNIAL BLVD,,SPRINGFIELD,OR,97477
4952313,MARION COUNTY FARM BUREAU,DOMESTIC NONPROFIT CORPORATION,1950-09-28,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 12216,,SALEM,OR,97309
4952412,KLAMATH-LAKE COUNTY FARM BUREAU,DOMESTIC NONPROFIT CORPORATION,1950-09-28,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,4240 HIGHWAY 39,,KLAMATH FALLS,OR,97603
4952610,"MCKENZIE RIVER LODGE NO. 195, A. F. & A. M.",DOMESTIC NONPROFIT CORPORATION,1950-09-29,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,850 E 14TH AVE,,EUGENE,OR,97401
4954210,"FAITH LUTHERAN CHURCH OF ALBANY, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-10-05,RELIGIOUS,MAILING ADDRESS,930 SW QUEEN AVE,,ALBANY,OR,97321
4954814,RELEVANT LIFE CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-10-09,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1090 FAIRVIEW AVE SE,,SALEM,OR,97302
4954913,LINN COUNTY FARM BUREAU,DOMESTIC NONPROFIT CORPORATION,1950-10-09,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,33254 HWY 99E,,TANGENT,OR,97389
4955217,SANTIAM MEMORIAL HOSPITAL,DOMESTIC NONPROFIT CORPORATION,1950-10-11,PUBLIC BENEFIT,MAILING ADDRESS,1401 N 10TH AVE,,STAYTON,OR,97383
4955415,OREGON AGRICULTURAL AVIATION ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1950-10-12,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,203 NW 6TH STREET,,PENDLETON,OR,97801
4956710,"SISKIYOU FRATERNITY, AFFILIATED WITH AMERICAN SUNBATHING ASSOCIATION",DOMESTIC NONPROFIT CORPORATION,1950-10-16,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,3175 SYKES CREEK RD,,ROGUE RIVER,OR,97537
4957312,EUGENE BUILDERS EXCHANGE,DOMESTIC NONPROFIT CORPORATION,1950-10-19,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,2460 WEST 11TH AVE,,EUGENE,OR,97402
4960415,"THE OREGON HEALTH CARE ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1950-11-01,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,11740 SW 68TH PKWY STE 250,,PORTLAND,OR,97223
4960910,"FIRST BAPTIST CHURCH OF NEWPORT, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-11-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,208 NW 6TH ST,,NEWPORT,OR,97365
4961215,ROSEBURG LODGE NO. 326 OF THE BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA,DOMESTIC NONPROFIT CORPORATION,1950-11-03,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 717,,ROSEBURG,OR,97470
4961512,"SOUTH BEACH COMMUNITY ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1950-11-06,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 201,,NEWPORT,OR,97365
4962213,NORTHWEST LINE CONSTRUCTORS CHAPTER,DOMESTIC NONPROFIT CORPORATION,1950-11-09,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,16703 SE MCGILLIVRAY BLVD STE 215,,VANCOUVER,WA,98683
4962411,"HOLY CROSS LUTHERAN CHURCH OF SALEM, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-11-09,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1998 LANSING AVE NE,,SALEM,OR,97301
4964714,HARVARD CONGREGATION OF JEHOVAH'S WITNESSES INCORPORATED,DOMESTIC NONPROFIT CORPORATION,1950-11-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2232 W MILITARY AVE,,ROSEBURG,OR,97471
4964912,HERMISTON FIRST CHURCH OF THE NAZARENE,DOMESTIC NONPROFIT CORPORATION,1950-11-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1520 W ORCHARD AVE,,HERMISTON,OR,97838
4965711,ALLEN TEMPLE C. M. E. CHURCH,DOMESTIC NONPROFIT CORPORATION,1950-11-30,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,4236 NE 8TH AVE,,PORTLAND,OR,97211
4967014,"CROOKED RIVER CONGREGATION OF JEHOVAH'S WITNESSES, INC.",DOMESTIC NONPROFIT CORPORATION,1950-12-06,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2700 NW BROADVIEW CT,,PRINEVILLE,OR,97754
4967717,"POWELL BOULEVARD CONGREGATION OF JEHOVAH'S WITNESSES, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-12-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,6028 SE FRANCIS ST,,PORTLAND,OR,97206
4967816,"OUR SAVIOUR'S LUTHERAN CHURCH OF LEBANON, OREGON",DOMESTIC NONPROFIT CORPORATION,1950-12-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3111 S MAIN,,LEBANON,OR,97355
4968012,"WORLD AFFAIRS COUNCIL OF OREGON, INC.",DOMESTIC NONPROFIT CORPORATION,1950-12-11,PUBLIC BENEFIT,MAILING ADDRESS,1207 SW BROADWAY STE 300,,PORTLAND,OR,97205
4968616,OREGON ASSOCIATION OF MOUNTED POSSES,DOMESTIC NONPROFIT CORPORATION,1950-12-13,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,TEDDIE M HANSEY,PO BOX 2278,JASPER,OR,97438
4970018,HART LAKE WATER USERS ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1950-12-20,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 741,,SALEM,OR,97308
4972014,GATEWAY-GRESHAM LODGE NO. 1805 BENEVOLENT AND PROTECTIVE ORDER OF ELKS OF THE UNITED STATES OF AMERICA,DOMESTIC NONPROFIT CORPORATION,1950-12-29,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,3330 NE DIVISION STREET,,GRESHAM,OR,97030
4974010,"CLACKAMAS COUNTY SHERIFF'S POSSE, INC.",DOMESTIC NONPROFIT CORPORATION,1951-01-08,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 198,,OREGON CITY,OR,97045
4974119,"OREGON WHEAT GROWERS LEAGUE, INC.",DOMESTIC NONPROFIT CORPORATION,1951-01-08,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,115 SE 8TH ST,,PENDLETON,OR,97801
4974713,"OREGON-COLUMBIA CHAPTER, NATIONAL ELECTRICAL CONTRACTORS",DOMESTIC NONPROFIT CORPORATION,1951-01-10,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,601 NE EVERETT ST,,PORTLAND,OR,97232
4975413,FLEET OF FLOWERS INC.,DOMESTIC NONPROFIT CORPORATION,1951-01-11,MUTUAL BENEFIT,MAILING ADDRESS,PO BOX 187,,DEPOE BAY,OR,97341
4977518,THE CHURCH OF THE NAZARENE OF MYRTLE CREEK,DOMESTIC NONPROFIT CORPORATION,1951-01-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 3000,,MYRTLE CREEK,OR,97457
4609889,"THE WONDER AMERICAN SUNDAY SCHOOL UNION, SUNDAY SCHOOL, INC.",DOMESTIC NONPROFIT CORPORATION,1951-01-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 77,,SELMA,OR,97538
4982112,"BETHEL BAPTIST CHURCH OF AUMSVILLE, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-02-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 167,,AUMSVILLE,OR,97325
4988218,RELAY RESOURCES,DOMESTIC NONPROFIT CORPORATION,1951-03-01,PUBLIC BENEFIT,MAILING ADDRESS,C/O BUCHALTER,805 SW BROADWAY STE 1500,PORTLAND,OR,97205
4992319,"ONTARIO CHURCH OF CHRIST, INC.",DOMESTIC NONPROFIT CORPORATION,1951-03-14,RELIGIOUS WITH MEMBERS,PRINCIPAL PLACE OF BUSINESS,202 SEARS DR,,ONTARIO,OR,97914
4993218,"POWELL BUTTE COMMUNITY CHRISTIAN CHURCH OF POWELL BUTTE, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-03-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 2,,POWELL BUTTE,OR,97753
4997318,WEST MAIN CHURCH OF CHRIST,DOMESTIC NONPROFIT CORPORATION,1951-03-29,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 1127,,MEDFORD,OR,97501
5001219,"GRANTS PASS MASONIC LODGE NO. 84 A.F. & A.M., INC.",DOMESTIC NONPROFIT CORPORATION,1951-04-09,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,320 NW E STREET,,GRANTS PASS,OR,97526
5001318,HENJYOJI SHINGON BUDDHIST TEMPLE,DOMESTIC NONPROFIT CORPORATION,1951-04-09,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,2622 SE 12TH AVE,,PORTLAND,OR,97202
5001516,REEDSPORT/WINCHESTER BAY CHAMBER OF COMMERCE,DOMESTIC NONPROFIT CORPORATION,1951-04-10,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,2741 FRONTAGE RD,,REEDSPORT,OR,97467
5001912,"SPRAY RODEO ASSOCIATION, INC.",DOMESTIC NONPROFIT CORPORATION,1951-04-11,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 81,,SPRAY,OR,97874
5002514,MEDFORD RIFLE & PISTOL CLUB INC.,DOMESTIC NONPROFIT CORPORATION,1951-04-12,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 235,,MEDFORD,OR,97501
5004510,COQUILLE VALLEY ART ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1951-04-23,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,10144 HWY 42,,COQUILLE,OR,97423
5008214,"RESTFUL HAVEN HEALTH CLUB, INC.",DOMESTIC NONPROFIT CORPORATION,1951-04-30,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,27100 NW DAIRY CREEK RD,,NORTH PLAINS,OR,97133
5009915,"PENTECOSTAL CHURCH OF GOD, OREGON-SOUTHERN IDAHO DISTRICT, INC.",DOMESTIC NONPROFIT CORPORATION,1951-05-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 188,,DRAIN,OR,97435
5011416,MCNARY YACHT CLUB,DOMESTIC NONPROFIT CORPORATION,1951-05-07,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 463,,PENDLETON,OR,97801
5011515,"THE BANDON GUN CLUB, INC.",DOMESTIC NONPROFIT CORPORATION,1951-05-08,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 131,,BANDON,OR,97411
5011614,"BETHANY PRESBYTERIAN CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-05-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,15505 NW SPRINGVILLE RD,,PORTLAND,OR,97229
5012612,FIRST CHRISTIAN CHURCH OF FLORENCE,DOMESTIC NONPROFIT CORPORATION,1951-05-10,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 306,,FLORENCE,OR,97439
5013719,TRENT CHURCH OF CHRIST,DOMESTIC NONPROFIT CORPORATION,1951-05-14,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,38029 WHEELER RD,,DEXTER,OR,97431
5016811,"IDAHO-OREGON BUDDHIST TEMPLE, INC.",DOMESTIC NONPROFIT CORPORATION,1951-05-24,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 397,,ONTARIO,OR,97914
5017314,MAIN STREET COWBOYS,DOMESTIC NONPROFIT CORPORATION,1951-05-28,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 1002,,PENDLETON,OR,97801
5017918,"FIRST BAPTIST CHURCH OF MILWAUKIE, OREGON (CONSERVATIVE)",DOMESTIC NONPROFIT CORPORATION,1951-05-29,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,10750 SE 42ND AVE,,MILWAUKIE,OR,97222
5019617,MOST WORSHIPFUL ST JOSEPH'S GRAND LODGE,DOMESTIC NONPROFIT CORPORATION,1951-06-05,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,3503 N MISSISSIPPI AVE,,PORTLAND,OR,97227
5019815,"ROGUE VALLEY ASSOCIATION OF REALTORS, INC.",DOMESTIC NONPROFIT CORPORATION,1951-06-05,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,625 FRANQUETTE ST,,MEDFORD,OR,97501
5020219,CEDAR HILLS UNITED CHURCH OF CHRIST,DOMESTIC NONPROFIT CORPORATION,1951-06-06,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,11695 SW PARK WAY,,PORTLAND,OR,97225
5022314,"MULTIPLE SCLEROSIS SOCIETY OF PORTLAND, OREGON, INC.",DOMESTIC NONPROFIT CORPORATION,1951-06-14,PUBLIC BENEFIT,MAILING ADDRESS,10940 SW BARNES RD PMB 326,,PORTLAND,OR,97225
5023411,WOOD VILLAGE BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1951-06-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,23601 NE ARATA RD,,WOOD VILLAGE,OR,97060
5030119,OREGON STATE CHAPTER OF THE P.E.O. SISTERHOOD,DOMESTIC NONPROFIT CORPORATION,1951-07-16,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,21937 SE DONNA CT,,DAMASCUS,OR,97089
5030317,CANAAN COMMUNITY CHURCH,DOMESTIC NONPROFIT CORPORATION,1951-07-17,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 605,,COLUMBIA CITY,OR,97018
5031711,OLALLA VALLEY CLUB,DOMESTIC NONPROFIT CORPORATION,1951-07-23,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,2560 LOOKINGGLASS RD,,ROSEBURG,OR,97471
5037312,BROOKINGS-HARBOR CHAMBER OF COMMERCE,DOMESTIC NONPROFIT CORPORATION,1951-08-06,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 940,,BROOKINGS,OR,97415
5037619,"OREGON TRUCKING ASSOCIATIONS, INC.",DOMESTIC NONPROFIT CORPORATION,1951-08-07,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,4005 SE NAEF RD,,PORTLAND,OR,97267
5037817,"SOUTHRIDGE CONGREGATION OF JEHOVAH'S WITNESSES, OREGON CITY, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-08-08,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 3243,,OREGON CITY,OR,97045
5039318,MANNING BIBLE CHURCH,DOMESTIC NONPROFIT CORPORATION,1951-08-14,RELIGIOUS,MAILING ADDRESS,PO BOX 820,,BANKS,OR,97106
5040316,PORTLAND DOG OBEDIENCE CLUB,DOMESTIC NONPROFIT CORPORATION,1951-08-20,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 1180,16615 S BECKMAN RD,OREGON CITY,OR,97045
5045612,ROGUE VALLEY RETRIEVER CLUB,DOMESTIC NONPROFIT CORPORATION,1951-09-04,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,3885 DARK HOLLOW ROAD,,MEDFORD,OR,97501
5045810,UMATILLA ASSEMBLY OF GOD,DOMESTIC NONPROFIT CORPORATION,1951-09-04,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,710 L ST,,UMATILLA,OR,97882
5046016,DOUGLAS COUNTY FARM BUREAU,DOMESTIC NONPROFIT CORPORATION,1951-09-05,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,9216 LOOKINGGLASS RD,,ROSEBURG,OR,97471
5049812,"MT. CARMEL EVANGELICAL LUTHERAN CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-09-25,RELIGIOUS,MAILING ADDRESS,515 SW MAPLECREST DR,,PORTLAND,OR,97219
5051412,SPRINGFIELD CHURCH OF GOD,DOMESTIC NONPROFIT CORPORATION,1951-09-28,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,1369,D ST,SPRINGFIELD,OR,97477
495523,BIBLE HOLINESS CHURCH,FOREIGN NONPROFIT CORPORATION,1951-10-01,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,10709 W DOUGLAS AVE,,WICHITA,KS,67209
5053616,CEDAR HILLS KINDERGARTEN & PRESCHOOL,DOMESTIC NONPROFIT CORPORATION,1951-10-10,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,11695 SW PARK WAY,,PORTLAND,OR,97225
5054119,"FIRST BAPTIST CHURCH OF SILVERTON, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-10-11,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 1800,,SILVERTON,OR,97381
5055611,CLATSKANIE COMMUNITY CHURCH,DOMESTIC NONPROFIT CORPORATION,1951-10-15,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 613,,CLATSKANIE,OR,97016
5055710,CAPITAL BAPTIST CHURCH,DOMESTIC NONPROFIT CORPORATION,1951-10-16,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,3000 LANSING AVE NE,,SALEM,OR,97303
5056213,HEBO CHRISTIAN CENTER INC.,DOMESTIC NONPROFIT CORPORATION,1951-10-17,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 318,,HEBO,OR,97122
5057310,"GRACE PRESBYTERIAN CHURCH OF PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1951-10-23,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,6025 NE PRESCOTT,,PORTLAND,OR,97218
5059019,"FRANCISCAN FRIARS OF OREGON, INC.",DOMESTIC NONPROFIT CORPORATION,1951-10-29,RELIGIOUS,MAILING ADDRESS,1500 34TH AVE,,OAKLAND,CA,94601
5060819,"CHURCH OF THE NAZARENE, INC. (OF PRINEVILLE)",DOMESTIC NONPROFIT CORPORATION,1951-11-02,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,780 E FIRST ST,,PRINEVILLE,OR,97754
5062419,JEFFERSON COUNTY LIBRARY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1951-11-14,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,241 SE 7TH,,MADRAS,OR,97741
5063417,SCAPPOOSE VOLUNTEER FIREFIGHTER'S ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1951-11-19,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 625,,SCAPPOOSE,OR,97056
5063516,LIVING WATER OF LA PINE,DOMESTIC NONPROFIT CORPORATION,1951-11-19,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 304,,LA PINE,OR,97739
5067517,SALEM CLUB OF OPTIMIST INTERNATIONAL YOUTH FUND,DOMESTIC NONPROFIT CORPORATION,1951-12-05,PUBLIC BENEFIT,MAILING ADDRESS,PO BOX 262,,SALEM,OR,97308
5069810,CARMEN CREEK WATER ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1951-12-12,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,42202 HILLCREST LP,,ASTORIA,OR,97103
5070313,DELTA PSI DELTA FRATERNITY,DOMESTIC NONPROFIT CORPORATION,1951-12-17,MUTUAL BENEFIT,MAILING ADDRESS,5170 SE CHERRY COURT,,PORTLAND,OR,97267
5073317,THE AUTZEN FOUNDATION,DOMESTIC NONPROFIT CORPORATION,1951-12-28,PUBLIC BENEFIT,MAILING ADDRESS,2455 NW MARSHALL STREET,SUITE #9,PORTLAND,OR,97210
