registry_number,business_name,entity_type,registry_date,nonprofit_type,address_type,address,address_continued,city,state,zip_code
536813,UNION LODGE #3 A.F. & A.M,DOMESTIC NONPROFIT CORPORATION,1872-01-30,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,235 NE 3RD ST,,MCMINNVILLE,OR,97128
391219,ORODELL CANAL COMPANY,DOMESTIC NONPROFIT CORPORATION,1872-02-27,MUTUAL BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 3238,,LA GRANDE,OR,97850
181016,THE FIRST CHRISTIAN CHURCH IN SALEM OREGON,DOMESTIC NONPROFIT CORPORATION,1873-01-22,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,685 MARION ST NE,,SALEM,OR,97301
181115,"THE FIRST PRESBYTERIAN CHURCH OF SALEM, OREGON",DOMESTIC NONPROFIT CORPORATION,1873-02-03,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,770 CHEMEKETA ST NE,,SALEM,OR,97301
456517,"TRINITY EPISCOPAL CATHEDRAL, PORTLAND, OREGON",DOMESTIC NONPROFIT CORPORATION,1873-03-18,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,147 NW 19TH AVE,,PORTLAND,OR,97209
30916,THE AUMSVILLE CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1873-06-04,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,615 MAIN STREET,PO BOX 166,AUMSVILLE,OR,97325
59519,CHAMPOEG CEMETERY ASSOCIATION,DOMESTIC NONPROFIT CORPORATION,1873-06-05,PUBLIC BENEFIT,MAILING ADDRESS,21117 CASE RD NE,,AURORA,OR,97002
181214,THE FIRST BAPTIST CHURCH OF OREGON CITY,DOMESTIC NONPROFIT CORPORATION,1873-06-13,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,819 JOHN ADAMS ST,,OREGON CITY,OR,97045
181313,THE FIRST SPIRITUAL RELIGIOUS ASSOCIATION OF CLACKAMAS COUNTY,DOMESTIC NONPROFIT CORPORATION,1873-11-29,RELIGIOUS WITH MEMBERS,MAILING ADDRESS,PO BOX 718,,CANBY,OR,97013
181511,JEWISH FAMILY AND CHILD SERVICE,DOMESTIC NONPROFIT CORPORATION,1874-06-10,PUBLIC BENEFIT,MAILING ADDRESS,1221 SW YAMHILL ST,STE 301,PORTLAND,OR,97205
461913,"ROMAN CATHOLIC ARCHBISHOP OF PORTLAND IN OREGON, AND SUCCESSORS, A CORPORATION SOLE",DOMESTIC NONPROFIT CORPORATION,1874-09-23,RELIGIOUS,MAILING ADDRESS,1211 SW FIFTH AVE STE 1800,,PORTLAND,OR,97204
472118,THE ST. ANDREW'S SOCIETY OF OREGON,DOMESTIC NONPROFIT CORPORATION,1875-04-10,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,15861 SW SUNDEW DR,,TIGARD,OR,97223
231811,"HARDING GRANGE, NO. 122 OF THE PATRONS OF HUSBANDRY",DOMESTIC NONPROFIT CORPORATION,1875-05-03,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,16118 S GERBER RD,,OREGON CITY,OR,97045
328419,MYRTLE LODGE NO. 38 INDEPENDENT ORDER OF ODD FELLOWS,DOMESTIC NONPROFIT CORPORATION,1875-06-08,PUBLIC BENEFIT WITH MEMBERS,MAILING ADDRESS,PO BOX 1806,,MYRTLE CREEK,OR,97457
