record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
165701,wikibase,2006-12-23,Saturday 23 December 2006,21:45,Boeing 747-228F SCD,Southern Air,N752SA,21255/295,1976,General Electric CF6-E2,0,3,0,Substantial,Accident,"near Anchorage, AK -United States of America",En route,Cargo,"Anchorage-Ted Stevens International Airport, AK (ANC/PANC)","Dallas, TX (DFW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165701,2006
165709,wikibase,2006-11-10,Friday 10 November 2006,23:12,Boeing 717-2BD,AirTran Airways,N956AT,55018/5044,2000,Rolls-Royce BR700715A1-30,0,122,0,Substantial,Accident,"Memphis Intn'l Airport, TN -United States of America",Taxi,Passenger - Scheduled,"Atlanta Hartsfield Jackson International Airport, GA (ATL/KATL)","Memphis, TN (KMEM)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165709,2006
165745,wikibase,2006-10-11,Wednesday 11 October 2006,18:27,McDonnell Douglas MD-90-30,Delta Air Lines,N906DA,53386/2099,1995,International Aero Engines V2528-D5,0,155,0,Substantial,Accident,"Denver International Airport, CO (DEN/KDEN) -United States of America",Landing,Passenger - Scheduled,"Salt Lake City, UT (SLC)","Denver International Airport, CO (DEN/KDEN)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165745,2006
165814,wikibase,2006-09-05,Tuesday 5 September 2006,17:01,Boeing 757-232,Delta Air Lines,N622DL,22912/113,1986,Pratt & Whitney 2037,0,116,0,Substantial,Accident,San Juan-Luis Muñoz Marín International Airport (SJU/TJSJ) -Puerto Rico,Landing,Passenger - Scheduled,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",San Juan-Luis Muñoz Marín International Airport (SJU/TJSJ),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165814,2006
165832,wikibase,2006-05-30,Tuesday 30 May 2006,20:43,Embraer ERJ-170SE (ERJ-170-100 SE),"United Express, opb Shuttle America",N651RW,17000072,2005,General Electric CF34-8E,0,61,0,Substantial,Accident,"Washington-Dulles International Airport, DC (IAD/KIAD) -United States of America",Landing,Passenger - Scheduled,"Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)","Washington-Dulles International Airport, DC (IAD/KIAD)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165832,2006
165878,wikibase,2006-01-16,Monday 16 January 2006,09:05,Boeing 737-524,Continental Airlines,N32626,27530/2686,1994,CFMI CFM56-391,0,119,1,Minor,Accident,El Paso International Airport (ELP) -United States of America,Standing,Passenger - Scheduled,"El Paso International Airport, TX (ELP/KELP)","Houston-George Bush Intercontinental Airport, TX (IAH/KIAH)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165878,2006
165961,wikibase,2006-04-04,Tuesday 4 April 2006,16:45,McDonnell Douglas DC-10-10F,FedEx,N386FE,46620/138,,General Electric CF6-6D,0,3,0,Substantial,Accident,"Walnut Ridge, AR -United States of America",En route,Cargo,"Memphis, TN (MEM)","Seattle, WA (SEA)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165961,2006
20060102-0,record_php,2006-01-02,Monday 2 January 2006,11:16,British Aerospace BAe-125-700A,Avcom,P4-AOD,257153,1981,,3,3,0,"Destroyed, written off",Accident,"4,3 km W of Kharkov Airport (HRK) -Ukraine",Approach,Ferry/positioning,Moskva-Sheremetyevo Airport (SVO/UUEE),Kharkov Airport (HRK/UKHH),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20060102-0,2006
20060103-0,record_php,2006-01-03,Tuesday 3 January 2006,12:40,Antonov An-26,Ruwenzori Air Asala,,,,Ivchenko AI-24,0,,0,Substantial,Accident,Fataki -Congo (Democratic Republic),En route,Unknown,Bunia Airport (BUX/FZKA),Aru Airstrip,,,https://asn.flightsafety.org/database/record.php?id=20060103-0,2006
20060105-0,record_php,2006-01-05,Thursday 5 January 2006,17:04,Douglas C-54G (DC-4),Buffalo Airways,C-GXKN,36090,1946,Pratt & Whitney R-2000-7M2,0,4,0,"Substantial, written off",Accident,"Norman Wells Airport, NT (YVQ) -Canada",En route,Cargo,"Norman Wells Airport, NT (YVQ/CYVQ)","Yellowknife Airport, NT (YZF/CYZF)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20060105-0,2006
