record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20220103-0,record_php,2022-01-03,Monday 3 January 2022,08:10,British Aerospace 4121 Jetstream 41,SA Airlink,ZS-NRJ,41062,1995,Garrett TPE331-14GR-805H,0,7,0,Substantial,Accident,near Venetia Mine Airport -South Africa,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Johannesburg-O.R. Tambo International Airport (JNB/FAOR),Venetia Mine Airport (FAVM),CAA S.A.,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220103-0,2022
20220104-0,record_php,2022-01-04,Tuesday 4 January 2022,12:00,British Aerospace 3101 Jetstream 31,LANHSA - Línea Aérea Nacional de Honduras S.A,HR-AYY,657,1985,,0,20,0,Substantial,Accident,Roatán-Juan Manuel Gálvez International Airport (RTB) -Honduras,Landing,Passenger - Scheduled,La Ceiba-Goloson International Airport (LCE/MHLC),Roatán-Juan Manuel Gálvez International Airport (RTB/MHRO),CIAIA Honduras,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20220104-0,2022
20220105-0,record_php,2022-01-05,Wednesday 5 January 2022,17:07,Boeing 737-4H6,Caspian Airlines,EP-CAP,26466/2372,1992,CFMI CFM56-3C1,0,126,0,Substantial,Accident,Isfahan-Shahid Beheshti Airport (IFN) -Iran,Landing,Passenger - Scheduled,Mashhad Airport (MHD/OIMM),Isfahan-Shahid Beheshti Airport (IFN/OIFM),AAIB Iran,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20220105-0,2022
20220108-0,record_php,2022-01-08,Saturday 8 January 2022,04:35,Tupolev Tu-204-100C,"Cainiao, opb Aviastar-TU",RA-64032,1450742264032,2002,Soloviev PS-90A,0,8,0,"Destroyed, written off",Accident,Hangzhou Xiaoshan International Airport (HGH) -China,Pushback / towing,Cargo,Hangzhou Jianqiao Airport (HGH/ZSHC),Novosibirsk-Tolmachevo Airport (OVB/UNNT),CAAC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220108-0,2022
20220112-0,record_php,2022-01-12,Wednesday 12 January 2022,02:00,Beechcraft 200 Super King Air,private,,,,,0,0,0,"Destroyed, written off",Unlawful Interference,"Machakilha, Toledo District, Grahem Creek area -Belize",Standing,Illegal Flight,,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220112-0,2022
20220119-0,record_php,2022-01-19,Wednesday 19 January 2022,09:00,Cessna 208B Grand Caravan EX,Mahan Air,YV3033,208B5140,2014,Pratt & Whitney Canada PT6A-140,0,18,0,Substantial,Accident,"near Vakilabad, Arzuiyeh -Iran",Landing,Passenger - Non-Scheduled/charter/Air Taxi,,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220119-0,2022
20220122-0,record_php,2022-01-22,Saturday 22 January 2022,11:57,Airbus A320-232,JetBlue Airways,N760JB,3659,2008,IAE V2527-A5,0,108,0,"Substantial, repaired",Accident,"Hayden-Yampa Valley Airport, CO (HDN) -United States of America",Take off,Passenger - Scheduled,"Hayden-Yampa Valley Airport, CO (HDN/KHDN)","Fort Lauderdale International Airport, FL (FLL/KFLL)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220122-0,2022
20220127-0,record_php,2022-01-27,Thursday 27 January 2022,03:30,Bombardier CL-600-2B16 Challenger 604,Volare Aviation,2-SLOW,5422,1999,,0,7,0,"Substantial, written off",Accident,Heraklion-N. Kazantzakis Airport (HER/LGIR) -Greece,Landing,Executive,Oxford-Kidlington Airport (OXF/EGTK),Heraklion-N. Kazantzakis Airport (HER/LGIR),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220127-0,2022
20220131-0,record_php,2022-01-31,Monday 31 January 2022,12:22,Beechcraft B300 King Air 350,"Air Tindi, opf Royal Canadian Air Force - RCAF",C-GEAS,FL-17,1990,,0,3,0,Substantial,Accident,"Thunder Bay Airport, ON (YQT) -Canada",Landing,Military,"Trenton Canadian Forces Base, ON (YTR/CYTR)","Thunder Bay Airport, ON (YQT/CYQT)",,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220131-0,2022
20220131-1,record_php,2022-01-31,Monday 31 January 2022,00:18,Bombardier CL-600-2B16 Challenger 604,Lima Delta Co Trustee,N999PX,5387,1998,General Electric CF34-3B,0,4,0,"Substantial, written off",Accident,London-Stansted Airport (STN) -United Kingdom,Landing,Unknown,Cairo International Airport (CAI/HECA),London-Stansted Airport (STN/EGSS),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220131-1,2022
20220202-0,record_php,2022-02-02,Wednesday 2 February 2022,06:56,Hawker 1000,Skyview LLC,N207K,259045,1994,,0,0,0,Substantial,Accident,"Islip-Long Island MacArthur Airport, NY (ISP) -United States of America",Standing,-,-,-,,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20220202-0,2022
20220205-0,record_php,2022-02-05,Saturday 5 February 2022,,Cessna 208B Grand Caravan,Care Aviation,5H-TAZ,208B1186,2006,,0,,0,Substantial,Accident,New Fangak Airstrip -South Sudan,Unknown,Passenger,,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220205-0,2022
20220207-0,record_php,2022-02-07,Monday 7 February 2022,07:33,Embraer ERJ-190-100LR,Finnair,OH-LKK,19000127,2007,General Electric CF34-10E5,0,41,0,"Substantial, repaired",Accident,København-Kastrup Airport (CPH) -Denmark,Standing,Passenger - Scheduled,København-Kastrup Airport (CPH/EKCH),Helsinki-Vantaa Airport (HEL/EFHK),HCLJ,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220207-0,2022
20220208-0,record_php,2022-02-08,Tuesday 8 February 2022,09:00,Antonov An-26,South Sudanese Air Force,SP-402,,,Ivchenko AI-24,0,12,0,Substantial,Accident,Agok Airstrip -South Sudan,Landing,Military,Ajongthok Airstrip,Agok Airstrip,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220208-0,2022
20220211-0,record_php,2022-02-11,Friday 11 February 2022,12:22,Antonov An-2R,Kamchatsky Krechet,RA-33599,1G230-41,1988,Shvetsov ASh-62IR,2,2,0,"Destroyed, written off",Accident,"1 km SW of Koryaki, Yelizovsky district, Kamchatka -Russia",Initial climb,Cargo,,,MAK,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220211-0,2022
20220211-2,record_php,2022-02-11,Friday 11 February 2022,17:50,Cessna 501 Citation I/SP,Aviajet SA,LV-JUO,501-0215,1981,,0,2,0,"Substantial, repaired",Accident,"Morón-Ituzaingo Airport, BA -Argentina",Landing,Ferry/positioning,"La Rioja Airport, LR (IRJ/SANL)","Morón-Ituzaingo Airport, BA (SADM)",JST,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20220211-2,2022
20220214-0,record_php,2022-02-14,Monday 14 February 2022,16:00,Let L-410UVP-E3,Doren Air Congo,9S-GFA,871921,1987,,0,2,0,"Destroyed, written off",Accident,Bukavu-Kavumu Airport (BKY) -Congo (Democratic Republic),Unknown,Cargo,Bukavu-Kavumu Airport (BKY/FZMA),Lulingu Tshionka Airport (FZOG),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220214-0,2022
20220215-0,record_php,2022-02-15,Tuesday 15 February 2022,09:50,Britten-Norman BN-2A-9 Islander,Air Flamenco,N821RR,338,1973,Lycoming O-540-E4C5,0,3,0,Substantial,Accident,Culebra Airport (CPX) -Puerto Rico,Landing,Training,San Juan-Fernando Luis Ribas Dominicci Airport (SIG/TJIG),Culebra Airport (CPX/TJCP),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220215-0,2022
20220216-0,record_php,2022-02-16,Wednesday 16 February 2022,15:13,Swearingen SA226-AT Merlin IV,Colcharter,HK-5225,AT-027,1974,Garrett TPE331-10UA-511G,0,5,0,Substantial,Accident,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ) -Colombia,Taxi,Ambulance,San Andres Island-Gustavo Rojas Pinilla Airport (ADZ/SKSP),Medellín-Enrique Olaya Herrera Airport (EOH/SKMD),Aerocivil,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220216-0,2022
20220218-0,record_php,2022-02-18,Friday 18 February 2022,17:49,Embraer EMB-500 Phenom 100E,Eclipse Transport LLC,N68NH,50000331,2014,Pratt & Whitney Canada PW617F-E,0,1,0,"Substantial, written off",Accident,"Detroit-Coleman A. Young International Airport, MI (DET) -United States of America",Landing,Private,"Burlington Alamance Regional Airport, NC (KBUY)","Detroit-Coleman A. Young International Airport, MI (DET/KDET)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220218-0,2022
20220221-0,record_php,2022-02-21,Monday 21 February 2022,11:33,Raytheon Hawker 800XP,Roper Aviation LLC,N99AP,258423,1999,Garrett TFE731-5BR,0,6,0,"Substantial, written off",Accident,"Aspen-Pitkin County Airport, CO (ASE/KASE) -United States of America",Take off,Executive,"Aspen-Pitkin County Airport, CO (ASE/KASE)","Austin-Bergstrom International Airport, TX (AUS/KAUS)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220221-0,2022
20220221-1,record_php,2022-02-21,Monday 21 February 2022,17:30,de Havilland Canada DHC-3T Texas Turbine Otter,Bald Mountain Air Services,N413JP,314,1958,Garrett TPE331-12JR,0,9,0,"Substantial, repaired",Accident,"Umiat Airport, AK (UMT) -United States of America",Landing,Passenger - Non-Scheduled/charter/Air Taxi,"Prudhoe Bay/Deadhorse Airport, AK (SCC/PASC)","Umiat Airport, AK (UMT/PAUM)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220221-1,2022
20220223-0,record_php,2022-02-23,Wednesday 23 February 2022,12:10,Antonov An-2,Taraz Zhana Alem,,,,,0,3,0,"Destroyed, written off",Accident,10 km S of Aralsk -Kazakhstan,Landing,Ambulance,Kzyl-Orda Airport (KZO/UAOO),Aralsk (UATA),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220223-0,2022
20220223-1,record_php,2022-02-23,Wednesday 23 February 2022,,Cessna 208B Grand Caravan,Air Serv Limited,5X-ASD,208B1127,2005,,0,14,0,Substantial,Accident,Bor Airport -South Sudan,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Pieri Airstrip,Bor Airport (HSBR),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20220223-1,2022
20220224-0,record_php,2022-02-24,Thursday 24 February 2022,,Antonov An-26,Ukraine Air Force,59 blue,50-03,,Ivchenko AI-24,5,14,0,"Destroyed, written off",,ca 2 km N of Zhukivtsi -Ukraine,En route,Military,,,,Little or no information is available,https://asn.flightsafety.org/database/record.php?id=20220224-0,2022
20220224-1,record_php,2022-02-24,Thursday 24 February 2022,,Antonov An-26,Russian Air Force,RF-36074,7510,1979,Ivchenko AI-24,,,0,"Destroyed, written off",Accident,"near Ostrogozhsk, Voronezh Region -Russia",En route,Military,,,,Little or no information is available,https://asn.flightsafety.org/database/record.php?id=20220224-1,2022
20220224-2,record_php,2022-02-24,Thursday 24 February 2022,12:46,Cessna 208B Supervan 900,GoJump Oceanside,N10JA,208B0961,2002,Honeywell TPE331-12JR,0,2,0,Substantial,Accident,"0,4 km NE of Oceanside Municipal Airport, CA (OCN/KOKB) -United States of America",Approach,Parachuting,"Oceanside Municipal Airport, CA (OCN/KOKB)","Oceanside Municipal Airport, CA (OCN/KOKB)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20220224-2,2022
20220224-3,record_php,2022-02-24,Thursday 24 February 2022,,Antonov An-74T,Antonov Airlines,UR-74010,36547030450,1987,,0,0,0,"Destroyed, written off",Unlawful Interference,Kyiv-Gostomel Airport (GML) -Ukraine,Standing,-,-,-,,Little or no information is available,https://asn.flightsafety.org/database/record.php?id=20220224-3,2022
