record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
192549,wikibase,2017-01-03,Tuesday 3 January 2017,17:51,Boeing 777-228ER,Air France,F-GSPP,30615/327,2001,,0,,0,"Substantial, repaired",Accident,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ) -Canada",Standing,Passenger - Scheduled,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",Paris-Charles de Gaulle Airport (CDG/LFPG),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/192549,2017
192550,wikibase,2017-01-03,Tuesday 3 January 2017,17:51,Boeing 777-240LR,Pakistan International Airlines - PIA,AP-BGY,33781/504,2005,General Electric GE90,0,,0,"Substantial, repaired",Accident,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ) -Canada",Taxi,Passenger - Scheduled,Lahore-Allama Iqbal International Airport (LHE/OPLA),"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/192550,2017
194205,wikibase,2017-03-13,Monday 13 March 2017,22:09,Boeing 737-838,Qantas,VH-VZZ,39445/4010,2012,CFMI CFM56-7B,0,184,0,None,Accident,"near Canberra, ACT -Australia",En route,Passenger - Scheduled,"Perth Airport, WA (PER/YPPH)","Canberra Airport, ACT (CBR/YSCB)",ATSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/194205,2017
196789,wikibase,2017-07-01,Saturday 1 July 2017,13:10,Boeing 787-9 Dreamliner,United Airlines,N29968,60141/516,2016,GE GEnx-1B,0,261,0,None,Accident,64 km SW of Fukushima Airport (FKS/RJSF) -Japan,En route,Passenger - Scheduled,"San Francisco International Airport, CA (SFO/KSFO)",Tokyo-Haneda Airport (HND/RJTT),JTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/196789,2017
198770,wikibase,2017-02-11,Saturday 11 February 2017,19:50,Boeing 737-76N,Southwest Airlines,N7822A,32596/1028,2001,CFMI CFM56-7B22,0,143,0,None,Accident,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX) -United States of America",Standing,Passenger - Scheduled,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)","Sacramento, CA (SMF)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/198770,2017
200621,wikibase,2017-10-22,Sunday 22 October 2017,c. 13:30 LT,Boeing 737-86N (WL),Spring Airlines Japan,JA03GR,41272/8419,,CFMI CFM56-7B,0,134,0,None,Accident,40km east-northeast of Kumamoto Airport (KMJ/RJFT) -Japan,En route,Passenger - Scheduled,Tokyo-Narita Airport (NRT/RJAA),Saga Airport (HSG/RJFS),JTSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/200621,2017
20170102-0,record_php,2017-01-02,Monday 2 January 2017,,Reims Cessna F406 Caravan II,Air Excel,5H-WOW,F406-0060,1991,,0,6,0,Substantial,Accident,Sasakwa Airstrip -Tanzania,Unknown,Passenger,,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20170102-0,2017
20170102-1,record_php,2017-01-02,Monday 2 January 2017,12:20,Let L-410UVP,Doren Air Congo,9Q-CZR,851336,1985,,0,2,0,Substantial,Accident,Shabunda Airport -Congo (Democratic Republic),Landing,Cargo,Bukavu-Kavumu Airport (BKY/FZMA),Shabunda Airport (FZMW),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20170102-1,2017
20170102-2,record_php,2017-01-02,Monday 2 January 2017,16:43,Hawker 800XP,Pinnacle Air Charter,N910JD,258420,1999,Honeywell TFE731-SER,0,2,0,"Substantial, repaired",Accident,"Scottsdale Airport, AZ (SCF) -United States of America",Landing,Private,"Tucson International Airport, AZ (TUS/KTUS)","Scottsdale Airport, AZ (SCF/KSDL)",,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20170102-2,2017
20170107-0,record_php,2017-01-07,Saturday 7 January 2017,08:39,Bombardier CL-600-2B16 Challenger 604,MHS Aviation,D-AMSC,5464,2000,General Electric CF34-3B,0,9,0,"Substantial, written off",Accident,"1230 km SSE of Muscat, Oman -Indian Ocean",En route,Executive,Malé International Airport (MLE/VRMM),Abu Dhabi-Bateen Airport (AZI/OMAD),BFU,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20170107-0,2017
