record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20001128-0,record_php,2000-11-28,Tuesday 28 November 2000,06:25,Swearingen SA227-AC Metro III,Aero Condor,N3107P,AC-496,1981,Garrett TPE331-11U-611G,0,2,0,"Destroyed, written off",Accident,Trujillo Airport (TRU) -Peru,Landing,Cargo,Lima-Callao International Airport (LIM/SPIM),Trujillo Airport (TRU/SPRU),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20001128-0,2000
20001129-0,record_php,2000-11-29,Wednesday 29 November 2000,15:50,McDonnell Douglas DC-9-32,AirTran Airways,N826AT,47359/495,1969,Pratt & Whitney JT8D-7B (HK3),0,97,0,"Substantial, written off",Accident,"Atlanta-William B. Hartsfield International Airport, GA (ATL) -United States of America",En route,Passenger - Scheduled,"Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL)","Akron/Canton Regional Airport, OH (CAK/KCAK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001129-0,2000
20001130-0,record_php,2000-11-30,Thursday 30 November 2000,12:36,Boeing 737-86N,Futura International Airways,EC-HMK,28624/585,2000,CFMI CFM56-7B27,0,208,0,"Substantial, repaired",Accident,Shannon Airport (SNN) -Ireland,Landing,Passenger - Scheduled,Lanzarote Airport (ACE/GCRR),Shannon Airport (SNN/EINN),AAIU,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001130-0,2000
20001201-0,record_php,2000-12-01,Friday 1 December 2000,,Antonov An-24,Unknown,,,,Ivchenko AI-24,1,17,0,Minor,Unlawful Interference,-Congo (Democratic Republic),En route,Unknown,Goma Airport (GOM/FZNA),Kindu Airport (KND/FZOA),,,https://asn.flightsafety.org/database/record.php?id=20001201-0,2000
20001204-0,record_php,2000-12-04,Monday 4 December 2000,,Airbus A330-223,Sabena,OO-SFR,296,1999,Pratt & Whitney PW4168A,0,170,0,"Minor, repaired",Unlawful Interference,near Bujumbura International Airport (BJM) -Burundi,Approach,Passenger - Scheduled,Brussel-Zaventem Airport (BRU/EBBR),Bujumbura International Airport (BJM/HBBA),,,https://asn.flightsafety.org/database/record.php?id=20001204-0,2000
20001205-0,record_php,2000-12-05,Tuesday 5 December 2000,,CASA C-212 Aviocar 300,SATENA,FAC-1251,450,1991,Honeywell TPE331-10R-513C,0,12,0,"Destroyed, written off",Accident,3 km from Tres Esquinas Air Base (TQS) -Colombia,Approach,Military,,Tres Esquinas Air Base (TQS/SKTQ),,,https://asn.flightsafety.org/database/record.php?id=20001205-0,2000
20001206-0,record_php,2000-12-06,Wednesday 6 December 2000,20:38,Embraer EMB-120RT Brasilia,Atlantic Southeast Airlines - ASA,N504AS,120278,1992,P&W PW-118,0,19,0,"Substantial, repaired",Accident,"Charleston-Yeager Airport, WV (CRW) -United States of America",Landing,Passenger - Scheduled,"Atlanta-William B. Hartsfield International Airport, GA (ATL/KATL)","Charleston-Yeager Airport, WV (CRW/KCRW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001206-0,2000
20001211-0,record_php,2000-12-11,Monday 11 December 2000,,Embraer EMB-110P1K Bandeirante,Force Aérienne Gabonaises,TR-KNA,110268,1980,Pratt & Whitney Canada PT6A-34,3,3,0,"Aircraft missing, written off",Accident,within Gabon -Gabon,Unknown,Military,Libreville Airport (LBV/FOOL),Tchibanga Airport (TCH/FOOT),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20001211-0,2000
20001216-0,record_php,2000-12-16,Saturday 16 December 2000,06:20,CASA C-212-M Aviocar 300,Royal Lesotho Defence Force,LDF-48,390,1989,Honeywell TPE331-10R-513C,0,13,0,"Destroyed, written off",Accident,Mokhotlong Airport (MKH) -Lesotho,Landing,Military,Maseru-Moshoeshoe International Airport (MSU/FXMM),Mokhotlong Airport (MKH/FXMK),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20001216-0,2000
20001217-0,record_php,2000-12-17,Sunday 17 December 2000,,Boeing 747,Pakistan International Airlines - PIA,,,,,0,,0,None,Unlawful Interference,Dubai Airport (DXB) -United Arab Emirates,Standing,Passenger - Scheduled,Dubai Airport (DXB/OMDB),London-Heathrow Airport (LHR/EGLL),,,https://asn.flightsafety.org/database/record.php?id=20001217-0,2000
20001219-0,record_php,2000-12-19,Tuesday 19 December 2000,12:00,Antonov An-2,private,SP-FLU,1G237-33,1995,,0,3,0,"Substantial, written off",Accident,"Anápolis Airport, GO (APS) -Brazil",Landing,Ferry/positioning,"Canarana Airport, MT (CQA/SWEK)","Anápolis Airport, GO (APS/SWNS)",CENIPA,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001219-0,2000
20001220-0,record_php,2000-12-20,Wednesday 20 December 2000,16:20,Curtiss C-46A-45-CU Commando,Everts Air Fuel,N1419Z,30228,1944,Pratt & Whitney R-2800,2,2,0,"Destroyed, written off",Accident,"69 km SW of Kenai, AK -United States of America",En route,Cargo,"Nondalton Airport, AK (NNL/PANO)","Kenai Airport, AK (ENA/PAEN)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001220-0,2000
20001220-1,record_php,2000-12-20,Wednesday 20 December 2000,01:26,British Aerospace BAe-125-700A,Million Air Dallas,N236BN,257051/NA0236,1979,Garrett TFE731-3R-1H,0,4,0,"Destroyed, written off",Accident,"Jackson Hole Airport, WY (JAC) -United States of America",Landing,Passenger - Non-Scheduled/charter/Air Taxi,"Austin-Bergstrom International Airport, TX (AUS/KAUS)","Jackson Hole Airport, WY (JAC/KJAC)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001220-1,2000
20001222-0,record_php,2000-12-22,Friday 22 December 2000,17:16,Beechcraft B200 Super King Air,Mountain Air Service,N30EM,BB-958,1982,Pratt & Whitney Canada PT6A-42,2,2,0,"Destroyed, written off",Accident,"13 km S of Rangeley Municipal Airport, ME -United States of America",Approach,Private,"Portland Airport, ME (PWM/KPWM)","Rangeley Municipal Airport, ME",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001222-0,2000
20001223-0,record_php,2000-12-23,Saturday 23 December 2000,23:55,McDonnell Douglas DC-10-10,"Hawaiian Airlines, lsf American Airlines",N132AA,47827/294,1979,General Electric CF6-6K,0,154,0,"Substantial, repaired",Accident,Papeete-Faaa Airport (PPT) -French Polynesia,Landing,Passenger - Scheduled,"Honolulu International Airport, HI (HNL/PHNL)",Papeete-Faaa Airport (PPT/NTAA),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20001223-0,2000
