record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
147087,wikibase,2001-01-31,Wednesday 31 January 2001,15:55,McDonnell Douglas DC-10-40,Japan Airlines,JA8546,47855/349,1981,,0,250,0,None,Accident,off Shizuoka Prefecture -Japan,En route,Passenger - Scheduled,Busan-Gimhae (Pusan) International Airport (PUS),Tokyo-Narita Airport (NRT),ARAIC,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/147087,2001
147108,wikibase,2001-07-21,Saturday 21 July 2001,20:07,McDonnell Douglas MD-81,SAS Scandinavian Airlines,LN-RMT,53001/1815,1991,P&W JT8D-200,0,69,0,"Substantial, repaired",Accident,55 km W of Helsinki -Finland,En route,Passenger - Scheduled,Stockholm-Arlanda Airport (ARN/ESSA),Helsinki-Vantaa Airport (HEL/EFHK),SIAF,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/147108,2001
147126,wikibase,2001-01-31,Wednesday 31 January 2001,15:55,Boeing 747-446D,Japan Airlines,JA8904,26348/941,1992,,0,427,0,None,Accident,off Shizuoka Prefecture -Japan,En route,Passenger - Scheduled,Tokyo-Haneda Airport (HND),Okinawa-Naha Airport (OKA),JTSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/147126,2001
188743,wikibase,2001-09-25,Tuesday 25 September 2001,14:11,Embraer ERJ-145EP,British Midland Airways - BMA,G-RJXG,145390,2001,Allison AE3007/A1/1,0,21,0,Substantial,Accident,"On approach to Manchester International Airport, Manchester  -United Kingdom",Approach,Passenger - Scheduled,Aberdeen Airport (ABZ/EGPD),Manchester Airport (MAN/EGCC),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188743,2001
188754,wikibase,2001-11-16,Friday 16 November 2001,08:10,Airbus A321-231,Monarch Airlines,G-OJEG,1015,1999,IAE V2533-A5,0,229,0,Substantial,Accident,London-Luton Airport (LTN/EGGW) -United Kingdom,Take off,Passenger - Non-Scheduled/charter/Air Taxi,"Luton Airport, Luton, Bedffordshire (LTN/EGGP)","Tenerife South Airport, Tenerife, Canary Islands (TFS/GCTS)",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188754,2001
20010104-0,record_php,2001-01-04,Thursday 4 January 2001,,Shaanxi Y-8,People's Liberation Army - Air Force - PLAAF,31242,,1980,,8,8,6,Destroyed,Accident,"Zhengzhou, Henan Province -China",Approach,Military,,Zhengzhou Air Base,,,https://asn.flightsafety.org/database/record.php?id=20010104-0,2001
20010104-1,record_php,2001-01-04,Thursday 4 January 2001,,Shaanxi Y-8,People's Liberation Army - Air Force - PLAAF,31243,,1980,Zhuzhou WJ6,8,8,0,"Destroyed, written off",Accident,near Zheng Zou Air Base -China,Approach,Military,,Zhengzhou Air Base,,,https://asn.flightsafety.org/database/record.php?id=20010104-1,2001
20010104-2,record_php,2001-01-04,Thursday 4 January 2001,15:47,Learjet 35,Air Response North,N435JL,35-018,1975,Garrett TFE731,0,3,0,"Substantial, written off",Accident,"Schenectady-County Airport, NY (SCH) -United States of America",Take off,Ambulance,"Schenectady-County Airport, NY (SCH/KSCH)","New York-La Guardia Airport, NY (LGA/KLGA)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20010104-2,2001
20010105-0,record_php,2001-01-05,Friday 5 January 2001,,Boeing 727-46F,Air Gemini Cargo,S9-BAI,20078/686,1968,Pratt & Whitney JT8D-9A,0,10,1,"Destroyed, written off",Accident,Dundo Airport (DUE) -Angola,Landing,Cargo,Luanda-4 de Fevereiro Airport (LAD/FNLU),Dundo Airport (DUE/FNDU),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20010105-0,2001
20010106-0,record_php,2001-01-06,Saturday 6 January 2001,,Britten-Norman BN-2A-2 Islander,Guyana Defence Force,8R-GFN,289,1970,Lycoming IO-540-K1B5,3,3,0,"Destroyed, written off",Accident,9 km from Mahdia -Guyana,En route,Military,Kato Airport (KTO/SYKT),Mahdia Airport (MHA/SYMD),,,https://asn.flightsafety.org/database/record.php?id=20010106-0,2001
