record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
147109,wikibase,2003-03-26,Wednesday 26 March 2003,22:39,Boeing 717-2BD,AirTran Airways,N957AT,55017/5040,2000,Rolls-Royce BR715-A2,0,83,0,Minor,Accident,"New York-La Guardia Airport, NY (LGA/KLGA) -United States of America",Approach,Passenger - Scheduled,"Atlanta Hartsfield Jackson International Airport, GA (ATL/KATL)","Flushing, NY (LGA)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/147109,2003
188882,wikibase,2003-06-26,Thursday 26 June 2003,10:00,Boeing 777-236ER,British Airways,G-VIIA,27483/41,1997,GE90-85B,0,286,0,Substantial,Accident,"Near Reigate, Surrey -United Kingdom",Initial climb,Passenger - Scheduled,London Gatwick Airport (LGW/EGKK),"V.C.Bird International Airport, St. Johns,Antigua (ANU/TAPA)",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188882,2003
20030104-0,record_php,2003-01-04,Saturday 4 January 2003,17:35,Cessna 525 CitationJet,JS Táxi Aéreo,PT-XJS,525-0239,1998,Williams International FJ44-1A,0,4,0,"Substantial, repaired",Accident,"São Paulo-Congonhas Airport, SP (CGH) -Brazil",Landing,Executive,"Morrinhos Airport, GO (SWMX)","São Paulo-Congonhas Airport, SP (CGH/SBSP)",CENIPA,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030104-0,2003
20030106-0,record_php,2003-01-06,Monday 6 January 2003,12:48,Embraer EMB-145LR (ERJ-145LR),"Continental Express, opb ExpressJet Airlines",N16571,145633,2002,Rolls-Royce 3007-AIP,0,50,0,"Substantial, repaired",Accident,"Cleveland-Hopkins International Airport, OH (CLE) -United States of America",Landing,Passenger - Scheduled,"Windsor Locks-Bradley International Airport, CT (BDL/KBDL)","Cleveland-Hopkins International Airport, OH (CLE/KCLE)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030106-0,2003
20030107-0,record_php,2003-01-07,Tuesday 7 January 2003,18:24,Raytheon 390 Premier I,Caribbean Aviation,N390RB,RB-26,2001,Williams International FJ44-2A,0,4,0,"Destroyed, written off",Accident,Santo Domingo-Herrera Airport (HEX) -Dominican Republic,Landing,Unknown,Santo Domingo-Las Américas José Francisco Peña Gómez Int'l Airport (SDQ/MDSD),Santo Domingo-Herrera International Airport (HEX/MDHE),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20030107-0,2003
20030108-0,record_php,2003-01-08,Wednesday 8 January 2003,08:49,Beechcraft 1900D,"US Airways Express, opb Air Midwest",N233YV,UE-233,1996,Pratt & Whitney Canada PT6A-67D,21,21,0,"Destroyed, written off",Accident,"Charlotte-Douglas International Airport, NC (CLT) -United States of America",Take off,Passenger - Scheduled,"Charlotte-Douglas International Airport, NC (CLT/KCLT)","Greenville-Spartanburg Airport, SC (GSP/KGSP)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030108-0,2003
20030108-1,record_php,2003-01-08,Wednesday 8 January 2003,18:43,Avro RJ100,THY Turkish Airlines,TC-THG,E3241,1994,Lycoming LF507-1F,75,80,0,"Destroyed, written off",Accident,"0,9 km S of Diyarbakir Airport (DIY) -Türkiye",Approach,Passenger - Scheduled,Istanbul-Atatürk International Airport (IST/LTBA),Diyarbakir Airport (DIY/LTCC),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030108-1,2003
20030108-2,record_php,2003-01-08,Wednesday 8 January 2003,18:15,de Havilland Canada DHC-8-401Q Dash 8,Horizon Air,N409QX,4051,2001,Pratt & Whitney PW 150-A,0,32,0,"Substantial, repaired",Accident,"near Medford, OR -United States of America",Approach,Passenger - Scheduled,"Seattle/Tacoma International Airport, WA (SEA/KSEA)","Medford-Rogue Valley International, OR (MFR/KMFR)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030108-2,2003
20030109-0,record_php,2003-01-09,Thursday 9 January 2003,08:45,Fokker F-28 Fellowship 1000,Transportes Aéreos Nacionales de la Selva - TANS,OB-1396,11100,1975,Rolls-Royce Spey 555-15,46,46,0,"Destroyed, written off",Accident,near Chachapoyas -Peru,Approach,Passenger - Scheduled,Chiclayo-Capitan FAP Jose Abelardo Quiñones Airport (CIX/SPHI),Chachapoyas Airport (CHH/SPPY),CIAA,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20030109-0,2003
20030109-1,record_php,2003-01-09,Thursday 9 January 2003,22:30,de Havilland Canada DHC-3T Vazar Turbine Otter,Harbour Air,C-FITF,89,1955,Pratt & Whitney Canada PT6A-34,0,2,0,"Substantial, repaired",Accident,"Eden Lake, BC -Canada",Landing,Passenger - Non-Scheduled/charter/Air Taxi,,"Eden Lake, BC",,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20030109-1,2003
20030109-2,record_php,2003-01-09,Thursday 9 January 2003,,Fokker F-28 Fellowship 4000,Pelita Air Service,PK-PJK,11192,1982,,0,55,0,"Minor, repaired",Accident,Gorontalo-Jalaluddin Airport (GTO) -Indonesia,Taxi,Passenger - Scheduled,,Gorontalo-Jalaluddin Airport (GTO/WAMG),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20030109-2,2003
20030114-1,record_php,2003-01-14,Tuesday 14 January 2003,13:00,Britten-Norman BN-2A-26 Islander,Siam Air Sports,HS-RON,156,1970,,0,7,0,"Destroyed, written off",Accident,"1,5 km from Pattaya Airport (PYX) -Thailand",En route,Parachuting,Pattaya Airport (PYX/YTBF),Pattaya Airport (PYX/YTBF),,,https://asn.flightsafety.org/database/record.php?id=20030114-1,2003
