record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
163828,wikibase,2014-02-12,Wednesday 12 February 2014,14:07 LT,de Havilland Canada DHC-8-201Q Dash 8,Oriental Air Bridge,JA801B,566,2001,P&W Canada PW123,0,2,0,Substantial,Accident,Nagasaki Airport (NGS/RJFU) -Japan,Landing,Training,Nagasaki Airport (NGS/RJFU),Nagasaki Airport (NGS/RJFU),JTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/163828,2014
163938,wikibase,2014-02-17,Monday 17 February 2014,c. 03:45,Airbus A321-231,Ural Airlines,VQ-BOC,1199,2000,IAE V2533-A5,0,8,0,Minor,Accident,Dubai Airport (DXB/OMDB) -United Arab Emirates,Standing,Passenger - Non-Scheduled/charter/Air Taxi,Dubai Airport (DXB/OMDB),PEE,GCAA,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/163938,2014
163998,wikibase,2014-02-17,Monday 17 February 2014,12:54,Boeing 737-724,United Airlines,N23708,28769/52,1998,CFMI CFM56,0,120,0,None,Accident,"Kaycee, Wyoming -United States of America",En route,Passenger - Scheduled,"Denver International Airport, CO (DEN/KDEN)","Billings, MT (KBIL)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/163998,2014
164391,wikibase,2014-02-02,Sunday 2 February 2014,22:30,Learjet 35A,Jedami Air Llc,N979RF,376,1981,Garrett TFE 731 2 2B,0,4,0,None,Accident,"Fort Lauderdale Int'l Airport (KFLL), Fort Lauderdale, FL -United States of America",Taxi,Ambulance,"Ft. Lauderdale, FL (KFLL)","Grand Cayman, FN (MWCR)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/164391,2014
166101,wikibase,2014-05-09,Friday 9 May 2014,,Boeing 737-401,Avior Airlines,YV2946,23886/1487,1988,CFMI CFM56-3,0,,0,"Substantial, repaired",Accident,Panama City-Tocumen International Airport (PTY/MPTO)  -Panama,Take off,Passenger - Scheduled,Panama City-Tocumen International Airport (PTY/MPTO),Barcelona-Gen J A Anzoategui Airport (BLA/SVBC),AAC Panama,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/166101,2014
169945,wikibase,2014-09-12,Friday 12 September 2014,c. 17:30 LT,Boeing 767-346ER,Japan Airlines,JA654J,40366/999,2011,,0,230,0,None,Accident,95km SE of Gimpo International Airport (GMP/RKSS) -South Korea,Approach,Passenger - Scheduled,"Tokyo/Haneda International Airport (HND/RJTT), Japan",Seoul-Gimpo (Kimpo) International Airport (GMP/RKSS),JTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/169945,2014
172338,wikibase,2014-12-16,Tuesday 16 December 2014,19:30,Boeing 777-223ER,American Airlines,N751AN,30798/333,2001,,0,255,0,None,Accident,between Tochigi prefecture and off east of Ibaraki prefecture -Japan,En route,Passenger - Scheduled,Seoul-Incheon International Airport (ICN/RKSI),"Dallas/Fort Worth International Airport, TX (DFW/KDFW)",JTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/172338,2014
197625,wikibase,2014-06-08,Sunday 8 June 2014,,Airbus A310-308,Pakistan International Airlines - PIA,AP-BEC,590,1991,GE CF6-80C2A8,0,0,0,"Minor, written off",Other,Karachi-Jinnah International Airport (KHI/OPKC)  -Pakistan,Standing,-,-,-,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/197625,2014
20140103-0,record_php,2014-01-03,Friday 3 January 2014,19:30,Boeing 737-8H4 (WL),Southwest Airlines,N8327A,37009/4269,2012,CFMI CFM56-7B27E,0,180,0,"Substantial, repaired",Accident,"Las Vegas-McCarran International Airport, NV (LAS) -United States of America",Landing,Passenger - Scheduled,"Orlando International Airport, FL (MCO/KMCO)","Las Vegas-McCarran International Airport, NV (LAS/KLAS)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20140103-0,2014
20140105-0,record_php,2014-01-05,Sunday 5 January 2014,,Boeing 767-3W0ER,"Saudi Arabian Airlines, lsf Orient Thai Airlines",HS-BKE,28264/644,1997,Rolls-Royce RB211-524H,0,315,0,"Substantial, repaired",Accident,Madinah-Mohammad Bin Abdulaziz Airport (MED) -Saudi Arabia,Landing,Passenger - Scheduled,Mashhad-Shahid Hashemi Nejad Airport (MHD/OIMM),Madinah-Mohammad Bin Abdulaziz Airport (MED/OEMA),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20140105-0,2014
