record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
181417,wikibase,2002-10-17,Thursday 17 October 2002,,Cessna 208B Grand Caravan,Aero Express Táxi Aéreo,PT-MES,208B0507,1996,,0,2,0,None,Accident,"Guarulhos, SP -Brazil",Standing,Unknown,SBGR,,CENIPA,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/181417,2002
188775,wikibase,2002-02-27,Wednesday 27 February 2002,17:18,Boeing 737-8AS,Ryanair,EI-CSA,29916/210,1999,CFM56-7,0,124,0,Substantial,Accident,London-Stansted Airport (STN/EGSS) -United Kingdom,Landing,Passenger - Scheduled,"Dublin Airport, Dublin, Eire (DUB/EIDW)",London Stansted Airport (STN/EGS),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188775,2002
188824,wikibase,2002-11-19,Tuesday 19 November 2002,03:28,Boeing 727-230F,DHL European Air Transport,OO-DHY,20905/1091,1975,Pratt & Whitney JT8D-15,0,3,0,Substantial,Accident,East Midlands Airport (EMA/EGNX) -United Kingdom,Take off,Cargo,East Midlands Airport (EMA/EGMX),Frankfurt Egelsbach Airport (QEF/EDFE),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/188824,2002
190687,wikibase,2002-08-11,Sunday 11 August 2002,19:20,Boeing 747-256,Iberia,EC-DNP,22764/554,1982,Pratt & Whitney JT9D-7Q3,0,386,0,Minor,Accident,"New York-John F. Kennedy International Airport, NY (JFK/KJFK) -United States of America",Initial climb,Passenger - Scheduled,"Jamaica, NY (JFK)","Madrid,  (LEMD)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/190687,2002
20020104-0,record_php,2002-01-04,Friday 4 January 2002,12:07,Bombardier CL-600-2B16 Challenger 604,Epps Air Service,N90AG,5414,1999,General Electric CF34-3B,5,5,0,"Destroyed, written off",Accident,Birmingham International Airport (BHX) -United Kingdom,Take off,Executive,Birmingham International Airport (BHX/EGBB),"Bangor International Airport, ME (BGR/KBGR)",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20020104-0,2002
20020108-0,record_php,2002-01-08,Tuesday 8 January 2002,,Tupolev Tu-134A-3,Pulkovo Aviation Enterprise,RA-65004,44060,1976,,0,,0,"Destroyed, written off",Accident,Saint Petersburg-Pulkovo Airport (LED) -Russia,Unknown,Unknown,,,,,https://asn.flightsafety.org/database/record.php?id=20020108-0,2002
20020109-0,record_php,2002-01-09,Wednesday 9 January 2002,,Lockheed KC-130R Hercules,United States Marine Corps,160021,4702,1976,,7,7,0,"Destroyed, written off",Accident,near Shamsi -Pakistan,Approach,Military,Jacobabad Airport (JAG/OPJA),Shamsi,,,https://asn.flightsafety.org/database/record.php?id=20020109-0,2002
20020112-0,record_php,2002-01-12,Saturday 12 January 2002,20:40,ATR 42-512,ACES - Aerolineas Centrales de Colombia,VP-BVE,510,1995,Pratt & Whitney Canada PW127E,0,51,0,"Substantial, repaired",Accident,near Cartagena -Colombia,En route,Passenger - Scheduled,Cartagena-Rafael Núñez Airport (CTG/SKCG),Bucaramanga-Palo Negro Airport (BGA/SKBG),Aerocivil,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20020112-0,2002
20020114-0,record_php,2002-01-14,Monday 14 January 2002,07:28,Embraer EMB-120RT Brasilia,Ibertrans Aérea,EC-GTJ,120024,1986,Pratt & Whitney Canada PW118,3,3,0,"Destroyed, written off",Accident,2 km SE of Zaldívar -Spain,En route,Cargo,Madrid-Barajas Airport (MAD/LEMD),Bilbao Airport (BIO/LEBB),CIAIAC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20020114-0,2002
20020114-1,record_php,2002-01-14,Monday 14 January 2002,10:15,Boeing 737-291,Lion Air,PK-LID,20363/218,1969,Pratt & Whitney JT8D-9A (HK3),0,103,0,"Destroyed, written off",Accident,Pekanbaru-Sultan Syarif Kasim II Airport (PKU) -Indonesia,Take off,Passenger - Scheduled,Pekanbaru-Sultan Syarif Kasim II Airport (PKU/WIBB),Batam-Hang Nadim Airport (BTH/WIDD),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20020114-1,2002
