record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
122184,wikibase,2007-09-02,Sunday 2 September 2007,,CASA/Nurtanio NC-212-AB4 Aviocar 200,Merpati Nusantara Airlines,PK-NCN,36N/191,,,0,22,0,Substantial,Accident,Dobo-Rar Gwarma Airport (DOB) -Indonesia,Landing,Passenger - Scheduled,Ambon-Pattimura Airport (AMQ/WAPP),Dobo Airport (DOB/WAPD),NTSC,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/122184,2007
131,wikibase,2007-12-25,Tuesday 25 December 2007,05:54,Airbus A330-323,Northwest Airlines,N819NW,858,2007,Pratt & Whitney PW4168A,0,295,0,None,Accident,"1300 nm W of Honolulu, Oahu, HI -Pacific Ocean",En route,Passenger - Scheduled,Osaka-Kansai International Airport (KIX/RJBB),"Honolulu-Daniel K. Inouye International Airport, HI (HNL/PHNL)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/131,2007
138,wikibase,2007-12-16,Sunday 16 December 2007,18:55,Bombardier CRJ-200LR,Skywest Airlines,N918SW,7645,,General Electric CF34-3B1,0,32,0,Substantial,Accident,"Chicago-O'Hare International Airport, IL (ORD/KORD) -United States of America",Taxi,Passenger - Scheduled,"Madison, WI (MSN)","Chicago, IL (ORD)",NTSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/138,2007
139989,wikibase,2007-04-12,Thursday 12 April 2007,,Boeing 737-4U3,Garuda Indonesia Airways,PK-GWK,25713/2531,1993,CFMI CFM56-3,0,,0,Minor,Accident,Jakarta-Soekarno-Hatta International Airport (CGK/WIII) -Indonesia,Take off,Passenger - Scheduled,Jakarta-Soekarno-Hatta International Airport (CGK/WIII),Makassar-Sultan Hasanuddin International Airport (UPG/WAAA),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/139989,2007
165455,wikibase,2007-10-12,Friday 12 October 2007,13:00,Canadair CL-600-2C10 Regional Jet CRJ-701,Skywest Airlines,N368CA,10075,,General Electric CF34-8C5B1,0,74,0,Substantial,Accident,"Denver International Airport, CO (DEN/KDEN) -United States of America",Initial climb,Passenger - Scheduled,"Denver International Airport, CO (DEN/KDEN)","Salt Lake City, UT (SLC)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165455,2007
165485,wikibase,2007-07-10,Tuesday 10 July 2007,16:30,Boeing 737-232 Adv.,Sky King Inc.,N332DL,23104/1062,1984,Pratt & Whitney JT8D-15,1,116,0,None,Accident,"Tunica Air Center, MS (KUTA) -United States of America",Standing,Passenger - Non-Scheduled/charter/Air Taxi,"Tunica, MS (UTA)","Oklahoma City, OK (OKC)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165485,2007
165592,wikibase,2007-05-18,Friday 18 May 2007,13:00,McDonnell Douglas DC-9-31,Northwest Airlines,N1799U,47370/551,1971,Pratt & Whitney JT8D-9A,0,99,0,Substantial,Accident,"Near Syracuse, NY -United States of America",En route,Passenger - Scheduled,"Syracus, NY (SYR)","Detroit, MI (DTW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165592,2007
165669,wikibase,2007-03-15,Thursday 15 March 2007,21:35,Boeing 767-322ER,United Airlines,N662UA,27159/513,1993,Pratt & Whitney 4060,0,203,0,Substantial,Accident,"near Chicago O'Hare Intn'l Airport, IL (ORD) -United States of America",Initial climb,Passenger - Scheduled,"Chicago-O'Hare International Airport, IL (ORD/KORD)","Sao Paulo,  (SBGR)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165669,2007
20070101-0,record_php,2007-01-01,Monday 1 January 2007,14:59,Boeing 737-4Q8,AdamAir,PK-KKW,24070/1665,1989,CFMI CFM56-3C1,102,102,0,"Destroyed, written off",Accident,85 km W off Pambauang -Indonesia,En route,Passenger - Scheduled,Surabaya-Juanda Airport (SUB/WARR),Manado-Sam Ratulangi Airport (MDC/WAMM),NTSC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20070101-0,2007
20070107-0,record_php,2007-01-07,Sunday 7 January 2007,20:02,Beechcraft A100 King Air,Transwest Air,C-GFFN,B-190,1974,Pratt & Whitney Canada PT6A-28,1,4,0,"Destroyed, written off",Accident,"Sandy Bay Airport, SK -Canada",Approach,Ambulance,"La Ronge Airport, SK (YVC/CYVC)","Sandy Bay Airport, SK",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20070107-0,2007
20070109-0,record_php,2007-01-09,Tuesday 9 January 2007,,Antonov An-26B-100,Aeriantur-M Airlines,ER-26068,11308,1981,Ivchenko AI-24VT,34,35,0,"Destroyed, written off",Accident,"2,5 km from Balad Air Base -Iraq",Approach,Passenger - Non-Scheduled/charter/Air Taxi,Adana Airport (ADA/LTAF),Balad Air Base (ORBD),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20070109-0,2007
20070109-1,record_php,2007-01-09,Tuesday 9 January 2007,23:23,Learjet 24F,Ameristar Jet Charter,N444TW,24-348,1977,General Electric CJ610-6,2,2,0,"Destroyed, written off",Accident,30 km E of Guadalajara-Miguel Hidal Airport (GDL) -Mexico,Approach,Cargo,"Laredo International Airport, TX (LRD/KLRD)",Guadalajara-Don Miguel Hidalgo y Costilla International Airport (GDL/MMGL),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20070109-1,2007
20070109-2,record_php,2007-01-09,Tuesday 9 January 2007,11:33,British Aerospace 3112 Jetstream 31,Peace Air,C-FBIP,820,1988,Garrett TPE331-10UG-513H,0,12,0,"Destroyed, written off",Accident,"Fort St. John Airport, BC (YXJ) -Canada",Landing,Passenger - Scheduled,"Grande Prairie Airport, AB (YQU/CYQU)","Fort St. John Airport, BC (YXJ/CYXJ)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20070109-2,2007
20070110-0,record_php,2007-01-10,Wednesday 10 January 2007,03:30,Learjet 35A,AirNet Systems,N40AN,35A-271,1979,Garrett TFE731-2-2B,0,2,0,"Destroyed, written off",Accident,"near Columbus, OH -United States of America",En route,Cargo,"Jacksonville International Airport, FL (JAX/KJAX)","Columbus (unknown airport), OH",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20070110-0,2007
20070111-0,record_php,2007-01-11,Thursday 11 January 2007,23:50,CASA/IPTN NC-212 Aviocar 200,Aviastar Mandiri,PK-BRM,412/92N,1992,Garrett TPE331,0,13,0,"Substantial, repaired",Accident,Sangata-Tanjung Bara Airport -Indonesia,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Balikpapan-Sepingan Airport (BPN/WALL),Sangata-Tanjung Bara Airport (WRLJ),NTSC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20070111-0,2007
