record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
469640,wikibase,2025-01-02,Thursday 2 January 2025,18:54,Bombardier CRJ-200LR,Corporate Flight Management Inc dba Contour Aviation,N438SW,7574,2001,GE CF34-3B1,0,32,0,Substantial,Accident,"Stringtown, MS -United States of America",En route,Passenger - Non-Scheduled/charter/Air Taxi,"Dallas/Fort Worth International Airport, TX (DFW/KDFW)","Greenville Airport, MS (GLH/KGLH)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/469640,2025
470067,wikibase,2025-01-03,Friday 3 January 2025,23:38,Cirrus SF50 Vision Jet G2,Foxtrot Jet LLC,N603AP,0057,2018,Williams FJ33-5A,0,6,0,"Substantial, written off",Accident,"Black Hills Airport-Clyde Ice Field (SPF/KSPF), Spearfish, SD -United States of America",Landing,Private,"St. Paul Downtown Airport, MN (STP/KSTP)","Spearfish-Black Hills Airport, SD (SPF/KSPF)",NTSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/470067,2025
470116,wikibase,2025-01-07,Tuesday 7 January 2025,16:00 LT,Cessna 208 Caravan 675,Swan River Seaplanes,VH-WTY,20800586,2016,P&W Canada PT6A-114A,3,7,0,"Destroyed, written off",Accident,"off Rottnest Island, near Thomson Bay, WA -Australia",Take off,Passenger - Non-Scheduled/charter/Air Taxi,"Rottnest Island, WA","South Perth, WA",ATSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/470116,2025
470557,wikibase,2025-01-09,Thursday 9 January 2025,10:05,Cessna 525 CitationJet CJ1+,Private,PR-GFS,525-0663,2008,Williams International FJ44-1AP,1,5,0,"Destroyed, written off",Accident,"Ubatuba Airport, SP (UBT/SDUB) -Brazil",Landing,Unknown,"Mineiros Airport, GO (SWME)","Ubatuba Airport, SP (UBT/SDUB)",CENIPA,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/470557,2025
470711,wikibase,2025-01-10,Friday 10 January 2025,09:05,Boeing 757-351 (WL),Delta Air Lines,N589NW,32989/1025,2003,P&W PW2040,0,209,0,"Minor, repaired",Accident,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL) -United States of America",Take off,Passenger - Scheduled,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)","Minneapolis-St. Paul International Airport, MN (MSP/KMSP)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/470711,2025
470837,wikibase,2025-01-11,Saturday 11 January 2025,,Beechcraft B300 King Air 350i,Agropecuaria Maggi Ltda,PR-BIH,FL-829,2013,,0,7,0,Substantial,Accident,"SÃ£o FÃ©lix do Araguaia-Fazenda AgrovÃ¡s Airstrip, MT (SJXG) -Brazil",Landing,Executive,"Confresa Airport, MT (CFO/SJHG)","SÃ£o FÃ©lix Do Araguaia-Fazenda Agroplan Airport, MT (SJXG)",CENIPA,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/wikibase/470837,2025
471019,wikibase,2025-01-10,Friday 10 January 2025,02:55,Boeing 767-34AFER (WL),UPS,N324UP,27750/724,1998,,0,3,0,"Substantial, repaired",Accident,"San Bernardino International Airport (SBD/KSBD), San Bernardino, CA -United States of America",Landing,Cargo,"Louisville-Muhammad Ali International Airport, KY (SDF/KSDF)","Ontario International Airport, CA (ONT/KONT)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/471019,2025
471306,wikibase,2025-01-09,Thursday 9 January 2025,14:56 UTC,Boeing 737-8JP (WL),Norwegian Air International,SE-RPU,42078/5575,2015,CFMI CFM56-7B,0,195,0,"Substantial, repaired",Accident,KÃ¸benhavn-Kastrup Airport (CPH/EKCH) -Denmark,Taxi,Passenger - Scheduled,MÃ¡laga-Costa del Sol Airport (AGP/LEMG),KÃ¸benhavn-Kastrup Airport (CPH/EKCH),HCLJ,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/471306,2025
471740,wikibase,2025-01-17,Friday 17 January 2025,16:00,Let L-410UVP-E9,SARAT Flight Logics,7Q-SLT,871939,1987,,0,9,0,Substantial,Accident,Jebel-Boma County Airstrip -South Sudan,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Juba Airport (JUB/HJJJ),Jebel-Boma County Airstrip,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/471740,2025
472265,wikibase,2025-01-21,Tuesday 21 January 2025,12:14,Antonov An-26B,Air Kasai,9S-AYN,4001,1976,,0,5,0,Substantial,Accident,Kongolo Airport (KOO) -Congo (Democratic Republic),Landing,Cargo,Goma Airport (GOM/FZNA),Kongolo Airport (KOO/FZRQ),BPEA,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/472265,2025
