record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
149247,wikibase,2005-12-26,Monday 26 December 2005,16:35,McDonnell Douglas MD-83 (DC-9-83),Alaska Airlines,N979AS,53471/2139,,Pratt & Whitney JT8D-217A,0,142,0,Substantial,Accident,"Near Seattle, WA -United States of America",En route,Passenger - Scheduled,"Seattle/Tacoma International Airport, WA (SEA/KSEA)","Burbank, CA (BUR)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/149247,2005
161998,wikibase,2005-05-12,Thursday 12 May 2005,16:48,Boeing 757-204,Thomson Airways,G-BYAO,27235/598,1994,,0,242,0,Substantial,Accident,Manchester Airport (MAN/EGCC) -United Kingdom,Take off,Passenger - Scheduled,Manchester International Airport (MAN/EGCC),"Gran Canaria Airport (LPA/GCLP),",AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/161998,2005
190688,wikibase,2005-05-31,Tuesday 31 May 2005,19:38,Canadair CL-600-2B19 Regional Jet CRJ-200ER,"United Express, opb Air Wisconsin",N417AW,7610,2002,General Electric CF-34-3B1,0,27,0,"Minor, repaired",Accident,"Chicago-O'Hare International Airport, IL (ORD/KORD) -United States of America",Standing,Passenger - Scheduled,"Chicago-O'Hare International Airport, IL (ORD/KORD)","Allentown-Lehigh Valley International Airport, PA (ABE/KABE)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/190688,2005
20050101-0,record_php,2005-01-01,Saturday 1 January 2005,11:20,Cessna 551 Citation II/SP,Jet Services,N35403,551-0029,1980,Pratt & Whitney Canada JT15D-4,0,5,0,"Destroyed, written off",Accident,"Ainsworth Airport, NE (ANW) -United States of America",Landing,Private,"Reading Municipal Airport/Spaatz Field, PA (RDG/KRDG)","Ainsworth Airport, NE (ANW/KANW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20050101-0,2005
20050104-0,record_php,2005-01-04,Tuesday 4 January 2005,02:00,Boeing 737-2A9C,Tri-MG Intra Asia Airlines,PK-YGM,20206/249,1970,Pratt & Whitney JT8D-9A,0,2,0,"Destroyed, written off",Accident,Banda Aceh-Blang Bintang Airport (BTJ) -Indonesia,Landing,Cargo,,Banda Aceh-Blang Bintang Airport (BTJ/WITT),,,https://asn.flightsafety.org/database/record.php?id=20050104-0,2005
20050106-0,record_php,2005-01-06,Thursday 6 January 2005,14:20,Antonov An-32,Policía Nacional del Perú,PNP-234,2502,1991,Ivchenko AI-20,0,,0,"Substantial, repaired",Accident,Andahuaylas Airport (ANS) -Peru,Landing,Military,Lima-Jorge Chávez International Airport (LIM/SPIM),Andahuaylas Airport (ANS/SPHY),,,https://asn.flightsafety.org/database/record.php?id=20050106-0,2005
20050106-1,record_php,2005-01-06,Thursday 6 January 2005,22:30,Canadair CL-600-2B19 Regional Jet CRJ-200ER,Air Sahara,VT-SAL,7224,1998,General Electric CF34-3B1,0,4,0,"Substantial, repaired",Accident,Goa-Dabolim Airport (GOI) -India,Landing,Ferry/positioning,,Goa-Dabolim Airport (GOI/VAGO),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20050106-1,2005
20050108-0,record_php,2005-01-08,Saturday 8 January 2005,13:00,Antonov An-12,Services Air,9Q-CIH,4341803,1964,Ivchenko AI-20M,6,6,0,"Destroyed, written off",Accident,Bukalaza -Uganda,Approach,Cargo,Entebbe Airport (EBB/HUEN),Kinshasa (unknown airport),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20050108-0,2005
20050108-1,record_php,2005-01-08,Saturday 8 January 2005,15:48,McDonnell Douglas DC-9-83 (MD-83),Aero República,VP-BGI,49940/1788,1990,Pratt & Whitney JT8D-219,0,170,0,"Substantial, written off",Accident,Cali-Alfonso B. Aragon Airport (CLO) -Colombia,Landing,Passenger - Scheduled,Cartagena-Rafael Núñez Airport (CTG/SKCG),Cali-Alfonso Bonilla Aragón Airport (CLO/SKCL),Aerocivil,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20050108-1,2005
20050109-0,record_php,2005-01-09,Sunday 9 January 2005,20:30,Grumman American G-1159 Gulfstream II,"Icon Health and Fitness, lsf CFS Air",N74RQ,113,1972,Rolls-Royce Spey 511-8,0,9,0,"Destroyed, written off",Accident,"Logan-Cache Airport, UT (LGU) -United States of America",Landing,Executive,"Kansas City-Charles B. Wheeler Downtown Airport, MO (MKC/KMKC)","Logan-Cache Airport, UT (LGU/KLGU)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20050109-0,2005
20050113-0,record_php,2005-01-13,Thursday 13 January 2005,22:15,Embraer EMB-110P1 Bandeirante,AirNow,N49BA,110301,1980,Pratt & Whitney Canada PT6A-34,1,1,0,"Destroyed, written off",Accident,"Keene-Dillant-Hopkins Airport, NH (EEN) -United States of America",Landing,Cargo,"Bangor International Airport, ME (BGR/KBGR)","Manchester Municipal Airport, NH (MHT/KMHT)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20050113-0,2005
20050113-1,record_php,2005-01-13,Thursday 13 January 2005,16:10,Antonov An-2,Tura Air Enterprise,RA-62597,1G177-44,1978,Shvetsov ASh-62IR,9,9,0,"Destroyed, written off",Accident,near Tura -Russia,Approach,Passenger - Scheduled,Vanavara (UNIW),Tura (UNIT),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20050113-1,2005
20050118-0,record_php,2005-01-18,Tuesday 18 January 2005,15:12,Beechcraft B200 Super King Air,Network Aviation Australia,VH-SGT,BB-73,1975,Pratt & Whitney Canada PT6A-41,0,8,0,"Substantial, repaired",Accident,"Perth Airport, WA (PER) -Australia",Landing,Passenger - Non-Scheduled/charter/Air Taxi,"Perth Airport, WA (PER/YPPH)","Lake Johnston Airport, WA (YLJN)",,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20050118-0,2005
