record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20180104-0,record_php,2018-01-04,Thursday 4 January 2018,16:00,Gulfstream G150,Private Airlines Germany,OE-GKA,300,2011,,0,1,1,"Substantial, repaired",Accident,Kittilä Airport (KTT) -Finland,Standing,Ferry/positioning,Kittilä Airport (KTT/EFKT),Ekaterinburg-Koltsovo Airport (SVX/USSS),AIB Finland,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180104-0,2018
20180105-0,record_php,2018-01-05,Friday 5 January 2018,17:55,Boeing 737-8CT (WL),WestJet,C-FDMB,60127/5188,2014,CFMI CFM56-7B27E,0,174,0,"Substantial, repaired",Accident,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ) -Canada",Standing,Passenger - Scheduled,Cancún Airport (CUN/MMUN),"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180105-0,2018
20180105-1,record_php,2018-01-05,Friday 5 January 2018,17:55,Boeing 737-8FH (WL),Sunwing Airlines,C-FPRP,39959/5414,2015,CFMI CFM56-7B26,0,1,0,"Substantial, repaired",Accident,"Toronto-Pearson International Airport, ON (YYZ) -Canada",Pushback / towing,-,-,-,TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180105-1,2018
20180106-0,record_php,2018-01-06,Saturday 6 January 2018,,Antonov An-2TP,Unknown,YV1944,1G185-58,,,0,2,0,"Destroyed, written off",Accident,La Paragua Airport -Venezuela,Initial climb,Unknown,La Paragua Airport (SVPU),Canaima Airport (CAJ/SVCN),,,https://asn.flightsafety.org/database/record.php?id=20180106-0,2018
20180107-0,record_php,2018-01-07,Sunday 7 January 2018,16:45,Cessna 208B Grand Caravan,Unknown,5Y-FDC,208B1280,2007,Pratt & Whitney Canada PT6A-114A,0,11,1,"Destroyed, written off",Accident,Akobo -South Sudan,Take off,Passenger - Non-Scheduled/charter/Air Taxi,Akobo Airport (HSAK),Juba Airport (JUB/HSSJ),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20180107-0,2018
20180109-0,record_php,2018-01-09,Tuesday 9 January 2018,19:40,Embraer EMB-110P1 Bandeirante,Pineapple Air,C6-MIC,110407,1982,P&W Canada PT6A,0,17,0,"Substantial, repaired",Accident,Governor's Harbour Airport (GHB) -Bahamas,Landing,Passenger - Scheduled,Nassau-Lynden Pindling International Airport (NAS/MYNN),Governor's Harbour Airport (GHB/MYEM),AAID Bahamas,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180109-0,2018
20180110-0,record_php,2018-01-10,Wednesday 10 January 2018,18:45,Fairchild SA227-AT Merlin IVC,Ameriflight,N561UP,AT-561,1983,Garrett TPE331,0,1,0,"Substantial, repaired",Accident,"Rock Springs-Sweetwater County Airport, WY (RKS) -United States of America",Taxi,Cargo,"Salt Lake City International Airport, UT (SLC/KSLC)","Rock Springs-Sweetwater County Airport, WY (RKS/KRKS)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180110-0,2018
20180110-1,record_php,2018-01-10,Wednesday 10 January 2018,11:32,Gulfstream G200,Air Taxi PH,RP-C280,036,,,0,8,0,"Substantial, written off",Accident,Legazpi-Bicol International Airport (LGP) -Philippines,Landing,Unknown,Manila-Ninoy Aquino International Airport (MNL/RPLL),Legazpi Airport (LGP/RPLP),AAIIB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20180110-1,2018
20180113-0,record_php,2018-01-13,Saturday 13 January 2018,23:25,Boeing 737-82R (WL),Pegasus Airlines,TC-CPF,40879/4267,2012,CFMI CFM56-7B26E,0,168,0,"Substantial, written off",Accident,Trabzon Airport (TZX) -Türkiye,Landing,Passenger - Scheduled,Ankara-Esenboga Airport (ESB/LTAC),Trabzon Airport (TZX/LTCG),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20180113-0,2018
20180115-0,record_php,2018-01-15,Monday 15 January 2018,,Airbus A319-111,Afriqiyah Airways,5A-ONC,3615,2008,CFMI CFM56-5B5/3,0,0,0,"Substantial, written off",Unlawful Interference,Tripoli-Mitiga International Airport (MJI) -Libya,Standing,-,-,-,,,https://asn.flightsafety.org/database/record.php?id=20180115-0,2018
20180116-0,record_php,2018-01-16,Tuesday 16 January 2018,12:03,British Aerospace BAe-748-347 Srs. 2A,Bismillah Airlines,S2-AAX,1767,1979,,0,4,0,Substantial,Accident,Jessore Airport (JSR) -Bangladesh,Taxi,Cargo,Cox's Bazar Airport (CXB/VGCB),Jessore Airport (JSR/VGJR),AAIG-BD,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20180116-0,2018
