record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
138879,wikibase,2008-10-17,Friday 17 October 2008,14:36,Boeing 737-3Y0,Norwegian,LN-KKN,24910/2030,1991,CFMI CFM56,0,,0,Substantial,Accident,Moss Airport - Rygge -Norway,Standing,Passenger - Scheduled,Istanbul airport Atatürk (IST),Moss - Rygge,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/wikibase/138879,2008
140506,wikibase,2008-08-17,Sunday 17 August 2008,09:57,Cessna 208B Grand Caravan,Tropic Airlines,F-OIJO,208B0961,2002,,0,10,0,None,Accident,"Saint Barthélémy, French Antilles -Saint Barth�lemy",Take off,Passenger - Scheduled,Saint Barthélemy Airport,Saint  Martin-Juliana Airport,BEA,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/140506,2008
14662,wikibase,2008-02-03,Sunday 3 February 2008,06:59,de Havilland Canada DHC-8-202,Mesa Airlines,N444YV,444,,Pratt & Whitney Canada PW123D,0,22,0,None,Accident,"Denver International Airport, CO (DEN/KDEN) -United States of America",Approach,Passenger - Scheduled,"Casper, WY (CPR)","Denver International Airport, CO (DEN/KDEN)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/14662,2008
165418,wikibase,2008-11-13,Thursday 13 November 2008,05:45,Canadair CL-600-2B19 Regional Jet CRJ-200LR,Northwest Airlink,N8698A,7698,2002,GE CF34-3B1,0,20,0,Substantial,Accident,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW) -United States of America",Taxi,Passenger - Scheduled,"Grand Rapids, MI (GRR)","Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165418,2008
190826,wikibase,2008-02-13,Wednesday 13 February 2008,09:45,Canadair CL-600-2B19 Regional Jet CRJ-200ER,Go,N651BR,7426,,General Electric CF34-3B1,0,43,0,None,Accident,"near Hilo, Hawaii, HI -United States of America",En route,Passenger - Scheduled,"Honolulu-Daniel K. Inouye International Airport, HI (HNL/PHNL)","East Hampton Airport, NY (HTO/KHTO)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/190826,2008
20080102-0,record_php,2008-01-02,Wednesday 2 January 2008,07:35,NAMC YS-11A-500,Asian Spirit,RP-C3592,2108,1969,Rolls-Royce Dart 543-10J/K,0,47,0,"Substantial, written off",Accident,Masbate Airport (MBT) -Philippines,Landing,Passenger - Scheduled,Manila-Ninoy Aquino International Airport (MNL/RPLL),Masbate Airport (MBT/RPVJ),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20080102-0,2008
20080102-1,record_php,2008-01-02,Wednesday 2 January 2008,07:32,Fokker 100,Iran Air,EP-IDB,11299,1990,Rolls-Royce Tay 650-15,0,113,0,"Destroyed, written off",Accident,Tehran-Mehrabad Airport (THR) -Iran,Take off,Passenger - Scheduled,Tehran-Mehrabad Airport (THR/OIII),Shiraz Airport (SYZ/OISS),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080102-1,2008
20080103-0,record_php,2008-01-03,Thursday 3 January 2008,,Britten-Norman BN-2A-6R Islander,Servicio Aéreo Nacional - SAN,SAN-208,256,1971,,0,2,0,"Destroyed, written off",Accident,off Bahia Piña -Panama,En route,Ambulance,,,,,https://asn.flightsafety.org/database/record.php?id=20080103-0,2008
20080104-0,record_php,2008-01-04,Friday 4 January 2008,09:42,Let L-410UVP-E3,Transaven,YV2081,872015,1987,Walter M-601E,14,14,0,"Destroyed, written off",Accident,11 km S off Los Roques Airport (LRV) -Venezuela,En route,Passenger - Non-Scheduled/charter/Air Taxi,Caracas-Simón Bolívar International Airport (CCS/SVMI),Los Roques Airport (LRV/SVRS),JIAAC Venezuela,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080104-0,2008
20080109-0,record_php,2008-01-09,Wednesday 9 January 2008,07:49,Airbus A319-114,Northwest Airlines,N349NB,1815,2002,CFMI CFM56-5A5,0,73,0,"Substantial, repaired",Accident,"Detroit-Metropolitan Wayne County Airport, MI (DTW) -United States of America",Approach,Passenger - Scheduled,"New York-La Guardia Airport, NY (LGA/KLGA)","Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080109-0,2008
20080111-0,record_php,2008-01-11,Friday 11 January 2008,12:28,Antonov An-2SX,Letalska sola Solt,HA-MKK,1G178-53,1978,Shvetsov ASh-62IR,1,2,0,"Destroyed, written off",Accident,5 km N of Trbovlje -Slovenia,En route,Ferry/positioning,entvid pri Sticni Airfield,Maribor Airport (MBX/LJMB),AAIIS,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080111-0,2008
20080114-0,record_php,2008-01-14,Monday 14 January 2008,05:08,Beechcraft 1900C-1,Alpine Aviation,N410UB,UC-70,1989,Pratt & Whitney Canada PT6A-65B,1,1,0,"Destroyed, written off",Accident,"11 km S off Lihue, HI -United States of America",Approach,Cargo,"Honolulu International Airport, HI (HNL/PHNL)","Kauai Island/Lihue Airport, HI (LIH/PHLI)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080114-0,2008
20080117-0,record_php,2008-01-17,Thursday 17 January 2008,12:42,Boeing 777-236ER,British Airways,G-YMMM,30314/342,2001,Rolls-Royce Trent 895-17,0,152,0,"Substantial, written off",Accident,London-Heathrow Airport (LHR) -United Kingdom,Landing,Passenger - Scheduled,Beijing-Capital International Airport (PEK/ZBAA),London-Heathrow Airport (LHR/EGLL),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080117-0,2008
20080119-0,record_php,2008-01-19,Saturday 19 January 2008,08:32,Beechcraft B200 Super King Air,Gira Globo,D2-FFK,BB-1026,1981,,13,13,0,"Destroyed, written off",Accident,near Bailundo -Angola,Approach,Passenger,Luanda Airport (LAD/FNLU),Huambo Airport (NOV/FNHU),,,https://asn.flightsafety.org/database/record.php?id=20080119-0,2008
20080123-0,record_php,2008-01-23,Wednesday 23 January 2008,19:07,CASA C-295M,Polish Air Force,019,S-043,2007,Pratt & Whitney Canada PW127G,20,20,0,"Destroyed, written off",Accident,"1,3 km SE of Miroslawiec Air Base -Poland",Approach,Military,Poznán-Krzesiny Air Base (EPKS),Miroslawiec Air Base (EPMI),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20080123-0,2008
20080124-0,record_php,2008-01-24,Thursday 24 January 2008,14:55,Douglas DC-3C,VIARCO,HK-2006,43086,1946,Pratt & Whitney R-1830-92,0,13,0,"Substantial, repaired",Accident,Teresita Airport -Colombia,Landing,Passenger - Non-Scheduled/charter/Air Taxi,San Jose del Guaviare-Jorge E. González T. Airport (SJE/SKSJ),Teresita Airport,Aerocivil,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20080124-0,2008
