record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20230102-0,record_php,2023-01-02,Monday 2 January 2023,11:35,Embraer EMB-505 Phenom 300,Eagle Jet 300 LLC,N555NR,50500327,,Pratt & Whitney Canada PW545E,1,4,0,"Destroyed, written off",Accident,"Provo Airport, UT (PVU) -United States of America",Take off,Passenger - Non-Scheduled/charter/Air Taxi,"Provo Airport, UT (PVU/KPVU)","Chino Airport, CA (CNO/KCNO)",NTSB,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20230102-0,2023
20230109-0,record_php,2023-01-09,Monday 9 January 2023,14:30,Antonov An-2R,Naryan-Mar Air Enterprise,RA-71165,1G200-08,1983,Shvetsov ASh-62IR,2,12,0,"Destroyed, written off",Accident,10 km SW of Karatayka -Russia,En route,Passenger - Scheduled,Ust-Kara Airstrip,Karatayka Airport (ULDT),MAK,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230109-0,2023
20230111-0,record_php,2023-01-11,Wednesday 11 January 2023,,Antonov An-2R,Stavropol City Aviation Sports Club,RA-17789,1G203-50,1983,Shvetsov ASh-62IR,0,0,0,"Destroyed, written off",Other,"near Novomaryevskaya, Stavropol Region -Russia",Standing,-,-,-,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20230111-0,2023
20230115-0,record_php,2023-01-15,Sunday 15 January 2023,10:57,ATR 72-500 (72-212A),Yeti Airlines,9N-ANC,754,2007,P&W Canada PW127,72,72,0,"Destroyed, written off",Accident,2 km WNW of Pokhara International Airport (VNPR) -Nepal,Approach,Passenger - Scheduled,Kathmandu-Tribhuvan Airport (KTM/VNKT),Pokhara International Airport (VNPR),Nepal AAIC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230115-0,2023
20230116-0,record_php,2023-01-16,Monday 16 January 2023,05:05,Cessna 208B Super Cargomaster,Kamaka Air,N236KA,208B2034,2008,Pratt & Whitney Canada PT6A-114A,0,2,0,Substantial,Accident,"3,6 km WSW of Molokai/Kaunakakai Airport, HI (MKK) -United States of America",Approach,Cargo,"Honolulu-Daniel K. Inouye International Airport, HI (HNL/PHNL)","Molokai/Kaunakakai Airport, HI (MKK/PHMK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230116-0,2023
20230118-1,record_php,2023-01-18,Wednesday 18 January 2023,09:18,Beechcraft B200 King Air,Lynch Flying Service Inc,N200EJ,BB-1884,2004,Pratt & Whitney Canada PT6A-42,0,,0,Substantial,Accident,"Poplar Municipal Airport, MT (PO1) -United States of America",Approach,Executive,"Billings-Logan International Airport, MT (BIL/KBIL)",,NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230118-1,2023
20230127-0,record_php,2023-01-27,Friday 27 January 2023,07:30,Let L-410UVP-E20,Fly Air Africa Aviation,EY-473,982631,1998,Walter M-601E,0,5,0,"Destroyed, written off",Accident,NW of Juba Airport (JUB) -South Sudan,Initial climb,Cargo,Juba Airport (JUB/HJJJ),Lankien Airstrip,,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20230127-0,2023
20230127-1,record_php,2023-01-27,Friday 27 January 2023,,Ilyushin Il-18D,,TL-KBR,186009403,1966,,,,0,"Destroyed, written off",Other,Al-Khadim Air Base -Libya,Standing,Military,,,,,https://asn.flightsafety.org/database/record.php?id=20230127-1,2023
20230127-2,record_php,2023-01-27,Friday 27 January 2023,17:10,Cessna 560 Citation Encore,Chartright Air,C-FYMM,560-0705,2006,P&W Canada PW535A,0,5,0,"Substantial, written off",Accident,"40 nm S of Toronto, ON -Canada",En route,Passenger - Non-Scheduled/charter/Air Taxi,"Toronto-Pearson International Airport, ON (YYZ/CYYZ)","Fort Lauderdale-Executive Airport, FL (FXE/KFXE)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230127-2,2023
20230202-0,record_php,2023-02-02,Thursday 2 February 2023,,Cessna 208B Grand Caravan,Unknown,5Y-BMZ,208B0367,1994,Pratt & Whitney Canada PT6A-114A,1,,0,"Destroyed, written off",Accident,Nasir Airport -South Sudan,Take off,Passenger - Non-Scheduled/charter/Air Taxi,Nasir Airport (HSNA),,,Little or no information is available,https://asn.flightsafety.org/database/record.php?id=20230202-0,2023
20230206-0,record_php,2023-02-06,Monday 6 February 2023,16:14,Boeing 737-3H4 (WL),Coulson Aviation,N619SW,28035/2762,1995,CFMI CFM56-3B1,0,2,0,"Destroyed, written off",Accident,"Fitzgerald River National Park, WA -Australia","Manoeuvring  (airshow, firefighting, ag.ops.)",Fire fighting,"Bussellton Airport, WA (BQB/YBLN)","Bussellton Airport, WA (BQB/YBLN)",ATSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230206-0,2023
20230208-0,record_php,2023-02-08,Wednesday 8 February 2023,10:00,Cirrus SF50 Vision Jet G2,"Mag Aviation, LLC",N426SJ,0148,2019,Williams International FJ33-5A,0,2,0,Substantial,Accident,"Waukesha Airport, WI (UES) -United States of America",Landing,Private,"Waukesha Airport, WI (UES/KUES)","Waukesha Airport, WI (UES/KUES)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230208-0,2023
20230210-0,record_php,2023-02-10,Friday 10 February 2023,13:45,Cessna 208B Supervan 900,Helifix - PNG,P2-HFA,208B0954,2002,Honeywell TPE331,0,4,0,Substantial,Accident,Eliptamin Airport (EPT) -Papua New Guinea,Landing,Passenger - Non-Scheduled/charter/Air Taxi,Kiunga Airport (UNG/AYKI),Eliptamin Airport (EPT/AYEL),AIC PNG,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230210-0,2023
20230210-1,record_php,2023-02-10,Friday 10 February 2023,c. 13,Cessna 208B Super Cargomaster,SkyDive Mexico,N9634B,208B0141,1987,,0,2,0,Substantial,Accident,San José Vista Hermosa -Mexico,Unknown,Parachuting,Tequesquitengo Airport (MMTQ),Tequesquitengo Airport (MMTQ),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20230210-1,2023
20230211-0,record_php,2023-02-11,Saturday 11 February 2023,13:50 LT,Learjet 55,1982-047 LLC,N600C,55-047,1982,Honeywell TFE-731,0,6,0,Substantial,Accident,"Rochester-Greater Rochester International Airport, NY (ROC/KROC) -United States of America",Landing,Private,"Palm Beach Airport, FL (PBI/KPBI)","Rochester-Greater Rochester International Airport, NY (ROC)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230211-0,2023
20230213-0,record_php,2023-02-13,Monday 13 February 2023,11:15,Britten-Norman BN-2B-20 Islander,Windward Express Airways,PJ-WEB,2208,1989,,0,3,0,Substantial,Accident,Saba-Juancho E. Yrausquin Airport (SAB) -Caribbean Netherlands,Landing,Passenger,Sint Maarten-Juliana Airport (SXM/TNCM),Saba-Juancho E. Yrausquin Airport (SAB/TNCS),Dutch Safety Board,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20230213-0,2023
20230216-0,record_php,2023-02-16,Thursday 16 February 2023,c. 01,Cessna 208 Cargomaster,Aeromás,CX-MAX,20800042,1985,P&W Canada PT6A,0,2,0,"Destroyed, written off",Accident,"near Berisso, BA -Argentina",En route,Cargo,Montevideo-Carrasco Airport (MVD/SUMU),"Buenos Aires/Ezeiza-Ministro Pistarini Airport, BA (EZE/SAEZ)",JST,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20230216-0,2023
