record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20190107-0,record_php,2019-01-07,Monday 7 January 2019,05:50,Saab 340B,RAF-AVIA,YL-RAF,340B-228,1991,General Electric CT7-9B,0,3,0,"Substantial, written off",Accident,Savonlinna Airport (SVL) -Finland,Landing,Ferry/positioning,Riga International Airport (RIX/EVRA),Savonlinna Airport (SVL/EFSA),SIAF,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20190107-0,2019
20190112-0,record_php,2019-01-12,Saturday 12 January 2019,11:30,Canadair CL-600-2A12 Challenger 601,TW 601-C Investment LLC,N813WT,3016,1983,General Electric CF34-1A,0,9,0,"Substantial, written off",Accident,"Uvalde-Ox Ranch Airport, TX -United States of America",Landing,Executive,"Fort Worth-Meacham Field, TX (FTW/KFTW)","Uvalde-Ox Ranch Airport ,TX",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20190112-0,2019
20190112-1,record_php,2019-01-12,Saturday 12 January 2019,,Boeing 737-524 (WL),UTair Aviation,VQ-BJP,28905/2934,1997,CFMI CFM56-3B1,0,,0,"Substantial, written off",Other,Moskva-Vnukovo Airport (VKO) -Russia,Pushback / towing,-,-,-,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20190112-1,2019
20190114-0,record_php,2019-01-14,Monday 14 January 2019,08:30,Boeing 707-3J9C,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",EP-CPP,21128/917,1976,Pratt & Whitney JT3D-3B,15,16,0,"Destroyed, written off",Accident,Fat'h Airport -Iran,Landing,Military,Bishkek-Manas International Airport (FRU/UCFM),Payam International Airport (PYK/OIIP),,,https://asn.flightsafety.org/database/record.php?id=20190114-0,2019
20190116-0,record_php,2019-01-16,Wednesday 16 January 2019,13:00,Cessna 208B Grand Caravan,Air Services Limited - ASL,8R-YAC,208B0647,1997,Pratt & Whitney Canada PT6A-114A,0,,0,"Substantial, repaired",Accident,Georgetown-Ogle International Airport (OGL) -Guyana,Standing,Passenger - Scheduled,Georgetown-Ogle International Airport (OGL/SYGO),Imbaimadai Airport (IMB/SYIB),,,https://asn.flightsafety.org/database/record.php?id=20190116-0,2019
20190121-0,record_php,2019-01-21,Monday 21 January 2019,09:12,Aero Modifications AMI DC-3-65TP,Priority Air Charter,N467KS,20175,1944,Pratt & Whitney Canada PT6A-65AR,2,2,0,"Substantial, written off",Accident,"SE of Kidron-Stoltzfus Airfield, OH -United States of America",Initial climb,Ferry/positioning,"Kidron-Stoltzfus Airfield, OH","Akron/Canton Regional Airport, OH (CAK/KCAK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20190121-0,2019
20190122-0,record_php,2019-01-22,Tuesday 22 January 2019,,Boeing 737-8LJ (WL),Aeroflot Russian International Airlines,VP-BRR,41197/4710,2013,CFMI CFM56-7B26E,0,76,0,None,Unlawful Interference,Khanty-Mansiysk International Airport (HMA) -Russia,En route,Passenger - Scheduled,Surgut Airport (SGC/USRR),Moskva-Sheremetyevo Airport (SVO/UUEE),,,https://asn.flightsafety.org/database/record.php?id=20190122-0,2019
20190123-0,record_php,2019-01-23,Wednesday 23 January 2019,21:34,de Havilland Canada DHC-8-102 Dash 8,Air Creebec,C-GTCO,119,1988,Pratt & Whitney Canada PW120A,0,9,0,"Substantial, repaired",Accident,"Rouyn Airport, QC (YUY) -Canada",Take off,Passenger - Scheduled,"Rouyn Airport, QC (YUY/CYUY)","Montreal-Pierre Elliott Trudeau International Airport, QC (YUL/CYUL)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20190123-0,2019
20190126-0,record_php,2019-01-26,Saturday 26 January 2019,11:00,Airbus A321-231,Onur Air,TC-OEB,968,1999,IAE V2533-A5,0,0,0,"Substantial, written off",Other,Antalya Airport (AYT/LTAI) -Türkiye,Standing,-,-,Antalya Airport (AYT/LTAI),,,https://asn.flightsafety.org/database/record.php?id=20190126-0,2019
20190128-0,record_php,2019-01-28,Monday 28 January 2019,17:25,ATR 72-500 (72-212A),"Air Europa, opb Swiftair",EC-LYJ,468,1996,Pratt & Whitney Canada PW127F,0,65,0,"Substantial, repaired",Accident,Palma de Mallorca Airport (PMI) -Spain,Landing,Passenger - Scheduled,Valencia Airport (VLC/LEVC),Palma de Mallorca Airport (PMI/LEPA),CIAIAC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20190128-0,2019
