record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
176764,wikibase,2015-06-08,Monday 8 June 2015,17:00,McDonnell Douglas MD-83,Allegiant Air,N869GA,53294/1917,,Pratt & Whitney JT8D-219,0,145,0,None,Accident,"St. Petersburg-Clearwater Airport, FL (PIE) -United States of America",Landing,Passenger - Scheduled,"St Petersburg, FL (PIE)","Hagerstown, MD (HGR)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/176764,2015
182381,wikibase,2015-12-16,Wednesday 16 December 2015,20:38 LT,Airbus A319-112,Air India,VT-SCQ,3918,2009,CFMI CFM56-5B6/P,0,115,1,Minor,Accident,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB) -India,Taxi,Passenger - Scheduled,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB),Hyderabad-Rajiv Gandhi International Airport (HYD/VOHS),AAIB India,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/182381,2015
182991,wikibase,2015-12-30,Wednesday 30 December 2015,19:24 UTC,Boeing 777-333ER,Air Canada,C-FRAM,35250/726,2008,General Electric GE90-115B,0,351,0,Unknown,Accident,"85 NM ENE of Anchorage, Alaska -Pacific Ocean",En route,Passenger - Scheduled,Shanghai-Pudong International Airport (PVG/ZSPD),"Toronto-Pearson International Airport, ON (YYZ/CYYZ)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/182991,2015
198779,wikibase,2015-02-24,Tuesday 24 February 2015,06:16,McDonnell Douglas MD-11F,FedEx,N584FE,48436/483,1992,GE CF6-80 SERIES,0,4,0,None,Accident,"St. Louis, MO -United States of America",En route,Cargo,"Memphis, TN (MEM)","Minneapolis, MN (MSP)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/198779,2015
199437,wikibase,2015-11-02,Monday 2 November 2015,19:25,Cessna 208B Grand Caravan,Air Choice One,N732MD,208B1083,2004,P&W PT6A SER,0,9,0,Substantial,Accident,"Chicago, IL -United States of America",Taxi,Unknown,"Ironwood, MI (IWD)","Chicago, IL (ORD)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/199437,2015
20150102-0,record_php,2015-01-02,Friday 2 January 2015,08:33,Saab 340B,"Flybe, lsf Loganair",G-LGNL,340B-246,1991,General Electric CT7-9B,0,29,0,"Substantial, written off",Accident,Stornoway Airport (SYY) -United Kingdom,Take off,Passenger - Scheduled,Stornoway Airport (SYY/EGPO),Glasgow International Airport (GLA/EGPF),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20150102-0,2015
20150103-0,record_php,2015-01-03,Saturday 3 January 2015,11:19,Antonov An-26B-100,KAPO Avia,RA-26082,11705,1981,Ivchenko AI-24VT,0,10,0,"Substantial, written off",Accident,Magadan-Sokol Airport (GDX) -Russia,Take off,Ferry/positioning,Magadan-Sokol Airport (GDX/UHMM),Mirny Airport (MJZ/UERR),MAK,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20150103-0,2015
20150104-0,record_php,2015-01-04,Sunday 4 January 2015,11:02,Fokker 50,Skyward Express,5Y-SIB,20167,1989,Pratt & Whitney Canada PW125B,0,10,0,Substantial,Accident,Nairobi-Jomo Kenyatta International Airport (NBO) -Kenya,Landing,Cargo,Wajir Airport (WJR/HKWJ),Nairobi-Wilson Airport (WIL/HKNW),AAID Kenya,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20150104-0,2015
20150108-0,record_php,2015-01-08,Thursday 8 January 2015,19:00,Bombardier BD-100-1A10 Challenger 300,Bradesco Leasing S.A. Arrendamento Mercantil,PR-YOU,20443,2014,,0,0,0,"Substantial, written off",Other,"São Paulo-Congonhas Airport, SP (CGH/SBSP) -Brazil",Standing,-,-,-,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20150108-0,2015
20150109-0,record_php,2015-01-09,Friday 9 January 2015,08:28,Cessna 208B Grand Caravan,Trans Guyana Airways,8R-GAB,208B1070,2004,Pratt & Whitney Canada PT6A-114A,0,15,0,"Substantial, repaired",Accident,Matthews Ridge Airport (MWJ) -Guyana,Landing,Passenger - Scheduled,Georgetown-Ogle International Airport (OGL/SYGO),Matthews Ridge Airport (MWJ/SYMR),GCAA-AIT,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20150109-0,2015
