record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20210102-0,record_php,2021-01-02,Saturday 2 January 2021,11:51 UTC,Learjet 31A,Brasil Vida Táxi Aéreo,PP-BBV,31-113,1995,Garrett TFE731,0,4,0,"Substantial, written off",Accident,"Diamantina Airport, MG (DTI) -Brazil",Landing,Ambulance,"São Paulo-Congonhas Airport, SP (CGH/SBSP)","Diamantina-Juscelino Kubitschek Airport, MG (DTI/SNDT)",,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210102-0,2021
20210102-1,record_php,2021-01-02,Saturday 2 January 2021,15:00,Beechcraft 200 Super King Air,"Vagus Group, Inc.",N831WP,BB-569,1979,Pratt & Whitney Canada PT6A-41,0,1,0,Unknown,Accident,"White Plains-Westchester County Airport, NY (HPN) -United States of America",Take off,Private,"White Plains-Westchester County Airport, NY (HPN/KHPN)","New Bedford Airport, MA (EWB/KEWB)",,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20210102-1,2021
20210109-0,record_php,2021-01-09,Saturday 9 January 2021,14:40,Boeing 737-524 (WL),Sriwijaya Air,PK-CLC,27323/2616,1994,CFMI CFM56-3B1,62,62,0,"Destroyed, written off",Accident,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK) -Indonesia,En route,Passenger - Scheduled,Jakarta-Soekarno-Hatta International Airport (CGK/WIII),Pontianak-Supadio Airport (PNK/WIOO),NTSC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210109-0,2021
20210109-1,record_php,2021-01-09,Saturday 9 January 2021,13:36,Cessna 560 Citation V,SX Transport LLC,N3RB,560-0035,1989,Pratt & Whitney Canada JT15D-5A,1,1,0,"Destroyed, written off",Accident,"23 km SE of Pine Grove, OR -United States of America",En route,Unknown,"Troutdale Airport, OR (TTD/KTTD)","Boise Air Terminal, ID (BOI/KBOI)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210109-1,2021
20210112-0,record_php,2021-01-12,Tuesday 12 January 2021,11:00,Harbin Y-12-II,Kenya Air Force - KAF,,,,,4,4,0,"Destroyed, written off",Accident,ca 10 km N of Voi -Kenya,Unknown,Military,Nairobi-Moi Air Base (HKRE),Mombasa-Moi International Airport (MBA/HKMO),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20210112-0,2021
20210119-0,record_php,2021-01-19,Tuesday 19 January 2021,02:37,Boeing 737-4Q8 (SF),West Atlantic UK,G-JMCY,25114/2666,1994,CFMI CFM56-3C1,0,2,0,"Substantial, written off",Accident,Exeter Airport (EXT/EGTE) -United Kingdom,Landing,Cargo,East Midlands Airport (EMA/EGNX),Exeter Airport (EXT/EGTE),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210119-0,2021
20210119-1,record_php,2021-01-19,Tuesday 19 January 2021,14:28,Avro RJ85,Jota Aviation,G-JOTR,E2294,1996,Lycoming LF507-1F,0,5,0,"Substantial, repaired",Accident,London-Biggin Hill Airport (BQH) -United Kingdom,Pushback / towing,Ferry/positioning,London-Biggin Hill Airport (BQH/EGKB),London Southend Airport (SEN/EGMC),AAIB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210119-1,2021
20210123-0,record_php,2021-01-23,Saturday 23 January 2021,18:35,North American Rockwell Sabreliner 60,Aviacion Ejecutiva del Bajio,XB-JMR,306-35,1969,Pratt & Whitney JT12A-8 Turbo Wasp,0,2,0,"Substantial, written off",Accident,"Rocky Point, Clarendon -Jamaica",Landing,Illegal Flight,Guadalajara-Don Miguel Hidalgo y Costilla International Airport (GDL/MMGL),Querétaro Intercontinental Airport (QRO/MMQT),JCAA,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20210123-0,2021
20210123-1,record_php,2021-01-23,Saturday 23 January 2021,,Canadair CL-600 Challenger 600,Global Avionics LLC,N275JP,1036,1981,Lycoming ALF502L-2,0,2,0,Unknown,Accident,Los Mochis-Federal Airport (LMM) -Mexico,Take off,Unknown,Los Mochis-Federal Airport (LMM/MMLM),,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20210123-1,2021
20210124-0,record_php,2021-01-24,Sunday 24 January 2021,00:20,Raytheon Beechjet 400A,Martinair Inc.,N476BJ,RK-176,1998,Pratt & Whitney Canada JT15D,0,,0,"Substantial, written off",Accident,"Binghamton Airport, NY (BGM) -United States of America",Taxi,Unknown,"Binghamton Airport, NY (BGM/KBGM)",,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20210124-0,2021
