record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
174057,wikibase,2004-03-15,Monday 15 March 2004,17:15,Beechcraft 1900D,US Airways Express,N155ZV,UE-155,1995,Pratt & Whitney Canada PT6A-67D,0,5,0,Substantial,Accident,"Manhattan, KS -United States of America",Landing,Private,"Salina, KS (SLN)","Manhattan, KS (MHK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/174057,2004
174761,wikibase,2004-07-16,Friday 16 July 2004,,Boeing 767-3G5ER,Blue Panorama Airlines,EI-CXO,28111/612,1996,,0,287,0,Substantial,Accident,Roma-Fiumicino Airport (FCO/LIRF) -Italy,Take off,Passenger - Scheduled,Roma-Fiumicino Airport (FCO/LIRF),Havana,ANSV,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/174761,2004
190828,wikibase,2004-07-12,Monday 12 July 2004,00:01,Beechcraft 400A Beechjet,Flight Options,N455CW,RK-365,2003,Pratt & Whitney Canada JT15D-5,0,9,0,None,Accident,"100 miles west of Sarasota, FL -Atlantic Ocean",En route,Passenger - Non-Scheduled/charter/Air Taxi,"Duncan, OK (KDUC)","Fort Myers, FL (KRSW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/190828,2004
20040101-0,record_php,2004-01-01,Thursday 1 January 2004,16:24,McDonnell Douglas DC-9-81 (MD-81),Japan Air System,JA8297,49908/1749,1990,Pratt & Whitney JT8D-217C,0,169,0,"Substantial, repaired",Accident,Tokunoshima Airport (TKN) -Japan,Landing,Passenger - Scheduled,Kagoshima Airport (KOJ/RJFK),Tokunoshima Airport (TKN/RJKN),ARAIC,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040101-0,2004
20040101-1,record_php,2004-01-01,Thursday 1 January 2004,,Beechcraft A100 King Air,Thunder Airlines,C-GFKS,B-247,1979,Pratt & Whitney Canada PT6A-28,0,2,0,"Substantial, written off",Accident,"Terrace Bay Airport, ON (YTJ) -Canada",Take off,Ambulance,"Terrace Bay Airport, ON (YTJ)","Thunder Bay Airport, ON (YQT/CYQT)",,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20040101-1,2004
20040103-0,record_php,2004-01-03,Saturday 3 January 2004,04:45,Boeing 737-3Q8,Flash Airlines,SU-ZCF,26283/2383,1992,CFMI CFM56-3C1,148,148,0,"Destroyed, written off",Accident,15 km S off Sharm el Sheikh -Egypt,En route,Passenger - Non-Scheduled/charter/Air Taxi,Sharm el Sheikh International Airport (SSH/HESH),Cairo International Airport (CAI/HECA),ECAA,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040103-0,2004
20040105-0,record_php,2004-01-05,Monday 5 January 2004,08:17,Fokker 70,Austrian Airlines,OE-LFO,11559,1995,Rolls-Royce Tay 620-15,0,32,0,"Substantial, repaired",Accident,"4,5 km from München-Franz Josef Strauss Airport (MUC) -Germany",Approach,Passenger - Scheduled,Wien-Schwechat International Airport (VIE/LOWW),München-Franz Josef Strauss Airport (MUC/EDDM),BFU,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040105-0,2004
20040105-1,record_php,2004-01-05,Monday 5 January 2004,,de Havilland Canada DHC-6 Twin Otter 300,Regional Air,P2-KSG,509,1976,Pratt & Whitney Canada PT6A-27,0,3,0,"Substantial, repaired",Accident,Sturt Island -Papua New Guinea,Take off,Unknown,Sturt Island Airstrip,,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20040105-1,2004
20040108-0,record_php,2004-01-08,Thursday 8 January 2004,06:20,Lockheed C-5B Galaxy,United States Air Force - USAF,85-0010,500-96,1987,General Electric TF39-GE-1C,0,63,0,"Substantial, repaired",,near Baghdad International Airport (SDA) -Iraq,En route,Military,Baghdad International Airport (BGW/ORBI),,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20040108-0,2004
20040113-0,record_php,2004-01-13,Tuesday 13 January 2004,19:27,Yakovlev Yak-40,Uzbekistan Airways,UK-87985,9540844,1975,Ivchenko AI-25,37,37,0,"Destroyed, written off",Accident,Tashkent Airport (TAS) -Uzbekistan,Landing,Passenger - Scheduled,Termez Airport (TMJ/UTST),Tashkent Airport (TAS/UTTT),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20040113-0,2004
20040115-0,record_php,2004-01-15,Thursday 15 January 2004,09:33,Boeing 747SP-86,Iran Air,EP-IAC,21093/307,1977,Pratt & Whitney JT9D-7F,0,180,0,"Substantial, repaired",Accident,Beijing-Capital Airport (PEK) -China,Landing,Passenger - Scheduled,Beijing-Capital International Airport (PEK/ZBAA),Tokyo-Narita Airport (NRT/RJAA),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20040115-0,2004
20040117-0,record_php,2004-01-17,Saturday 17 January 2004,16:38,Cessna 208B Grand Caravan,Georgian Express,C-FAGA,208B0658,1998,Pratt & Whitney Canada PT6A-114A,10,10,0,"Destroyed, written off",Accident,"3 km NW off Pelee Island, ON -Canada",En route,Passenger - Scheduled,"Pelee Island, ON (CYPT)","Windsor Airport, ON (YQG/CYQG)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040117-0,2004
20040119-0,record_php,2004-01-19,Monday 19 January 2004,,de Havilland Canada DHC-6 Twin Otter 300,Air Regional,PK-WAX,255,1969,Pratt & Whitney Canada PT6A-27,0,,0,"Substantial, written off",Accident,Mulia Airport (LII) -Indonesia,Landing,Unknown,Wamena Airport (WMX/WAJW),Mulia Airport (LII/WABQ),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20040119-0,2004
20040120-0,record_php,2004-01-20,Tuesday 20 January 2004,21:07,Swearingen SA227-AC Metro III,ItAli Airlines,I-BSTI,AC-470,1981,Garrett TPE331,0,8,0,"Substantial, repaired",Accident,Roma-Fiumicino Airport (FCO) -Italy,Taxi,Passenger - Scheduled,Roma-Fiumicino Airport (FCO/LIRF),Pescara-Liberi Airport (PSR/LIBP),ANSV,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040120-0,2004
20040121-0,record_php,2004-01-21,Wednesday 21 January 2004,00:40,Dassault Falcon 20C,Jet Express,N200JE,133,1968,General Electric CF700-2D2,0,5,0,"Substantial, written off",Accident,"Pueblo Memorial Airport, CO (PUB) -United States of America",Landing,Executive,"Saint Louis (unknown airport), MO","Pueblo Memorial Airport, CO (PUB/KPUB)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040121-0,2004
20040125-0,record_php,2004-01-25,Sunday 25 January 2004,03:01,Boeing 747-444,South African Airways - SAA,ZS-SAX,26637/943,1992,Rolls-Royce RB211-524H2,0,,0,"Substantial, repaired",Accident,Dakar-Léopold Sédar Senghor International Airport (DKR) -Senegal,Standing,Passenger - Scheduled,Dakar-Léopold Sédar Senghor International Airport (DKR/GOOY),"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040125-0,2004
20040125-1,record_php,2004-01-25,Sunday 25 January 2004,03:01,Boeing 767-33AER,Alitalia,I-DEIB,27376/560,1994,General Electric CF6-80C2B6,0,,0,"Substantial, repaired",Accident,Dakar-Léopold Sédar Senghor International Airport (DKR) -Senegal,Standing,Passenger - Scheduled,Dakar-Léopold Sédar Senghor International Airport (DKR/GOOY),Milano-Malpensa Airport (MXP/LIMC),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040125-1,2004
20040127-0,record_php,2004-01-27,Tuesday 27 January 2004,14:40,Ilyushin Il-18D,Renan,ER-ICJ,186009102,1966,Ivchenko AI-20M,0,18,0,"Destroyed, written off",Accident,Luena Airport (LUO) -Angola,Take off,Passenger - Non-Scheduled/charter/Air Taxi,Luena Airport (LUO/FNUE),Luanda-4 de Fevereiro Airport (LAD/FNLU),,,https://asn.flightsafety.org/database/record.php?id=20040127-0,2004
20040128-0,record_php,2004-01-28,Wednesday 28 January 2004,21:01,Beechcraft 1900D,Tassili Airlines,7T-VIN,UE-365,1999,Pratt & Whitney Canada PT6A-67D,1,5,0,"Destroyed, written off",Accident,5 km S of Ghardaïa-Noumérat Airport (GHA) -Algeria,Approach,Passenger - Non-Scheduled/charter/Air Taxi,Hassi R'Mel-Tilrempt Airport (HRM/DAFH),Ghardaïa-Noumérat Airport (GHA/DAUG),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040128-0,2004
20040130-0,record_php,2004-01-30,Friday 30 January 2004,12:35,Learjet 35A,Tri-Coastal Air,N39WA,35-092,1977,Garrett TFE-731-2-2B,0,2,0,"Substantial, repaired",Accident,"Akron/Canton Regional Airport, OH (CAK/KCAK) -United States of America",Taxi,Ferry/positioning,"Toledo-Express Airport, OH (TOL/KTOL)","Akron/Canton Regional Airport, OH (CAK/KCAK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040130-0,2004
20040131-0,record_php,2004-01-31,Saturday 31 January 2004,18:00,Swearingen SA226-TC Metro II,Medit Air Vuelos Mediterraneo,EC-HCU,TC-390,1981,Garrett TPE331-10UA-511G,0,2,0,"Substantial, written off",Accident,Reus Airport (REU) -Spain,Take off,Ferry/positioning,Reus Airport (REU/LERS),Barcelona-El Prat Airport (BCN/LEBL),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040131-0,2004
20040204-0,record_php,2004-02-04,Wednesday 4 February 2004,20:00,Boeing 737-229C,Cameroon Airlines,TJ-AIO,21139/437,1975,Pratt & Whitney JT8D-15A (HK),0,,0,"Substantial, repaired",Accident,Cotonou Airport (COO) -Benin,Take off,Passenger,Cotonou Airport (COO/DBBB),,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20040204-0,2004
20040204-1,record_php,2004-02-04,Wednesday 4 February 2004,22:33,Ilyushin Il-18D,"ExpoAir, lsf Phoenix Aviation",EX-005,188011105,1969,Ivchenko AI-20M,0,7,0,"Substantial, written off",Accident,Colombo-Bandaranaike International Airport (CMB/VCBI) -Sri Lanka,Landing,Cargo,Dubai Airport (DXB/OMDB),Colombo-Bandaranaike International Airport (CMB/VCBI),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20040204-1,2004
20040208-0,record_php,2004-02-08,Sunday 8 February 2004,16:10,Cessna 208 Caravan I,Cape York Airlines,VH-CYC,20800108,1986,Pratt & Whitney Canada PT6A-114,0,2,0,"Destroyed, written off",Accident,"off Green Island, QLD -Australia","Manoeuvring  (airshow, firefighting, ag.ops.)",Training,"Cairns Airport, QLD (CNS/YBCS)","Cairns Airport, QLD (CNS/YBCS)",ATSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040208-0,2004
20040210-0,record_php,2004-02-10,Tuesday 10 February 2004,11:38,Fokker 50,Kish Air,EP-LCA,20273,1993,P&W Canada PW125B,43,46,0,"Destroyed, written off",Accident,3 km NW of Sharjah Airport (SHJ) -United Arab Emirates,Approach,Passenger - Scheduled,Kish Island Airport (KIH/OIBK),Sharjah Airport (SHJ/OMSJ),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20040210-0,2004
