record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
20200102-0,record_php,2020-01-02,Thursday 2 January 2020,,Antonov An-12A,Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force),-,2340606,1962,Ivchenko AI-20,18,18,0,"Destroyed, written off",Accident,5 km from Geneina Airport (EGN) -Sudan,Unknown,Military,Geneina Airport (EGN/HSCN),Khartoum-Civil Airport (KRT/HSSS),,,https://asn.flightsafety.org/database/record.php?id=20200102-0,2020
20200103-0,record_php,2020-01-03,Friday 3 January 2020,09:15,Harbin Y-12-II,Sri Lanka Air Force,SCL-857,0021,1990,,4,4,0,"Destroyed, written off",Accident,"Haputale, Badulla -Sri Lanka",En route,Military,Weerawila Airport (WRZ/VCCW),Colombo-Ratmalana Airport (RML/VCCC),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20200103-0,2020
20200103-1,record_php,2020-01-03,Friday 3 January 2020,10:40,Hawker 900XP,Million Air San Juan,N805D,HA-0113,2009,Honeywell TFE731-50R,0,5,0,"Substantial, written off",Accident,San Juan-Fernando Luis Ribas Dominicci Airport (SIG) -Puerto Rico,Landing,Unknown,La Romana-Casa de Campo International Airport (LRM/MDLR),San Juan-Fernando Luis Ribas Dominicci Airport (SIG/TJIG),NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200103-1,2020
20200104-0,record_php,2020-01-04,Saturday 4 January 2020,12:15,Beechcraft B200 King Air,"L.C. Whitford Co., Inc.",N200HF,BB-1858,2004,Pratt & Whitney Canada PT6A-42,0,9,0,"Substantial, repaired",Accident,"Morristown Municipal Airport, NJ (MMU) -United States of America",Landing,Executive,"Olean-Cattaraugus County Airport, NY (OLE/KOLE)","Morristown Municipal Airport, NJ (MMU/KMMU)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200104-0,2020
20200105-0,record_php,2020-01-05,Sunday 5 January 2020,,Beechcraft B300 King Air 350,L3 Technologies,,,,,2,3,0,"Destroyed, written off",,Manda Bay-Camp Simba Air Base -Kenya,Taxi,Military,,,,,https://asn.flightsafety.org/database/record.php?id=20200105-0,2020
20200105-1,record_php,2020-01-05,Sunday 5 January 2020,,de Havilland Canada DHC-8-202Q,US Special Operations Command (USSOCOM),N8200L,455,1997,Pratt & Whitney Canada PW123D,0,0,0,"Destroyed, written off",,Manda Bay-Camp Simba Air Base -Kenya,Standing,Military,-,-,,,https://asn.flightsafety.org/database/record.php?id=20200105-1,2020
20200108-0,record_php,2020-01-08,Wednesday 8 January 2020,06:18,Boeing 737-8KV (WL),Ukraine International Airlines,UR-PSR,38124/5977,2016,CFMI CFM56-7B24E,176,176,0,"Destroyed, written off",Unlawful Interference,near Sabashahr -Iran,En route,Passenger - Scheduled,Tehran-Imam Khomeini International Airport (IKA/OIIE),Kyiv-Borispol Airport (KBP/UKBB),AAIB Iran,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200108-0,2020
20200108-1,record_php,2020-01-08,Wednesday 8 January 2020,06:30,Boeing 737-823 (WL),American Airlines,N929NN,33322/4489,2013,CFMI CFM56-7B24E,0,121,0,"Substantial, repaired",Accident,"New York-La Guardia Airport, NY (LGA) -United States of America",Standing,Passenger - Scheduled,"New York-La Guardia Airport, NY (LGA/KLGA)","Dallas/Fort Worth International Airport, TX (DFW/KDFW)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200108-1,2020
20200109-0,record_php,2020-01-09,Thursday 9 January 2020,,Lockheed C-130BZ Hercules,South African Air Force - SAAF,403,3750,1962,,0,67,0,"Substantial, written off",Accident,Goma Airport (GOM) -Congo (Democratic Republic),Landing,Military,Beni Airport (BNC/FZNP),Goma Airport (GOM/FZNA),,,https://asn.flightsafety.org/database/record.php?id=20200109-0,2020
20200110-0,record_php,2020-01-10,Friday 10 January 2020,07:39,Airbus A321-231 (WL),Nordwind Airlines,VQ-BRS,7686,2017,IAE V2533-A5,0,7,0,"Substantial, written off",Accident,Antalya Airport (AYT) -Türkiye,Landing,Ferry/positioning,Moskva-Sheremetyevo Airport (SVO/UUEE),Antalya Airport (AYT/LTAI),MAK,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200110-0,2020
20200116-0,record_php,2020-01-16,Thursday 16 January 2020,08:06,Beechcraft B200 King Air,LifeMed Alaska,N547LM,BB-1642,1998,Pratt & Whitney PT6A-42,0,3,0,"Destroyed, written off",Accident,"NW off Unalaska-Tom Madsen Airport, AK (DUT) -United States of America",Initial climb,Ambulance,"Unalaska-Tom Madsen Airport, AK (DUT/PADU)","Adak Airport, AK (ADK/PADK)",NTSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20200116-0,2020
20200119-0,record_php,2020-01-19,Sunday 19 January 2020,16:50,Fairchild SA227-AC Metro III,Perimeter Aviation,C-GWVH,AC-714B,1988,Garrett TPE331,0,14,0,"Substantial, repaired",Accident,"Shamattawa Airport, MB (ZTM) -Canada",Landing,Passenger - Scheduled,"Thompson Airport, MB (YTH/CYTH)","Shamattawa Airport, MB (ZTM/CZTM)",,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20200119-0,2020
20200120-0,record_php,2020-01-20,Monday 20 January 2020,11:09,de Havilland Canada DHC-8-314 Dash 8,Air Inuit,C-GXAI,481,1997,Pratt & Whitney Canada PW123B,0,45,0,"Substantial, repaired",Accident,"Schefferville Airport, QC (YKL) -Canada",Landing,Passenger - Scheduled,"Québec City Jean Lesage International Airport, QC (YQB/CYQB)","Schefferville Airport, QC (YKL/CYKL)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200120-0,2020
20200123-0,record_php,2020-01-23,Thursday 23 January 2020,13:15,Lockheed EC-130Q Hercules,Coulson Aviation,N134CG,4904,1981,Allison T56-A-15,3,3,0,"Destroyed, written off",Accident,"near Cooma, NSW -Australia","Manoeuvring  (airshow, firefighting, ag.ops.)",Fire fighting,"Richmond RAAF Base, NSW (XRH/YSRI)","Richmond RAAF Base, NSW (XRH/YSRI)",ATSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200123-0,2020
20200123-1,record_php,2020-01-23,Thursday 23 January 2020,10:53,Cessna S550 Citation S/II,South African Civil Aviation Authority,ZS-CAR,S550-0078,1986,Pratt & Whitney Canada JT15D-4B,3,3,0,"Destroyed, written off",Accident,5 km NW of Friemersheim -South Africa,En route,Survey,George Airport (GRJ/FAGG),George Airport (GRJ/FAGG),AAIB Ethiopia,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20200123-1,2020
