record_id,record_source,accident_date,accident_date_raw,accident_time,aircraft_type,owner_operator,registration,msn,year_of_manufacture,engine_model,fatalities,occupants,other_fatalities,aircraft_damage,category,location,phase,nature,departure_airport,destination_airport,investigating_agency,confidence_rating,url,data_year
165382,wikibase,2009-11-02,Monday 2 November 2009,08:50,McDonnell Douglas MD-90-30,Delta Air Lines,N909DA,53389/2122,,IAE V2500SERIES,0,70,0,Substantial,Accident,"25 miles Northeast of Phoenix, AZ -United States of America",En route,Passenger - Scheduled,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)","Salt Lake City International Airport, UT (SLC/KSLC)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165382,2009
165555,wikibase,2009-04-20,Monday 20 April 2009,17:38,de Havilland Canada DHC-8-202,Air Shuttle,N449YV,449,1996,Pratt & Whitney PW123D,0,17,0,Substantial,Accident,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX) -United States of America",Taxi,Passenger - Scheduled,"Guaymas,  (GYM)","Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/165555,2009
169563,wikibase,2009-09-26,Saturday 26 September 2009,11:00,Shorts SC.7 Skyvan,All West Freight,N754BD,SH1907,1973,AMA/EXPR UNKNOWN ENG,0,1,0,Substantial,Accident,"Skwentna, AK -United States of America",Landing,Unknown,"Sterling, AK (40AK)","Skwentna, AK (6AK)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/169563,2009
197982,wikibase,2009-06-13,Saturday 13 June 2009,19:45,de Havilland Canada DHC-6 Twin Otter 100,Skydive Factory,N204EH,61,1967,P&W Canada PT6A-60A,0,1,0,None,Accident,"Orange, VA -United States of America","Manoeuvring  (airshow, firefighting, ag.ops.)",Parachuting,"Orange, VA (OMH)","Orange, VA (OMH)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/wikibase/197982,2009
20090102-0,record_php,2009-01-02,Friday 2 January 2009,07:51,Antonov An-12BP,British Gulf International Airlines,S9-SAM,3341408,1963,Ivchenko AI-20M,0,6,0,"Substantial, written off",Accident,Sharjah Airport (SHJ) -United Arab Emirates,Take off,Cargo,Sharjah Airport (SHJ/OMSJ),,,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20090102-0,2009
20090103-0,record_php,2009-01-03,Saturday 3 January 2009,16:59,Learjet 45XR,Aero Jet Services,N279AJ,45-279,2005,Garrett TFE731-20BR-1B,0,2,0,"Destroyed, written off",Accident,"Telluride Regional Airport, CO (TEX) -United States of America",Landing,Ferry/positioning,,"Telluride Regional Airport, CO (TEX/KTEX)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20090103-0,2009
20090104-0,record_php,2009-01-04,Sunday 4 January 2009,17:30,Cessna 650 Citation VII,Aero Cabo,XA-PYN,650-7088,1998,,0,5,0,"Substantial, repaired",Accident,"Vancouver International Airport, BC (YVR) -Canada",Landing,Executive,Tijuana-Rodriguez Airport (TIJ/MMTJ),"Vancouver International Airport, BC (YVR/CYVR)",TSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20090104-0,2009
20090104-1,record_php,2009-01-04,Sunday 4 January 2009,02:09,Cessna 550 Citation II,"Caribair, S.A., lsf JODA LLC",N815MA,550-0406,1985,Pratt & Whitney Canada JT15D-4,0,7,0,"Substantial, written off",Accident,"Wilmington-New Hanover County International Airport, NC (ILM) -United States of America",Landing,Executive,Higuero/La Isabela-Dr. Joaquín Balaguer Airport (JBQ/MDJB),"Wilmington-New Hanover County International Airport, NC (ILM/KILM)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20090104-1,2009
20090104-2,record_php,2009-01-04,Sunday 4 January 2009,19:00,Basler BT-67 Turbo 67 (DC-3T),ALCI Aviation,C-GEAJ,26120,1943,Pratt & Whitney Canada PT6A-67R,0,4,0,"Substantial, repaired",Accident,Tony Camp -Antarctica,Landing,Cargo,Novolazarevskaya Station,Tony Camp,TSB,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20090104-2,2009
20090109-0,record_php,2009-01-09,Friday 9 January 2009,13:15,Cessna 208 Caravan I,Ejército del Perú,EP-858,20800246,1996,Pratt & Whitney Canada PT6A-114,0,8,0,"Destroyed, written off",Accident,near Intuto -Peru,Take off,Military,Intuto Airport (SPNT),Iquitos Airport (IQT/SPQT),,,https://asn.flightsafety.org/database/record.php?id=20090109-0,2009
20090111-0,record_php,2009-01-11,Sunday 11 January 2009,06:58,Xian MA60,Zest Airways,RP-C8893,0704,2008,Pratt & Whitney Canada PW127J,0,27,0,"Substantial, written off",Accident,Caticlan-Malay Airport (MPH) -Philippines,Landing,Passenger - Scheduled,Manila-Ninoy Aquino International Airport (MNL/RPLL),Caticlan-Malay Airport (MPH/RPVE),,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20090111-0,2009
20090113-0,record_php,2009-01-13,Tuesday 13 January 2009,,Antonov An-24RV,Daallo Airlines,S9-KAS,47309406,1974,Ivchenko AI-24,0,15,0,"Substantial, written off",Accident,Bosaso-Bender Qassim International Airport (BSA) -Somalia,Landing,Passenger - Scheduled,Djibouti-Ambouli Airport (JIB/HDAM),Bosaso-Bender Qassim International Airport (BSA/HCMF),,,https://asn.flightsafety.org/database/record.php?id=20090113-0,2009
20090115-0,record_php,2009-01-15,Thursday 15 January 2009,15:31,Airbus A320-214,US Airways,N106US,1044,1999,CFMI CFM56-5B4/P,0,155,0,"Substantial, written off",Accident,"off Weehawken, NJ [Hudson River, NY] -United States of America",Initial climb,Passenger - Scheduled,"New York-La Guardia Airport, NY (LGA/KLGA)","Charlotte-Douglas International Airport, NC (CLT/KCLT)",NTSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20090115-0,2009
20090115-1,record_php,2009-01-15,Thursday 15 January 2009,21:10,Ilyushin Il-76MD,Russian Ministry of Interior,RA-76825,1003404136,1990,Soloviev D-30KP-2,4,7,0,"Destroyed, written off",Accident,Makhachkala Airport (MCX) -Russia,Taxi,Military,Makhachkala Airport (MCX/URML),Nizhniy Novgorod Airport (GOJ/UWGG),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20090115-1,2009
20090115-2,record_php,2009-01-15,Thursday 15 January 2009,21:10,Ilyushin Il-76MD,Russian Ministry of Interior,RA-76827,1003404151,1990,Soloviev D-30KP-2,0,31,4,"Substantial, repaired",Accident,Makhachkala Airport (MCX) -Russia,Landing,Military,Chkalovsky Airport (CKL/UUMU),Makhachkala Airport (MCX/URML),,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20090115-2,2009
20090115-3,record_php,2009-01-15,Thursday 15 January 2009,20:50,Learjet 35A,Skyservice Business Aviation,C-GRFO,35-100,1977,Garrett TFE731-2C-2B,0,6,0,"Substantial, repaired",Accident,Casablanca-Mohamed V Airport (CMN) -Morocco,Take off,Ambulance,Casablanca-Mohamed V Airport (CMN/GMMN),London-Luton Airport (LTN/EGGW),,,https://asn.flightsafety.org/database/record.php?id=20090115-3,2009
20090116-0,record_php,2009-01-16,Friday 16 January 2009,18:35,IAI 1126 Galaxy,Ion Tiriac Air,YR-TIG,012,1999,Pratt & Whitney Canada PW306A,0,13,0,"Destroyed, written off",Accident,Oradea Airport (OMR) -Romania,Landing,Executive,Bucharest-Otopeni International Airport (OTP/LROP),Oradea Airport (OMR/LROD),CIAS,"Information is only available from news, social media or unofficial sources",https://asn.flightsafety.org/database/record.php?id=20090116-0,2009
20090116-1,record_php,2009-01-16,Friday 16 January 2009,21:10,Beechcraft 100 King Air,SkyNorth Air,C-GNAA,B-24,1969,Pratt & Whitney Canada PT6A-28,0,2,0,"Substantial, written off",Accident,"Island Lake, MB (CYIV) -Canada",Approach,Ferry/positioning,"Thompson Airport, MB (YTH/CYTH)","Island Lake/Garden Hill Airport, MB (YIV/CYIV)",TSB,Accident investigation report completed and information captured,https://asn.flightsafety.org/database/record.php?id=20090116-1,2009
20090119-0,record_php,2009-01-19,Monday 19 January 2009,17:01,Fokker 100,"Iran Air, lsf Chabahar Airlines",EP-CFN,11423,1993,Rolls-Royce Tay,0,114,0,"Substantial, written off",Accident,Tehran-Mehrabad Airport (THR) -Iran,Landing,Passenger - Scheduled,Ardabil Airport (ADU/OITL),Tehran-Mehrabad Airport (THR/OIII),,Information verified through data from accident investigation authorities,https://asn.flightsafety.org/database/record.php?id=20090119-0,2009
