venue_slug,artist_name,event_date,billing_order,support_act
aladdin-theater,Five For Fighting with String Quartet,2027-01-14,1,Lace and Lee
aladdin-theater,"Bonnie ""Prince"" Billy (Night 1)",2027-01-30,1,Tiny Vipers
aladdin-theater,"Bonnie ""Prince"" Billy (Night 2)",2027-01-31,1,Tiny Vipers
revolution-hall,THE BOUNCING SOULS 'Born To Be Tour' with The Suicide Machines,2027-02-19,1,The Aggrolites & Dead Bars
